// Incomplete, bruteforced from opcodes-918.txt and opcodes-919.txt and opcodes-920.txt and opcodes-913-546.txt
activechatphrase_setdynamicint,122
activechatphrase_setdynamicobj,1423
worldmap_3dview_enable,1051
worldmap_3dview_disable,110
worldmap_3dview_setloddistance,822
worldmap_disabletextsize,759
worldmap_disabletype,48
worldmap_setzoom,663
worldmap_setmap,1039
worldmap_jumptosourcecoord,1268
worldmap_jumptodisplaycoord,258
worldmap_setmap_coord_override,1389
worldmap_flashelementcategory,359
worldmap_disableelementcategory,531
worldmap_closemap,1179
setwindowmode,1052
setdefaultwindowmode,763
openurl,462
urlencode,766
spline_new,1121
spline_addpoint,937
quit,940
openurl_nologin,1471
formatminimenu,1096
setdefaultcursors,581
sethardcodedopcursors,699
openurl_shim,752
cam_moveto,846
cam_lookat,1307
cam_movealong,655
cam_reset,627
cam_forceangle,1526
cam_inc_x,1442
cam_dec_x,1263
cam_inc_y,903
cam_dec_y,720
cam_followcoord,722
cam_smoothreset,1088
cam2_setlookatmode,1153
cam2_setpositionmode,130
cam2_setdepthplanes,23
cam2_setfieldofview,1087
cam2_setlookatpoint_point,762
cam2_setpositionpoint_point,20
cam2_getpositionpoint_point,284
cam2_setlookatentity_player,165
cam2_setlookatentity_npc,1432
cam2_setpositionentity_player,786
cam2_setpositionentity_npc,1060
cam2_setfieldofviewscreen,14
cam2_removealleffects,85
cam2_setlookatacceleration_axis,339
cam2_setpositionacceleration_axis,1189
cam2_setlookatmaxspeed_axis,800
cam2_setpositionmaxspeed_axis,5
cam2_setcollisionmode,1498
cam2_setpositionpointcollision,693
cam2_updateeffect_ztilt,1199
cam2_setlinearmovementmode,489
cam2_setspringproperties,959
cam2_setpositionangularinterpolation,1079
cam2_enable,721
cam2_setsnapdistances,1398
cam2_resetsnapdistances,1217
cam2_setlookatorientation_vector,1249
cam2_setlookatorientation_xrotation,100
cam2_setlookatorientation_yrotation,361
cam2_setlookatorientation_xmovement,1244
cam2_setlookatorientation_zmovement,362
cam2_setlookatorientation_maxdistanceclamping,1500
login_continue,82
login_resetreply,1401
resend_uid_passport_request,323
create_name_availablerequest,1421
create_suggest_name_request,1332
lobby_entergame,344
lobby_enterlobby,963
lobby_leavelobby,1317
lobby_enterlobby_sso,881
sso_logout,570
shop_requestdata,851
shop_requestdatastatus,1348
shop_getindexforcategoryid,980
shop_getcategorydescription,246
shop_getproductcount,488
shop_isproductavailable,1320
shop_isproductrecommended,659
shop_getproductdetails,769
sso_available,1429
sso_displayname,947
login_cancel,790
lobby_enterlobby_social_network,1160
federated_login,162
federated_login_status,431
openstore,625
viewport_setfov,12
viewport_setzoom,585
viewport_clampfov,1163
worldlist_sort,1129
worldlist_pingworlds,1472
if_triggerop,624
cc_triggerop,342
force_interface_drag,894
cancel_interface_drag,921
targetmode_active,852
targetmode_cancel,840
autosetup_sethigh,87
autosetup_setmedium,1404
autosetup_setlow,522
autosetup_setmin,1142
autosetup_setcustom,768
video_advert_force_remove,168
video_advert_allow_skip,56
bug_report,1228
array_sort,1191
cc_find,1155
if_find,98
cc_getx,1194
cc_gety,856
cc_getwidth,1010
cc_getheight,1361
cc_gethide,172
cc_getlayer,1530
cc_getparentlayer,195
cc_getcolour,909
cc_getscrollx,35
cc_getscrolly,977
cc_gettext,865
cc_getscrollheight,1519
cc_getmodelzoom,107
cc_getmodelangle_x,1235
cc_getmodelangle_z,789
cc_getmodelangle_y,819
cc_gettrans,180
cc_getmodelxof,298
cc_getmodelyof,319
cc_getgraphic,1480
cc_param,709
cc_get2dangle,847
cc_getgraphicdimensions,365
cc_getfontmetrics,1464
cc_getinvobject,1467
cc_getinvcount,1448
cc_getid,447
cc_gettargetmask,688
cc_getop,1061
cc_getopbase,1100
if_getx,1395
if_gety,1300
if_getwidth,124
if_getheight,1252
if_gethide,420
if_getlayer,442
if_getparentlayer,208
if_getcolour,946
if_getscrollx,445
if_getscrolly,454
if_gettext,436
if_getscrollwidth,1085
if_getscrollheight,657
if_getmodelzoom,343
if_getmodelangle_x,1387
if_getmodelangle_z,357
if_getmodelangle_y,519
if_gettrans,1
if_getmodelxof,1408
if_getmodelyof,1207
if_getgraphic,166
if_get2dangle,190
if_getmodel,1484
if_getgraphicdimensions,218
if_getfontmetrics,1422
if_getinvobject,751
if_getinvcount,1358
if_hassub,1099
if_getnextsubid,381
if_hassubmodal,986
if_hassuboverlay,259
if_gettargetmask,241
if_getop,611
if_getcharindexatpos,1014
if_getcharposatindex,829
clientclock,348
inv_getobj,1211
inv_getnum,400
inv_total,911
inv_totalcat,149
inv_size,1224
inv_stockbase,700
inv_getvar,46
stat,1254
stat_base,1468
stat_visible_xp,1156
stat_base_actual,1475
stat_visible_xp_actual,43
facing_fine,358
coord,1055
coordx,970
coordy,1161
coordz,1375
coordx_fine,978
coordy_fine,679
coordz_fine,1069
coordlevel_fine,1336
movecoord_fine,97
coord_gridtofine,265
map_members,982
map_preload,1116
map_loadedpercent,213
map_loadingscreen_settriggerpercent,134
map_loadingscreen_isopen,250
invother_getobj,1402
invother_getnum,781
invother_getvar,1009
staffmodlevel,1148
reboottimer,1044
map_world,1548
runenergy_visible,880
runweight_visible,512
playermod,203
playermodlevel,16
playermember,1274
comlevel_active,25
gender,1428
map_quickchat,1196
inv_freespace,415
inv_totalparam,1234
map_lang,1133
movecoord,632
applet_hasfocus,1188
get_mousex,1487
get_mousey,702
get_active_minimenu_entry,471
get_minimenu_length,1535
npc_find_active_minimenu_entry,174
get_currentcursor,1323
map_isowner,1352
get_mousebuttons,459
get_minimenu_target,480
enum_string,649
enum,577
enum_hasoutput,974
enum_hasoutput_string,1457
enum_getoutputcount,142
enum_getreversecount,697
enum_getreverseindex,1529
enum_getreverseindex_string,643
friend_count,1413
friend_getname,493
friend_getworld,273
friend_getrank,484
friend_getnotes,558
friend_getworldflags,614
friend_test,971
friend_getworldname,228
clan_getchatdisplayname,754
clan_getchatcount,1024
clan_getchatusername,818
clan_getchatuserworld,1280
clan_getchatuserrank,1086
clan_getchatminkick,660
clan_getchatrank,481
ignore_count,176
ignore_getname,1412
ignore_getnotes,90
ignore_test,455
clan_isself,1286
clan_getchatownername,474
clan_getchatuserworldname,156
friend_platform,239
friend_getslotfromname,308
playercountry,605
clan_getchatusername_unfiltered,943
ignore_getname_unfiltered,498
friend_is_referrer,457
friend_is_referred,188
activeclansettings_find_listened,989
activeclansettings_find_affined,419
activeclansettings_getclanname,322
activeclansettings_getallowunaffined,838
activeclansettings_getranktalk,1521
activeclansettings_getaffinedcount,1411
activeclansettings_getaffineddisplayname,678
activeclansettings_getaffinedrank,479
activeclansettings_getbannedcount,1451
activeclansettings_getbanneddisplayname,76
activeclansettings_getaffinedextrainfo,1443
activeclansettings_getcurrentowner_slot,318
activeclansettings_getaffinedslot,556
activeclansettings_getsortedaffinedslot,671
activeclansettings_getaffinedjoinruneday,812
activeclanchannel_find_listened,1015
activeclanchannel_find_affined,179
activeclanchannel_getclanname,131
activeclanchannel_getrankkick,502
activeclanchannel_getranktalk,1362
activeclanchannel_getusercount,251
activeclanchannel_getuserdisplayname,347
activeclanchannel_getuserrank,184
activeclanchannel_getuserworld,229
activeclanchannel_getuserslot,1523
activeclanchannel_getsorteduserslot,1013
clanprofile_find,1011
stockmarket_getoffertype,1098
stockmarket_getofferitem,1284
stockmarket_getofferprice,1023
stockmarket_getoffercount,607
stockmarket_getoffercompletedcount,1172
stockmarket_getoffercompletedgold,802
stockmarket_isofferempty,1415
stockmarket_isofferfinished,412
stockmarket_isofferadding,326
add,520
sub,236
multiply,446
divide,1349
random,151
randominc,654
interpolate,899
addpercent,967
setbit,1394
clearbit,1427
testbit,1097
modulo,1016
pow,1169
invpow,1078
and,231
or,1195
min,640
max,749
scale,1027
bitcount,730
setbit_range,1118
clearbit_range,1120
getbit_range,565
sin,405
cos,1135
atan2,1026
abs,266
random_sound_pitch,416
hsvtorgb,1047
not,114
append_num,859
append,733
get_col_tag,143
lowercase,656
fromdate,1005
tostring,855
compare,926
paraheight,73
parawidth,264
paraline,1062
text_switch,1541
escape,144
append_char,9
char_isprintable,492
char_isalphanumeric,1407
char_isnumeric,279
string_length,1256
substring,1435
removetags,1208
string_indexof_char,917
string_indexof_string,530
char_tolowercase,58
char_touppercase,717
