// Incomplete, bruteforced from opcodes-878-1195.txt
push_var,735
pop_var,1147
push_varbit,279
pop_varbit,200
push_constant_string,394
branch,864
branch_not,837
branch_equals,758
branch_less_than,1142
branch_greater_than,79
branch_less_than_or_equals,605
branch_greater_than_or_equals,547
push_int_local,39
pop_int_local,858
push_string_local,1144
pop_string_local,611
join_string,1204
pop_int_discard,1028
pop_string_discard,874
gosub_with_params,335
define_array,746
push_array_int,883
pop_array_int,1123
switch,1097
push_long_local,372
long_branch_not,529
cc_create,802
cc_delete,411
cc_deleteall,1136
if_sendtofront,916
if_sendtoback,314
cc_sendtofront,554
cc_sendtoback,485
if_resume_pausebutton,116
cc_resume_pausebutton,357
baseidkit,836
basecolour,884
setobj,1001
cc_setposition,68
cc_setsize,508
cc_sethide,775
cc_setaspect,755
cc_setnoclickthrough,1208
cc_setscrollpos,1174
cc_setcolour,449
cc_setfill,1166
cc_settrans,892
cc_setlinewid,294
cc_setgraphic,818
cc_set2dangle,55
cc_settiling,343
cc_setmodel,543
cc_setmodelangle,659
cc_setmodelanim,689
cc_settext,1014
cc_settextfont,870
cc_settextalign,1214
cc_settextshadow,164
cc_setoutline,767
cc_setgraphicshadow,1131
cc_setvflip,42
cc_sethflip,789
cc_setscrollsize,635
cc_setalpha,675
cc_setmodelzoom,24
cc_setlinedirection,446
cc_setmaxlines,151
cc_setparam_int,955
cc_setparam_string,516
cc_setretex,1141
cc_setfontmono,330
cc_setparam,948
cc_setclickmask,869
cc_setobject,38
cc_setnpchead,297
cc_setplayerhead_self,61
cc_setnpcmodel,12
cc_setobject_nonum,638
cc_setlinkfriend,360
cc_setlinkfriendchat,170
cc_setlinkplayergroup,1108
cc_setlinkactiveclanchannel,873
cc_resetlinkplayer,599
cc_setobject_wearcol,75
cc_setplayermodel_self,70
cc_setobject_alwaysnum,325
cc_setop,590
cc_setdraggable,1140
cc_setdragrenderbehaviour,252
cc_setdragdeadzone,859
cc_setdragdeadtime,1278
cc_setopbase,787
cc_settargetverb,598
cc_clearops,1083
cc_settargetcursors,664
cc_setopcursor,665
cc_setpausetext,391
cc_settargetopcursor,772
cc_setopkey,324
cc_setoptkey,243
cc_setopkeyrate,1232
cc_setopkeyignoreheld,558
cc_setoptkeyignoreheld,158
cc_setmouseovercursor,579
cc_setonclick,1177
cc_setonhold,280
cc_setonrelease,420
cc_setonmouseover,912
cc_setonmouseleave,1052
cc_setondrag,165
cc_setontargetleave,274
cc_setonvartransmit,700
cc_setontimer,332
cc_setonop,1155
