// Incomplete, bruteforced from opcodes-799-1515.txt and opcodes-800-572.txt
push_var,757
pop_var,651
push_varbit,304
pop_varbit,567
push_constant_string,12
branch,1103
branch_not,778
branch_equals,976
branch_less_than,743
branch_greater_than,717
branch_less_than_or_equals,273
branch_greater_than_or_equals,448
push_int_local,645
pop_int_local,1013
push_string_local,917
pop_string_local,714
join_string,815
pop_int_discard,392
pop_string_discard,1030
gosub_with_params,691
define_array,705
push_array_int,258
pop_array_int,934
switch,801
push_long_local,1034
long_branch_not,79
cc_create,652
cc_delete,739
cc_deleteall,381
if_sendtofront,806
if_sendtoback,355
cc_sendtofront,1128
cc_sendtoback,747
if_resume_pausebutton,194
baseidkit,1073
basecolour,44
setobj,47
cc_setposition,30
cc_setsize,631
cc_sethide,262
cc_setaspect,536
cc_setnoclickthrough,1029
cc_setscrollpos,564
cc_setcolour,821
cc_setfill,906
cc_settrans,230
cc_setlinewid,356
cc_setgraphic,658
cc_set2dangle,606
cc_settiling,1126
cc_setmodel,477
cc_setmodelangle,657
cc_setmodelanim,948
cc_setmodelorthog,826
cc_settext,968
cc_settextfont,1026
cc_settextalign,731
cc_settextshadow,1035
cc_setoutline,560
cc_setgraphicshadow,1081
cc_setvflip,543
cc_sethflip,190
cc_setscrollsize,147
cc_setalpha,777
cc_setmodelzoom,239
cc_setlinedirection,369
cc_setmaxlines,883
cc_setparam_int,148
cc_setparam_string,111
cc_setretex,137
cc_setparam,446
cc_setclickmask,404
cc_setobject,582
cc_setnpchead,1090
cc_setplayerhead_self,1144
cc_setnpcmodel,785
cc_setobject_nonum,208
cc_setlinkfriend,307
cc_setobject_wearcol,119
cc_setplayermodel_self,509
cc_setobject_alwaysnum,199
cc_setop,1056
cc_setdraggable,449
cc_setdragrenderbehaviour,395
cc_setdragdeadzone,198
cc_setdragdeadtime,522
cc_setopbase,227
cc_settargetverb,295
cc_clearops,507
cc_settargetcursors,228
cc_setopcursor,62
cc_setpausetext,1049
cc_settargetopcursor,868
cc_setopkey,294
cc_setoptkey,276
cc_setopkeyrate,77
cc_setopkeyignoreheld,115
cc_setoptkeyignoreheld,905
cc_setmouseovercursor,14
cc_setonclick,66
cc_setonhold,17
cc_setonrelease,1079
cc_setonmouseover,109
cc_setonmouseleave,288
cc_setondrag,40
cc_setontargetleave,1018
cc_setonvartransmit,411
cc_setontimer,224
cc_setonop,890
cc_setondragcomplete,450
cc_setonmouserepeat,370
cc_setoninvtransmit,853
cc_setonstattransmit,398
cc_setontargetenter,8
cc_setonscrollwheel,950
cc_setonmisctransmit,325
cc_setonvarctransmit,378
cc_setonvarcstrtransmit,735
cc_clearscripthooks,713
if_setposition,397
if_setsize,866
if_sethide,1129
if_setnoclickthrough,453
if_setscrollpos,678
if_setcolour,122
if_setfill,1025
if_settrans,1135
if_setgraphic,661
if_set2dangle,13
if_settiling,65
if_setmodel,467
if_setmodelangle,629
if_setmodelanim,510
if_setmodeltint,951
if_setmodellighting,108
if_settext,270
if_settextfont,634
if_settextalign,897
if_settextshadow,1024
if_settextantimacro,460
if_setoutline,26
if_setgraphicshadow,22
if_setvflip,1004
if_sethflip,1000
if_setscrollsize,767
if_setmodelzoom,479
if_setlinedirection,131
if_setmaxlines,328
if_setparam_int,588
if_setrecol,1143
if_setretex,63
if_setclickmask,761
if_setobject,275
if_setnpchead,562
if_setnpcmodel,973
if_setobject_nonum,845
if_setplayermodel_self,683
if_setobject_alwaysnum,331
if_setop,335
if_setdraggable,732
if_setdragrenderbehaviour,172
if_setopbase,796
if_settargetverb,773
if_clearops,215
if_settargetcursors,452
if_setopcursor,813
if_setpausetext,952
if_setopchar,50
if_setopkey,511
if_setoptkey,546
if_setopkeyrate,408
if_setmouseovercursor,242
if_setonclick,426
if_setonhold,454
if_setonrelease,720
if_setonmouseover,733
if_setonmouseleave,894
if_setondrag,492
if_setontargetleave,373
if_setonvartransmit,939
if_setontimer,517
if_setonop,888
if_setondragcomplete,238
if_setonclickrepeat,1099
if_setonmouserepeat,632
if_setoninvtransmit,472
if_setonstattransmit,91
if_setontargetenter,922
if_setonscrollwheel,359
if_setonchattransmit,798
if_setonkey,128
if_setonfriendtransmit,1082
if_setonclantransmit,236
if_setonmisctransmit,320
if_setondialogabort,159
if_setonsubchange,439
if_setonstocktransmit,1091
if_setoncamfinished,110
if_setonresize,929
if_setonvarctransmit,124
if_setonvarcstrtransmit,780
if_setonclansettingstransmit,4
if_setonclanchanneltransmit,260
if_setonvarclantransmit,428
if_clearscripthooks,188
if_callonresize,421
if_npc_setcustombodymodel,688
cc_npc_setcustomrecol,154
mes,881
return,795
if_close,878
resume_countdialog,1003
resume_namedialog,365
resume_stringdialog,402
abort_dialog,278
opplayer,424
resume_objdialog,600
cc_dragpickup,568
if_opensubclient,80
if_closesubclient,210
mes_typed,529
setup_messagebox,851
resume_hsldialog,779
resume_clanforumqfcdialog,824
sound_synth,1036
sound_jingle,870
sound_vorbis_volume,611
sound_speech_volume,772
sound_vorbis_rate,527
email_validation_add_new_address,960
friend_setrank,682
friend_setnotes,281
friend_add,248
friend_del,885
ignore_add,875
ignore_del,596
ignore_setnotes,274
clan_kickuser,99
clan_joinchat,937
clan_leavechat,353
ignore_add_temp,25
activeclanchannel_kickuser,358
chat_setfilter,1140
chat_sendabusereport,904
chat_setmode,160
chat_sendpublic,1093
chat_sendprivate,969
activechatphrase_prepare,1032
activechatphrase_send,700
activechatphrase_sendprivate,863
activechatphrase_sendclan,368
activechatphrase_setdynamicint,841
activechatphrase_setdynamicobj,1108
activechatphrase_sendclanchannel_affined,348
activechatphrase_sendclanchannel_listened,425
worldmap_3dview_enable,465
worldmap_3dview_disable,896
worldmap_3dview_setloddistance,214
worldmap_setcategorypriority,223
worldmap_3dview_settextfont,557
worldmap_disabletextsize,405
worldmap_disabletype,39
worldmap_setzoom,367
worldmap_setmap,869
worldmap_jumptosourcecoord,805
worldmap_jumptodisplaycoord,935
worldmap_setmap_coord_override,686
worldmap_flashelementcategory,616
worldmap_disableelementcategory,946
worldmap_closemap,117
setwindowmode,660
setdefaultwindowmode,755
openurl,625
spline_new,872
spline_addpoint,48
quit,899
openurl_nologin,911
writeconsole,349
formatminimenu,1062
setdefaultcursors,64
sethardcodedopcursors,558
notify_accountcreated,51
notify_accountcreatestarted,499
openurl_shim,846
cam_moveto,718
cam_lookat,98
cam_movealong,994
cam_reset,377
cam_forceangle,1113
cam_inc_x,2
cam_dec_x,354
cam_inc_y,334
cam_dec_y,622
cam_followcoord,835
cam_smoothreset,1118
cam2_setlookatmode,1065
