// Incomplete, bruteforced from opcodes-910-1730.txt
push_var,1261
pop_var,652
push_varbit,963
pop_varbit,1087
push_constant_string,132
branch,1185
branch_not,474
branch_equals,889
branch_less_than,877
branch_greater_than,418
branch_less_than_or_equals,927
branch_greater_than_or_equals,1048
push_int_local,1125
pop_int_local,1212
push_string_local,236
pop_string_local,990
join_string,187
pop_int_discard,1232
pop_string_discard,444
gosub_with_params,1098
define_array,1155
push_array_int,461
pop_array_int,19
switch,1384
push_long_local,724
long_branch_not,1122
cc_create,200
cc_delete,221
cc_deleteall,390
if_sendtofront,1392
if_sendtoback,1204
cc_sendtofront,1086
cc_sendtoback,933
if_resume_pausebutton,167
cc_resume_pausebutton,920
baseidkit,108
basecolour,445
setobj,662
cc_setposition,1005
cc_setsize,1376
cc_sethide,621
cc_setaspect,427
cc_setnoclickthrough,593
cc_setscrollpos,1186
cc_setcolour,962
cc_setfill,604
cc_settrans,1016
cc_setlinewid,794
cc_setgraphic,290
cc_set2dangle,1295
cc_settiling,1079
cc_setmodel,467
cc_setmodelangle,930
cc_setmodelanim,214
cc_settext,986
cc_settextfont,640
cc_settextalign,643
cc_settextshadow,493
cc_setoutline,124
cc_setvflip,405
cc_sethflip,1073
cc_setscrollsize,1089
cc_setalpha,796
cc_setmodelzoom,143
cc_setlinedirection,176
cc_setmaxlines,732
cc_setparam_int,323
cc_setparam_string,626
cc_setretex,888
cc_setfontmono,375
cc_setparam,304
cc_setclickmask,258
cc_setheld,1269
cc_setobject,998
cc_setnpchead,764
cc_setplayerhead_self,422
cc_setnpcmodel,369
cc_setobject_nonum,14
cc_setlinkfriend,1078
cc_setlinkfriendchat,243
cc_setlinkplayergroup,17
cc_setlinkactiveclanchannel,1184
cc_resetlinkplayer,1238
cc_setobject_wearcol,969
cc_setplayermodel_self,115
cc_setobject_alwaysnum,206
cc_setop,525
cc_setdraggable,1046
cc_setdragrenderbehaviour,550
cc_setdragdeadzone,865
cc_setdragdeadtime,1126
cc_setopbase,1288
cc_settargetverb,429
cc_clearops,788
cc_settargetcursors,242
cc_setopcursor,219
cc_setpausetext,1025
cc_settargetopcursor,155
cc_setopkey,403
cc_setoptkey,1102
cc_setopkeyrate,162
cc_setopkeyignoreheld,320
cc_setoptkeyignoreheld,862
cc_setmouseovercursor,602
cc_setonclick,972
cc_setonhold,539
cc_setonrelease,805
cc_setonmouseover,757
cc_setonmouseleave,651
cc_setondrag,13
cc_setontargetleave,169
cc_setonvartransmit,1356
cc_setontimer,620
cc_setonop,741
cc_setondragcomplete,863
cc_setonclickrepeat,756
cc_setonmouserepeat,1273
cc_setoninvtransmit,73
cc_setonstattransmit,526
cc_setontargetenter,616
cc_setonscrollwheel,379
cc_setonmisctransmit,1233
cc_setonresize,15
cc_setonvarctransmit,135
cc_setonvarcstrtransmit,949
cc_clearscripthooks,647
cc_callonresize,312
if_setposition,938
if_setsize,399
if_sethide,322
if_setnoclickthrough,232
if_setscrollpos,264
if_setcolour,336
if_setfill,1213
if_settrans,430
if_setgraphic,965
if_set2dangle,1052
if_settiling,802
if_setmodel,537
if_setmodelangle,520
if_setmodelanim,543
if_setmodelorthog,1327
if_setmodeltint,306
if_setmodellighting,644
if_resetmodellighting,1183
if_settext,1145
if_settextfont,501
if_settextalign,952
if_settextshadow,1168
if_settextantimacro,414
if_setoutline,950
if_setgraphicshadow,1136
if_setvflip,7
if_sethflip,1193
if_setscrollsize,558
if_setmodelzoom,1076
if_setlinedirection,1008
if_setmaxlines,495
if_setparam_int,1190
if_setparam_string,1340
if_setrecol,266
if_setretex,107
if_setobject,64
if_setnpchead,1201
if_setnpcmodel,522
if_setobject_nonum,807
if_setplayermodel_self,33
if_setobject_alwaysnum,1394
if_setop,343
if_setdraggable,1319
if_setdragrenderbehaviour,1153
if_setopbase,1371
if_settargetverb,446
if_clearops,458
if_settargetcursors,649
if_setopcursor,352
if_setpausetext,198
if_setopkey,1080
if_setoptkey,171
if_setopkeyrate,834
if_setopkeyignoreheld,1283
if_setmouseovercursor,494
if_setonclick,454
if_setonhold,515
if_setonrelease,966
if_setonmouseover,1241
if_setonmouseleave,1350
if_setondrag,203
if_setontargetleave,874
if_setonvartransmit,1119
if_setontimer,1290
if_setonop,362
if_setondragcomplete,1268
if_setonclickrepeat,40
if_setonmouserepeat,631
if_setoninvtransmit,16
if_setonstattransmit,1116
if_setontargetenter,1138
if_setonscrollwheel,1027
if_setonchattransmit,215
if_setonkey,1149
if_setongamepadbutton,896
if_setongamepadbuttonheld,1066
if_setongamepadaxis,765
if_setongamepadtrigger,672
if_setonfriendtransmit,216
if_setonclantransmit,1128
if_setonmisctransmit,275
if_setondialogabort,635
if_setonsubchange,738
if_setonstocktransmit,749
if_setoncamfinished,579
if_setonresize,345
if_setonvarctransmit,428
if_setonvarcstrtransmit,878
if_setonclansettingstransmit,611
if_setonclanchanneltransmit,210
if_setonvarclantransmit,696
if_setonplayergrouptransmit,273
if_setonplayergroupvarptransmit,459
if_setoncameraupdatetransmit,22
if_clearscripthooks,793
if_callonresize,297
if_npc_setcustombodymodel,548
cc_npc_setcustombodymodel,673
if_npc_setcustomheadmodel,332
if_npc_setcustomrecol,1154
cc_npc_setcustomrecol,588
if_npc_setcustomretex,274
cc_npc_setcustomretex,144
mes,1058
return,174
if_close,570
resume_countdialog,686
resume_namedialog,886
resume_stringdialog,1369
abort_dialog,707
opplayer,978
resume_objdialog,1400
cc_dragpickup,769
if_opensubclient,66
if_closesubclient,641
mes_typed,708
setup_messagebox,488
resume_hsldialog,487
resume_clanforumqfcdialog,1378
sound_synth,366
sound_synth_volume,820
sound_jingle_volume,1097
sound_vorbis_volume,687
sound_speech_volume,599
sound_vorbis_rate,1246
friend_setrank,1342
friend_setnotes,654
friend_add,149
friend_del,1410
ignore_add,968
ignore_del,484
ignore_setnotes,293
clan_kickuser,1159
clan_joinchat,729
clan_leavechat,353
ignore_add_temp,471
activeclanchannel_kickuser,1352
chat_setfilter,246
chat_sendabusereport,1065
chat_setmode,1063
chat_sendpublic,546
chat_sendprivate,661
activechatphrase_prepare,321
activechatphrase_send,542
activechatphrase_sendprivate,797
activechatphrase_setdynamicint,574
activechatphrase_setdynamicobj,139
worldmap_3dview_enable,147
worldmap_3dview_disable,840
worldmap_3dview_setloddistance,624
worldmap_disabletextsize,549
worldmap_disabletype,597
worldmap_setzoom,1070
worldmap_setmap,436
worldmap_jumptosourcecoord,314
worldmap_jumptodisplaycoord,441
worldmap_setmap_coord_override,1338
worldmap_flashelementcategory,1009
worldmap_disableelementcategory,164
worldmap_closemap,50
setwindowmode,1351
setdefaultwindowmode,753
openurl,1084
urlencode,148
spline_new,689
spline_addpoint,1284
quit,740
openurl_nologin,38
formatminimenu,1303
setdefaultcursors,172
sethardcodedopcursors,178
notify_accountcreated,142
notify_accountcreatestarted,123
openurl_shim,506
cam_moveto,492
cam_lookat,99
cam_movealong,792
cam_reset,307
cam_forceangle,205
cam_inc_x,1245
cam_dec_x,329
cam_inc_y,141
cam_dec_y,682
cam_followcoord,819
cam_smoothreset,1169
cam2_setlookatmode,110
cam2_setpositionmode,394
cam2_setdepthplanes,897
cam2_setfieldofview,1002
cam2_setlookatpoint_point,1357
cam2_setpositionpoint_point,1412
cam2_getpositionpoint_point,88
cam2_setlookatentity_player,1229
cam2_setlookatentity_npc,463
cam2_setpositionentity_player,931
cam2_setpositionentity_npc,1205
cam2_setfieldofviewscreen,455
cam2_removealleffects,815
cam2_setlookatacceleration_axis,776
cam2_setpositionacceleration_axis,844
cam2_setlookatmaxspeed_axis,310
cam2_setpositionmaxspeed_axis,1209
cam2_setcollisionmode,693
cam2_setpositionpointcollision,24
cam2_updateeffect_ztilt,545
cam2_setlinearmovementmode,318
cam2_setspringproperties,746
cam2_setpositionangularinterpolation,277
cam2_enable,1055
cam2_setsnapdistances,1215
cam2_resetsnapdistances,1001
cam2_setlookatorientation_vector,581
cam2_setlookatorientation_xrotation,887
cam2_setlookatorientation_yrotation,779
cam2_setlookatorientation_xmovement,104
cam2_setlookatorientation_zmovement,1408
cam2_setlookatorientation_maxdistanceclamping,681
login_continue,368
login_resetreply,547
resend_uid_passport_request,1366
create_availablerequest,1368
create_name_availablerequest,42
create_suggest_name_request,254
create_createrequest,1406
create_connectrequest,1014
create_step_reached,826
lobby_entergame,1420
lobby_enterlobby,562
lobby_leavelobby,1113
lobby_enterlobby_sso,1199
sso_logout,945
shop_open,1227
sso_available,248
sso_displayname,11
create_setunder13,295
login_cancel,137
lobby_enterlobby_social_network,157
viewport_setfov,714
viewport_setzoom,105
viewport_clampfov,182
worldlist_sort,1096
worldlist_pingworlds,804
if_triggerop,914
cc_triggerop,940
force_interface_drag,892
cancel_interface_drag,519
targetmode_active,1343
targetmode_cancel,479
autosetup_sethigh,255
autosetup_setmedium,1302
autosetup_setlow,717
autosetup_setmin,271
autosetup_setcustom,32
autosetup_blackflaglast,262
video_advert_force_remove,1202
video_advert_allow_skip,524
bug_report,1360
array_sort,1187
cc_find,917
if_find,1395
cc_getx,784
cc_gety,1309
cc_getwidth,1134
cc_getheight,1274
cc_gethide,532
cc_getlayer,648
cc_getparentlayer,1258
cc_getcolour,1255
cc_getscrollx,836
cc_getscrolly,761
cc_gettext,1253
cc_getscrollheight,483
cc_getmodelzoom,1225
cc_getmodelangle_x,150
cc_getmodelangle_z,675
cc_getmodelangle_y,603
cc_gettrans,158
cc_getmodelxof,1110
cc_getmodelyof,52
cc_getgraphic,177
cc_param,371
cc_get2dangle,20
cc_getgraphicdimensions,25
cc_getfontmetrics,1411
cc_getinvobject,380
cc_getinvcount,367
cc_getid,659
cc_gettargetmask,569
cc_getop,294
cc_getopbase,1012
if_getx,1380
if_gety,359
if_getwidth,1163
if_getheight,1139
if_gethide,253
if_getlayer,628
if_getparentlayer,442
if_getcolour,125
if_getscrollx,1313
if_getscrolly,946
if_gettext,854
if_getscrollwidth,1312
if_getscrollheight,1085
if_getmodelzoom,48
if_getmodelangle_x,85
if_getmodelangle_z,731
if_getmodelangle_y,1117
if_gettrans,103
if_getmodelxof,1359
if_getmodelyof,567
if_getgraphic,669
if_get2dangle,400
if_getmodel,411
if_getgraphicdimensions,513
if_getfontmetrics,409
if_getinvobject,256
if_getinvcount,384
if_hassub,55
if_getnextsubid,423
if_hassubmodal,1060
if_hassuboverlay,1320
if_gettargetmask,457
if_getop,289
if_getcharindexatpos,1222
if_getcharposatindex,68
clientclock,1308
inv_getobj,199
inv_getnum,201
inv_total,694
inv_totalcat,683
inv_size,347
inv_stockbase,356
inv_getvar,499
stat,1148
stat_base,857
stat_visible_xp,208
stat_base_actual,573
stat_visible_xp_actual,974
facing_fine,490
coord,612
coordx,1161
coordy,337
coordz,263
coordx_fine,70
coordy_fine,190
coordz_fine,697
coordlevel_fine,1323
movecoord_fine,838
coord_gridtofine,533
map_members,230
map_preload,1315
map_loadedpercent,760
map_loadingscreen_settriggerpercent,1011
map_loadingscreen_isopen,311
invother_getobj,117
invother_getnum,1061
invother_getvar,46
staffmodlevel,1035
reboottimer,730
map_world,1198
runenergy_visible,51
runweight_visible,1317
playermod,759
playermodlevel,229
playermember,341
comlevel_active,313
gender,197
map_quickchat,973
inv_freespace,994
inv_totalparam,961
map_lang,900
movecoord,934
applet_hasfocus,636
get_mousex,835
get_mousey,584
get_active_minimenu_entry,1279
get_minimenu_length,74
npc_find_active_minimenu_entry,1120
get_currentcursor,2
get_mousebuttons,1074
get_minimenu_target,434
enum_string,571
enum,1114
enum_hasoutput,287
enum_getoutputcount,502
enum_getreversecount,276
enum_getreverseindex,41
friend_count,1166
friend_getname,35
friend_getworld,391
friend_getrank,1286
friend_getnotes,1062
friend_getworldflags,578
friend_test,1024
friend_getworldname,217
clan_getchatdisplayname,1362
clan_getchatcount,456
clan_getchatusername,866
clan_getchatuserworld,1162
clan_getchatuserrank,536
clan_getchatminkick,695
clan_getchatrank,1418
ignore_count,1275
ignore_getname,500
ignore_getnotes,829
ignore_test,576
clan_isself,894
clan_getchatownername,781
clan_getchatuserworldname,122
friend_platform,361
friend_getslotfromname,684
playercountry,557
clan_getchatusername_unfiltered,617
ignore_getname_unfiltered,1192
friend_is_referrer,808
friend_is_referred,553
activeclansettings_find_listened,186
activeclansettings_find_affined,881
activeclansettings_getclanname,563
activeclansettings_getallowunaffined,817
activeclansettings_getranktalk,1124
activeclansettings_getaffinedcount,995
activeclansettings_getaffineddisplayname,748
activeclansettings_getaffinedrank,976
activeclansettings_getbannedcount,1382
activeclansettings_getbanneddisplayname,632
activeclansettings_getaffinedextrainfo,953
activeclansettings_getcurrentowner_slot,718
activeclansettings_getaffinedslot,469
activeclansettings_getsortedaffinedslot,1108
