// Cache 1995 is Portuguese and is not in caches.txt, so nothing unpacks with this table.
// Kept for future reference; build 877 is still covered by 1518, 1410, 2012 and 610.
worldmap_disabletype,1146
worldmap_setzoom,874
worldmap_setmap,924
worldmap_jumptosourcecoord,618
worldmap_jumptodisplaycoord,8
worldmap_setmap_coord_override,233
worldmap_flashelementcategory,979
worldmap_disableelementcategory,255
worldmap_closemap,1227
setwindowmode,1269
setdefaultwindowmode,276
openurl,45
urlencode,290
spline_new,818
spline_addpoint,410
quit,971
openurl_nologin,378
formatminimenu,794
setdefaultcursors,611
sethardcodedopcursors,494
notify_accountcreated,380
notify_accountcreatestarted,405
openurl_shim,63
cam_moveto,983
cam_lookat,650
cam_movealong,520
cam_reset,130
cam_forceangle,217
cam_inc_x,246
cam_dec_x,300
cam_inc_y,1166
cam_dec_y,140
cam_followcoord,49
cam_smoothreset,556
cam2_setlookatmode,507
cam2_setpositionmode,230
cam2_setdepthplanes,997
cam2_setfieldofview,1046
cam2_setlookatpoint_point,22
cam2_setpositionpoint_point,631
cam2_getpositionpoint_point,968
cam2_setlookatentity_player,374
cam2_setlookatentity_npc,943
cam2_setpositionentity_player,759
cam2_setpositionentity_npc,208
cam2_setfieldofviewscreen,16
cam2_removealleffects,347
cam2_setlookatacceleration_axis,687
cam2_setpositionacceleration_axis,17
cam2_setlookatmaxspeed_axis,578
cam2_setpositionmaxspeed_axis,382
cam2_setcollisionmode,711
cam2_setpositionpointcollision,88
cam2_updateeffect_ztilt,219
cam2_setlinearmovementmode,864
cam2_setspringproperties,675
cam2_setpositionangularinterpolation,332
cam2_enable,105
cam2_setsnapdistances,1142
cam2_resetsnapdistances,975
cam2_setlookatorientation_vector,649
cam2_setlookatorientation_xrotation,1205
cam2_setlookatorientation_yrotation,878
cam2_setlookatorientation_xmovement,171
cam2_setlookatorientation_zmovement,905
cam2_setlookatorientation_maxdistanceclamping,657
login_continue,1111
login_resetreply,416
resend_uid_passport_request,111
create_availablerequest,849
create_name_availablerequest,284
create_suggest_name_request,483
create_createrequest,565
create_connectrequest,1223
create_step_reached,919
lobby_entergame,358
lobby_enterlobby,706
lobby_leavelobby,967
create_setunder13,648
login_cancel,879
lobby_enterlobby_social_network,1085
viewport_setfov,413
viewport_setzoom,293
viewport_clampfov,531
worldlist_sort,974
worldlist_pingworlds,822
if_triggerop,376
force_interface_drag,133
cancel_interface_drag,1129
targetmode_active,38
targetmode_cancel,107
autosetup_sethigh,596
autosetup_setmedium,108
autosetup_setlow,1120
autosetup_setmin,468
autosetup_setcustom,930
autosetup_blackflaglast,676
video_advert_force_remove,992
video_advert_allow_skip,493
bug_report,225
array_sort,829
cc_find,1084
if_find,320
cc_getx,52
cc_gety,93
cc_getwidth,1075
cc_getheight,423
cc_gethide,55
cc_getlayer,709
cc_getparentlayer,884
cc_getcolour,299
cc_getscrollx,701
cc_getscrolly,582
cc_gettext,564
cc_getmodelzoom,1179
cc_getmodelangle_x,89
cc_getmodelangle_z,1202
cc_getmodelangle_y,607
cc_gettrans,950
cc_getmodelxof,7
cc_getmodelyof,390
cc_getgraphic,961
cc_param,756
cc_get2dangle,237
cc_getgraphicdimensions,47
cc_getfontmetrics,1247
cc_getinvobject,911
cc_getinvcount,566
cc_getid,891
cc_gettargetmask,712
cc_getop,282
cc_getopbase,918
if_getx,147
if_gety,1151
