// Incomplete, bruteforced from opcodes-902-1103.txt and opcodes-910-1730.txt
push_var,1090
pop_var,139
push_varbit,280
pop_varbit,423
push_constant_string,795
branch,1102
branch_not,847
branch_equals,1097
branch_less_than,71
branch_greater_than,817
branch_less_than_or_equals,1099
branch_greater_than_or_equals,763
push_int_local,283
pop_int_local,1344
push_string_local,982
pop_string_local,444
join_string,962
pop_int_discard,226
pop_string_discard,916
gosub_with_params,834
define_array,673
push_array_int,595
pop_array_int,411
switch,268
push_long_local,597
long_branch_not,1317
cc_create,51
cc_delete,437
cc_deleteall,40
if_sendtofront,1189
if_sendtoback,598
cc_sendtofront,983
cc_sendtoback,753
if_resume_pausebutton,1079
cc_resume_pausebutton,838
baseidkit,10
basecolour,1224
setobj,1323
cc_setposition,719
cc_setsize,503
cc_sethide,991
cc_setaspect,114
cc_setnoclickthrough,727
cc_setscrollpos,760
cc_setcolour,1326
cc_setfill,776
cc_settrans,191
cc_setlinewid,439
cc_setgraphic,1318
cc_set2dangle,675
cc_settiling,316
cc_setmodel,61
cc_setmodelangle,624
cc_setmodelanim,914
cc_settext,700
cc_settextfont,567
cc_settextalign,477
cc_settextshadow,1016
cc_setoutline,65
cc_setgraphicshadow,862
cc_setvflip,959
cc_sethflip,1276
cc_setscrollsize,464
cc_setalpha,612
cc_setmodelzoom,333
cc_setlinedirection,1116
cc_setmaxlines,48
cc_setparam_int,13
cc_setparam_string,1277
cc_setretex,1242
cc_setfontmono,964
cc_setparam,372
cc_setclickmask,1002
cc_setheld,1178
cc_setobject,1131
cc_setnpchead,176
cc_setplayerhead_self,344
cc_setnpcmodel,888
cc_setobject_nonum,1075
cc_setlinkfriend,599
cc_setlinkfriendchat,4
cc_setlinkplayergroup,1091
cc_setlinkactiveclanchannel,1069
cc_resetlinkplayer,533
cc_setobject_wearcol,433
cc_setplayermodel_self,774
cc_setobject_alwaysnum,1293
cc_setop,1244
cc_setdraggable,1088
cc_setdragrenderbehaviour,1266
cc_setdragdeadzone,91
cc_setdragdeadtime,365
cc_setopbase,375
cc_settargetverb,1012
cc_clearops,87
cc_settargetcursors,276
cc_setopcursor,75
cc_setpausetext,748
cc_settargetopcursor,678
cc_setopkey,891
cc_setoptkey,634
cc_setopkeyrate,772
cc_setopkeyignoreheld,1287
