// Incomplete, bruteforced from opcodes-844-1051.txt and opcodes-840-550.txt
// Cache 850 is French and is not in caches.txt, so nothing unpacks with this table.
// Kept for future reference; build 840 is still covered by 550 and 1911.
worldmap_flashelementcategory,221
worldmap_disableelementcategory,59
worldmap_closemap,961
setwindowmode,456
setdefaultwindowmode,441
openurl,324
spline_new,934
spline_addpoint,669
quit,160
openurl_nologin,140
writeconsole,188
formatminimenu,44
setdefaultcursors,908
sethardcodedopcursors,71
notify_accountcreated,1087
notify_accountcreatestarted,823
openurl_shim,533
cam_moveto,429
cam_lookat,732
cam_movealong,1105
cam_reset,973
cam_forceangle,423
cam_inc_x,569
cam_dec_x,856
cam_inc_y,1169
cam_dec_y,819
cam_followcoord,913
cam_smoothreset,1011
cam2_setlookatmode,1164
cam2_setpositionmode,171
cam2_setdepthplanes,926
cam2_setfieldofview,709
cam2_setlookatpoint_point,806
cam2_setpositionpoint_point,29
cam2_getpositionpoint_point,100
cam2_setlookatentity_player,551
cam2_setlookatentity_npc,683
cam2_setpositionentity_player,896
cam2_setpositionentity_npc,328
cam2_setfieldofviewscreen,820
cam2_removealleffects,1056
cam2_setlookatacceleration_axis,2
cam2_setpositionacceleration_axis,930
cam2_setlookatmaxspeed_axis,701
cam2_setpositionmaxspeed_axis,309
cam2_setcollisionmode,866
cam2_setpositionpointcollision,579
cam2_updateeffect_ztilt,1137
cam2_setlinearmovementmode,276
cam2_setspringproperties,279
cam2_setpositionangularinterpolation,938
cam2_enable,118
cam2_setsnapdistances,860
cam2_resetsnapdistances,673
cam2_setlookatorientation_vector,375
cam2_setlookatorientation_xrotation,1095
cam2_setlookatorientation_yrotation,283
cam2_setlookatorientation_xmovement,168
cam2_setlookatorientation_zmovement,452
cam2_setlookatorientation_maxdistanceclamping,783
login_continue,1149
login_resetreply,764
resend_uid_passport_request,691
create_availablerequest,108
create_name_availablerequest,1029
create_suggest_name_request,1175
create_createrequest,695
create_connectrequest,227
create_step_reached,1192
lobby_entergame,897
lobby_enterlobby,8
lobby_leavelobby,872
create_setunder13,887
login_cancel,468
lobby_enterlobby_social_network,875
detail_brightness,1185
detail_removeroofs_option,700
detail_grounddecor_on,1152
detail_flickering_on,481
detail_spotshadows_on,1073
detail_hardshadows,172
detail_lightdetail_high,833
detail_waterdetail_high,364
detail_fog_on,987
detail_antialiasing,795
detail_antialiasing_quality,43
detail_stereo,64
detail_soundvol,1034
detail_musicvol,831
detail_bgsoundvol,397
detail_removeroofs_option_override,1028
detail_particles,122
detail_antialiasing_default,678
detail_buildarea,354
detail_bloom,223
detail_customcursors,562
detail_idleanims,308
detail_groundblending,824
detail_toolkit,34
detail_toolkit_default,975
detail_cpuusage,280
detail_texturing,351
detail_maxscreensize,508
detail_speechvol,286
detail_loginvol,486
detail_loadingscreentype,640
detail_drawdistance,1010
detail_skydetail,475
viewport_setfov,647
viewport_setzoom,597
viewport_clampfov,1078
worldlist_sort,55
worldlist_pingworlds,1008
force_interface_drag,638
cancel_interface_drag,1067
targetmode_active,904
targetmode_cancel,945
autosetup_sethigh,741
autosetup_setmedium,97
autosetup_setlow,121
autosetup_setmin,509
autosetup_setcustom,922
autosetup_blackflaglast,800
video_advert_force_remove,645
video_advert_allow_skip,363
bug_report,493
array_sort,697
cc_find,1093
if_find,394
cc_getx,90
cc_gety,1104
cc_getwidth,568
cc_getheight,110
cc_gethide,46
cc_getlayer,490
cc_getparentlayer,570
cc_getcolour,104
cc_getscrollx,746
cc_getscrolly,694
cc_gettext,162
cc_getmodelzoom,137
cc_getmodelangle_x,415
cc_getmodelangle_z,1006
cc_getmodelangle_y,275
cc_gettrans,148
cc_getmodelxof,366
cc_getmodelyof,594
cc_getgraphic,98
cc_param,720
cc_get2dangle,28
cc_getmodel,325
cc_getgraphicdimensions,1115
cc_getfontmetrics,722
cc_getinvobject,342
cc_getinvcount,739
cc_getid,380
cc_gettargetmask,1023
cc_getop,178
cc_getopbase,444
if_getx,81
if_gety,815
if_getwidth,515
if_getheight,836
if_gethide,208
if_getlayer,247
if_getparentlayer,523
if_getcolour,1165
if_getscrollx,921
if_getscrolly,789
if_gettext,440
if_getscrollwidth,924
if_getscrollheight,1188
if_getmodelzoom,525
if_getmodelangle_x,495
if_getmodelangle_z,230
if_getmodelangle_y,1030
if_gettrans,310
if_getmodelxof,528
if_getmodelyof,609
if_getgraphic,281
if_get2dangle,858
if_getmodel,5
if_getgraphicdimensions,939
if_getfontmetrics,349
if_getinvobject,1094
if_getinvcount,344
if_hassub,1084
if_getnextsubid,21
if_hassubmodal,488
if_hassuboverlay,16
if_gettargetmask,438
if_getop,379
if_getopbase,12
if_getcharindexatpos,1130
if_getcharposatindex,944
clientclock,658
inv_getobj,1075
inv_getnum,1064
inv_total,483
inv_totalcat,277
inv_size,744
inv_stockbase,969
stat,892
stat_base,624
stat_visible_xp,804
stat_base_actual,347
stat_visible_xp_actual,1044
facing_fine,356
coord,881
coordx,176
coordy,113
coordz,814
coordx_fine,288
coordy_fine,680
coordz_fine,479
coordlevel_fine,933
movecoord_fine,256
coord_gridtofine,222
map_members,687
map_preload,883
map_loadedpercent,1199
invother_getobj,119
invother_getnum,1128
staffmodlevel,477
reboottimer,464
map_world,766
runenergy_visible,702
runweight_visible,923
playermod,818
playermodlevel,112
playermember,832
comlevel_active,117
gender,38
map_quickchat,1096
inv_freespace,1140
inv_totalparam,667
map_lang,302
movecoord,895
applet_hasfocus,335
frombilling,396
get_mousex,489
get_mousey,927
get_active_minimenu_entry,765
get_minimenu_length,513
npc_find_active_minimenu_entry,1002
get_currentcursor,285
get_mousebuttons,743
get_minimenu_target,189
enum_string,559
enum,811
enum_hasoutput,705
enum_getoutputcount,164
enum_getreversecount,979
enum_getreverseindex,127
friend_count,894
friend_getname,150
friend_getworld,301
friend_getrank,57
friend_getnotes,72
friend_getworldflags,798
friend_test,995
friend_getworldname,993
clan_getchatdisplayname,690
clan_getchatcount,941
clan_getchatusername,555
clan_getchatuserworld,125
clan_getchatuserrank,749
clan_getchatminkick,788
clan_getchatrank,187
ignore_count,353
ignore_getname,343
ignore_getnotes,1022
ignore_test,615
clan_isself,582
clan_getchatownername,1083
clan_getchatuserworldname,567
friend_platform,802
friend_getslotfromname,156
playercountry,794
clan_getchatusername_unfiltered,707
ignore_getname_unfiltered,825
friend_is_referrer,1014
friend_is_referred,337
activeclansettings_find_listened,614
activeclansettings_find_affined,775
activeclansettings_getclanname,521
activeclansettings_getallowunaffined,435
activeclansettings_getranktalk,937
activeclansettings_getrankkick,175
activeclansettings_getaffinedcount,900
activeclansettings_getaffineddisplayname,951
activeclansettings_getaffinedrank,1004
activeclansettings_getbannedcount,684
activeclansettings_getbanneddisplayname,981
activeclansettings_getcurrentowner_slot,1172
activeclansettings_getaffinedslot,446
activeclansettings_getsortedaffinedslot,52
activeclanchannel_find_listened,50
activeclanchannel_find_affined,152
activeclanchannel_getclanname,1081
activeclanchannel_getrankkick,478
activeclanchannel_getranktalk,916
activeclanchannel_getusercount,91
activeclanchannel_getuserdisplayname,260
activeclanchannel_getuserrank,244
activeclanchannel_getuserworld,145
activeclanchannel_getuserslot,1035
activeclanchannel_getsorteduserslot,146
clanprofile_find,1050
stockmarket_getoffertype,24
stockmarket_getofferitem,1158
stockmarket_getofferprice,968
stockmarket_getoffercount,889
stockmarket_getoffercompletedcount,882
stockmarket_getoffercompletedgold,262
stockmarket_isofferempty,777
stockmarket_isofferfinished,959
stockmarket_isofferadding,703
add,462
sub,216
multiply,510
divide,685
random,484
randominc,84
interpolate,1099
addpercent,66
setbit,942
clearbit,560
testbit,79
modulo,733
pow,502
invpow,972
and,199
or,115
min,646
max,1126
scale,15
random_sound_pitch,86
hsvtorgb,1173
append_num,630
append,1033
append_signnum,1097
get_col_tag,374
lowercase,1133
fromdate,348
text_gender,862
tostring,885
compare,537
paraheight,211
parawidth,48
paraline,507
text_switch,984
escape,1146
append_char,661
char_isprintable,25
char_isalphanumeric,511
char_isnumeric,1038
string_length,546
substring,185
removetags,514
string_indexof_char,454
string_indexof_string,527
char_tolowercase,274
char_touppercase,114
tostring_localised,742
stringwidth,575
string_distance,681
format_datetime_from_minutes,1135
clanforumqfc_tostring,577
oc_name,1168
oc_iop,997
oc_cost,657
oc_stackable,181
oc_category,89
oc_hasvarobj,447
oc_cert,497
oc_uncert,378
oc_wearpos,233
oc_wearpos2,22
oc_members,893
oc_param,1103
oc_icursor,411
oc_find,1160
oc_findnext,796
oc_minimenu_colour,1156
nc_param,809
lc_param,1001
struct_param,636
seqlength,1196
bas_getanim_ready,1187
chat_gethistory_byuid,557
chat_getfilter_private,588
chat_playername,403
chat_getfilter_trade,584
chat_getnextuid,305
chat_getprevuid,854
chat_playername_unfiltered,367
chatcat_getdesc,585
chatcat_getsubcatcount,36
chatcat_getsubcat,544
chatcat_getphrasecount,1134
chatcat_getphrase,651
chatphrase_gettext,384
chatphrase_getautoresponsecount,738
chatphrase_getautoresponse,807
chatcat_getsubcatshortcut,365
chatphrase_getdynamiccommandcount,773
chatphrase_getdynamiccommand,943
