// Incomplete, bruteforced from opcodes-882-973.txt and opcodes-910-1730.txt
push_var,193
pop_var,801
push_varbit,496
pop_varbit,191
push_constant_string,112
branch,24
branch_not,436
branch_equals,954
branch_less_than,268
branch_greater_than,457
branch_less_than_or_equals,448
branch_greater_than_or_equals,762
push_int_local,295
pop_int_local,41
push_string_local,505
pop_string_local,1212
join_string,1099
pop_int_discard,8
pop_string_discard,1188
gosub_with_params,1110
define_array,179
push_array_int,905
pop_array_int,63
switch,888
push_long_local,746
long_branch_not,107
cc_create,509
cc_delete,873
cc_deleteall,871
if_sendtofront,1272
if_sendtoback,748
cc_sendtofront,1019
cc_sendtoback,434
if_resume_pausebutton,1205
cc_resume_pausebutton,525
baseidkit,1022
basecolour,553
setobj,642
cc_setposition,1161
cc_setsize,461
cc_sethide,1040
cc_setaspect,730
cc_setnoclickthrough,982
cc_setscrollpos,827
cc_setcolour,291
cc_setfill,163
cc_settrans,846
cc_setlinewid,1023
cc_setgraphic,477
cc_set2dangle,949
cc_settiling,338
cc_setmodel,614
cc_setmodelangle,410
cc_setmodelanim,403
cc_settext,899
cc_settextfont,1126
cc_settextalign,854
cc_settextshadow,90
cc_setoutline,1166
cc_setgraphicshadow,1048
cc_setvflip,706
cc_sethflip,83
cc_setscrollsize,1047
cc_setalpha,332
cc_setmodelzoom,106
cc_setlinedirection,803
cc_setmaxlines,1061
cc_setparam_int,564
cc_setparam_string,1100
cc_setretex,369
cc_setfontmono,393
cc_setparam,677
cc_setclickmask,910
cc_setobject,1114
cc_setnpchead,883
cc_setplayerhead_self,1012
cc_setnpcmodel,343
cc_setobject_nonum,134
cc_setlinkfriend,430
cc_setlinkfriendchat,261
cc_setlinkplayergroup,869
cc_setlinkactiveclanchannel,809
cc_resetlinkplayer,315
cc_setobject_wearcol,840
cc_setplayermodel_self,1154
cc_setobject_alwaysnum,940
cc_setop,785
cc_setdraggable,1226
cc_setdragrenderbehaviour,136
cc_setdragdeadzone,155
cc_setdragdeadtime,836
cc_setopbase,475
cc_settargetverb,345
cc_clearops,810
cc_settargetcursors,953
cc_setopcursor,514
cc_setpausetext,788
cc_settargetopcursor,256
cc_setopkey,1036
cc_setoptkey,333
cc_setopkeyrate,797
cc_setopkeyignoreheld,551
cc_setoptkeyignoreheld,1087
cc_setmouseovercursor,916
cc_setonclick,939
cc_setonhold,924
cc_setonrelease,956
cc_setonmouseover,531
cc_setonmouseleave,693
cc_setondrag,878
cc_setontargetleave,65
cc_setonvartransmit,894
cc_setontimer,175
cc_setonop,18
cc_setondragcomplete,202
cc_setonclickrepeat,15
cc_setonmouserepeat,833
cc_setoninvtransmit,241
cc_setonstattransmit,669
cc_setontargetenter,1144
cc_setonscrollwheel,441
cc_setonmisctransmit,459
cc_setonvarctransmit,425
cc_setonvarcstrtransmit,805
cc_clearscripthooks,539
if_setposition,530
if_setsize,336
if_sethide,485
if_setnoclickthrough,1213
if_setscrollpos,473
if_setcolour,371
if_setfill,655
if_settrans,595
if_setgraphic,807
if_set2dangle,395
if_settiling,1010
if_setmodel,80
if_setmodelangle,67
if_setmodelanim,362
if_setmodelorthog,957
if_setmodeltint,737
if_setmodellighting,415
if_resetmodellighting,761
if_settext,359
if_settextfont,499
if_settextalign,695
if_settextshadow,989
if_settextantimacro,1106
if_setoutline,349
if_setgraphicshadow,220
if_setvflip,925
if_sethflip,829
if_setscrollsize,689
if_setmodelzoom,1177
if_setlinedirection,1209
if_setmaxlines,463
if_setparam_int,1064
if_setparam_string,320
if_setrecol,1270
if_setretex,676
if_setclickmask,1050
if_setobject,568
if_setnpchead,381
if_setnpcmodel,340
if_setobject_nonum,61
if_setplayermodel_self,613
if_setobject_alwaysnum,606
if_setop,620
if_setdraggable,1071
if_setdragrenderbehaviour,891
if_setdragdeadzone,1146
if_setdragdeadtime,608
if_setopbase,486
if_settargetverb,782
if_clearops,119
if_settargetcursors,841
if_setopcursor,510
if_setpausetext,1164
if_setopkey,1137
if_setoptkey,1127
if_setopkeyrate,50
if_setopkeyignoreheld,1268
if_setmouseovercursor,1034
if_setonclick,251
if_setonhold,1149
if_setonrelease,1060
if_setonmouseover,265
if_setonmouseleave,230
if_setondrag,1215
if_setontargetleave,646
if_setonvartransmit,252
if_setontimer,89
if_setonop,263
if_setondragcomplete,34
if_setonclickrepeat,17
if_setonmouserepeat,793
if_setoninvtransmit,1245
if_setonstattransmit,612
if_setontargetenter,219
if_setonscrollwheel,468
if_setonchattransmit,121
if_setonkey,234
if_setongamepadbutton,661
if_setongamepadbuttonheld,266
if_setongamepadaxis,51
if_setongamepadtrigger,1257
if_setonfriendtransmit,171
if_setonclantransmit,687
if_setonmisctransmit,1260
if_setondialogabort,1229
if_setonsubchange,36
if_setonstocktransmit,960
if_setoncamfinished,842
if_setonresize,467
if_setonvarctransmit,951
if_setonvarcstrtransmit,128
if_setonclansettingstransmit,825
if_setonclanchanneltransmit,624
if_setonvarclantransmit,38
if_setonplayergrouptransmit,1231
if_setonplayergroupvarptransmit,975
if_setoncameraupdatetransmit,1024
if_clearscripthooks,1094
if_callonresize,607
if_npc_setcustombodymodel,153
if_npc_setcustomrecol,351
cc_npc_setcustomrecol,902
mes,1027
return,335
if_close,1179
resume_countdialog,576
resume_namedialog,313
resume_stringdialog,1223
abort_dialog,729
opplayer,1178
resume_objdialog,240
cc_dragpickup,1122
if_opensubclient,631
if_closesubclient,1037
mes_typed,1052
setup_messagebox,1176
resume_hsldialog,587
resume_clanforumqfcdialog,110
sound_synth,152
sound_synth_volume,1085
sound_jingle_volume,1056
sound_vorbis_volume,299
sound_speech_volume,650
sound_vorbis_rate,590
email_validation_add_new_address,860
friend_setrank,1075
friend_setnotes,1252
friend_add,314
friend_del,708
ignore_add,643
ignore_del,122
ignore_setnotes,13
clan_kickuser,405
clan_joinchat,844
clan_leavechat,440
ignore_add_temp,766
activeclanchannel_kickuser,745
chat_setfilter,1155
chat_sendabusereport,407
chat_setmode,1228
chat_sendpublic,495
chat_sendprivate,970
activechatphrase_prepare,269
activechatphrase_send,1206
activechatphrase_sendprivate,900
activechatphrase_setdynamicint,339
activechatphrase_setdynamicobj,930
worldmap_3dview_enable,520
worldmap_3dview_disable,376
worldmap_3dview_setloddistance,259
worldmap_setcategorypriority,835
worldmap_3dview_settextfont,648
worldmap_disabletextsize,557
worldmap_disabletype,227
worldmap_setzoom,550
worldmap_setmap,997
worldmap_jumptosourcecoord,847
worldmap_jumptodisplaycoord,853
worldmap_setmap_coord_override,678
worldmap_flashelementcategory,615
worldmap_disableelementcategory,684
worldmap_closemap,341
setwindowmode,1184
setdefaultwindowmode,1153
openurl,493
urlencode,238
spline_new,986
spline_addpoint,305
quit,896
openurl_nologin,140
formatminimenu,31
setdefaultcursors,54
sethardcodedopcursors,385
notify_accountcreated,881
notify_accountcreatestarted,665
openurl_shim,600
cam_moveto,945
cam_lookat,1082
cam_movealong,864
cam_reset,1190
cam_forceangle,9
cam_inc_x,443
cam_dec_x,942
cam_inc_y,771
cam_dec_y,471
cam_followcoord,30
cam_smoothreset,180
cam2_setlookatmode,820
cam2_setpositionmode,1091
cam2_setdepthplanes,96
cam2_setfieldofview,203
cam2_setlookatpoint_point,773
cam2_setpositionpoint_point,1222
cam2_getpositionpoint_point,401
cam2_setlookatentity_player,1233
cam2_setlookatentity_npc,941
cam2_setpositionentity_player,800
cam2_setpositionentity_npc,1081
cam2_setfieldofviewscreen,358
cam2_removealleffects,701
cam2_setlookatacceleration_axis,298
cam2_setpositionacceleration_axis,1107
cam2_setlookatmaxspeed_axis,919
cam2_setpositionmaxspeed_axis,1113
cam2_setcollisionmode,137
cam2_setpositionpointcollision,194
cam2_updateeffect_ztilt,1148
cam2_setlinearmovementmode,717
cam2_setspringproperties,492
cam2_setpositionangularinterpolation,465
cam2_enable,659
cam2_setsnapdistances,483
cam2_resetsnapdistances,116
cam2_setlookatorientation_vector,380
cam2_setlookatorientation_xrotation,253
cam2_setlookatorientation_yrotation,1145
cam2_setlookatorientation_xmovement,848
cam2_setlookatorientation_zmovement,35
cam2_setlookatorientation_maxdistanceclamping,936
login_continue,285
login_resetreply,666
resend_uid_passport_request,725
create_availablerequest,11
create_name_availablerequest,971
create_suggest_name_request,1070
create_createrequest,1035
create_connectrequest,790
create_step_reached,1259
lobby_entergame,713
lobby_enterlobby,966
