// Incomplete, bruteforced from opcodes-814-1169.txt and opcodes-809-1183.txt
// Build 813 has no gamepack (the mirror lists 812 then 814), so this holds only what scripts show.
notify_accountcreatestarted,307
openurl_shim,922
cam_moveto,751
cam_lookat,966
cam_movealong,728
cam_reset,254
cam_forceangle,207
cam_inc_x,375
cam_dec_x,116
cam_inc_y,939
cam_dec_y,414
cam_followcoord,959
cam_smoothreset,248
cam2_setlookatmode,125
cam2_setpositionmode,759
cam2_setdepthplanes,1026
cam2_setfieldofview,1149
cam2_setlookatpoint_point,302
cam2_setpositionpoint_point,929
cam2_setlookatentity_player,608
cam2_setlookatentity_npc,1152
cam2_setpositionentity_player,1076
cam2_setpositionentity_npc,954
cam2_setfieldofviewscreen,536
cam2_removealleffects,38
cam2_setlookatacceleration_axis,178
cam2_setpositionacceleration_axis,468
cam2_setlookatmaxspeed_axis,257
cam2_setpositionmaxspeed_axis,1158
cam2_setcollisionmode,329
cam2_updateeffect_ztilt,769
cam2_setlinearmovementmode,945
cam2_setspringproperties,16
cam2_setpositionangularinterpolation,880
cam2_enable,931
cam2_setsnapdistances,624
cam2_resetsnapdistances,269
login_continue,882
login_resetreply,0
resend_uid_passport_request,879
create_availablerequest,784
create_name_availablerequest,226
create_suggest_name_request,367
create_createrequest,1032
create_connectrequest,1082
create_step_reached,426
lobby_entergame,842
lobby_enterlobby,703
lobby_leavelobby,211
create_setunder13,130
login_cancel,168
lobby_enterlobby_social_network,383
detail_brightness,581
detail_removeroofs_option,108
detail_grounddecor_on,102
detail_flickering_on,312
detail_spotshadows_on,927
detail_hardshadows,1019
detail_lightdetail_high,803
detail_waterdetail_high,740
detail_fog_on,482
detail_antialiasing,839
detail_antialiasing_quality,861
detail_stereo,259
detail_soundvol,236
detail_musicvol,698
detail_bgsoundvol,745
detail_particles,204
detail_antialiasing_default,757
detail_buildarea,1014
detail_bloom,700
detail_customcursors,232
detail_idleanims,551
detail_groundblending,712
detail_toolkit,576
detail_toolkit_default,431
detail_cpuusage,782
detail_texturing,631
