// Incomplete, bruteforced from opcodes-901-1001.txt and opcodes-910-1730.txt and opcodes-883-596.txt
push_var,382
pop_var,509
push_varbit,1030
pop_varbit,257
push_constant_string,176
branch,938
branch_not,167
branch_equals,604
branch_less_than,1309
branch_greater_than,892
branch_less_than_or_equals,746
branch_greater_than_or_equals,179
push_int_local,804
pop_int_local,940
push_string_local,393
pop_string_local,313
join_string,831
pop_int_discard,1084
pop_string_discard,314
gosub_with_params,568
define_array,35
push_array_int,482
pop_array_int,1105
switch,1218
push_long_local,1263
long_branch_not,643
cc_create,377
cc_delete,933
cc_deleteall,335
if_sendtofront,1010
if_sendtoback,427
cc_sendtofront,328
cc_sendtoback,1305
if_resume_pausebutton,1272
cc_resume_pausebutton,293
baseidkit,829
basecolour,949
setobj,1219
cc_setposition,1345
cc_setsize,478
cc_sethide,556
cc_setaspect,1019
cc_setnoclickthrough,879
cc_setscrollpos,987
cc_setcolour,123
cc_setfill,165
cc_settrans,1214
cc_setlinewid,854
cc_setgraphic,26
cc_set2dangle,1298
cc_settiling,168
cc_setmodel,950
cc_setmodelangle,1159
cc_setmodelanim,1099
cc_settext,1258
cc_settextfont,856
cc_settextalign,330
cc_settextshadow,711
cc_setoutline,209
cc_setgraphicshadow,31
cc_setvflip,218
cc_sethflip,372
cc_setscrollsize,1361
cc_setalpha,284
cc_setmodelzoom,929
cc_setlinedirection,882
cc_setmaxlines,1037
cc_setparam_int,69
cc_setparam_string,282
cc_setretex,149
cc_setfontmono,973
cc_setparam,1255
cc_setclickmask,725
cc_setheld,1337
cc_setobject,15
cc_setnpchead,1281
cc_setplayerhead_self,918
cc_setnpcmodel,1182
cc_setobject_nonum,501
cc_setlinkfriend,101
cc_setlinkfriendchat,641
cc_setlinkplayergroup,1236
cc_setlinkactiveclanchannel,1107
cc_resetlinkplayer,1132
cc_setobject_wearcol,273
cc_setplayermodel_self,479
cc_setobject_alwaysnum,1018
cc_setop,1237
cc_setdraggable,140
cc_setdragrenderbehaviour,151
cc_setdragdeadzone,710
cc_setdragdeadtime,653
cc_setopbase,922
cc_settargetverb,967
cc_clearops,27
cc_settargetcursors,1175
cc_setopcursor,699
cc_setpausetext,458
cc_settargetopcursor,1011
cc_setopkey,242
cc_setoptkey,347
cc_setopkeyrate,66
cc_setopkeyignoreheld,736
cc_setoptkeyignoreheld,848
cc_setmouseovercursor,263
cc_setonclick,1357
cc_setonhold,373
cc_setonrelease,1061
cc_setonmouseover,495
cc_setonmouseleave,7
cc_setondrag,468
cc_setontargetleave,535
cc_setonvartransmit,1001
cc_setontimer,689
cc_setonop,615
cc_setondragcomplete,1184
cc_setonclickrepeat,24
cc_setonmouserepeat,280
cc_setoninvtransmit,264
cc_setonstattransmit,562
cc_setontargetenter,1200
cc_setonscrollwheel,429
cc_setonmisctransmit,925
cc_setonvarctransmit,390
cc_setonvarcstrtransmit,1092
cc_clearscripthooks,162
if_setposition,359
if_setsize,810
if_sethide,44
if_setnoclickthrough,578
