// Incomplete, bruteforced from opcodes-869-1177.txt and opcodes-910-1730.txt
push_var,266
pop_var,411
push_varbit,53
pop_varbit,943
push_constant_string,91
branch,329
branch_not,517
branch_equals,145
branch_less_than,381
branch_greater_than,552
branch_less_than_or_equals,1153
branch_greater_than_or_equals,872
push_int_local,1127
pop_int_local,816
push_string_local,269
pop_string_local,47
join_string,524
pop_int_discard,945
pop_string_discard,126
gosub_with_params,396
define_array,51
push_array_int,972
pop_array_int,849
switch,282
push_long_local,423
long_branch_not,1055
cc_create,156
cc_delete,1135
cc_deleteall,1016
if_sendtofront,368
if_sendtoback,247
cc_sendtofront,847
cc_sendtoback,563
if_resume_pausebutton,1182
cc_resume_pausebutton,441
baseidkit,193
basecolour,71
setobj,296
cc_setposition,1038
cc_setsize,3
cc_sethide,0
cc_setaspect,1247
cc_setnoclickthrough,445
cc_setscrollpos,797
cc_setcolour,1148
cc_setfill,621
cc_settrans,736
cc_setlinewid,383
cc_setgraphic,120
cc_set2dangle,985
cc_settiling,723
cc_setmodel,59
cc_setmodelangle,933
cc_setmodelanim,62
cc_settext,993
cc_settextfont,222
cc_settextalign,711
cc_settextshadow,712
cc_setoutline,454
cc_setgraphicshadow,1068
cc_setvflip,710
cc_sethflip,1123
cc_setscrollsize,636
cc_setalpha,291
cc_setmodelzoom,695
cc_setlinedirection,506
cc_setmaxlines,763
cc_setparam_int,485
cc_setparam_string,786
cc_setretex,218
cc_setparam,1189
cc_setclickmask,271
cc_setobject,667
cc_setnpchead,865
cc_setplayerhead_self,474
cc_setnpcmodel,924
cc_setobject_nonum,963
cc_setlinkfriend,309
cc_setlinkfriendchat,118
cc_setlinkplayergroup,436
cc_setlinkactiveclanchannel,625
cc_resetlinkplayer,941
cc_setobject_wearcol,651
cc_setplayermodel_self,1121
cc_setobject_alwaysnum,336
cc_setop,260
cc_setdraggable,838
cc_setdragrenderbehaviour,479
cc_setdragdeadzone,89
cc_setdragdeadtime,310
cc_setopbase,173
cc_settargetverb,859
cc_clearops,110
cc_settargetcursors,562
cc_setopcursor,1142
cc_setpausetext,76
cc_settargetopcursor,729
cc_setopkey,1258
cc_setoptkey,1093
cc_setopkeyrate,1072
cc_setopkeyignoreheld,36
cc_setoptkeyignoreheld,702
cc_setmouseovercursor,793
cc_setonclick,442
cc_setonhold,1005
cc_setonrelease,817
cc_setonmouseover,627
cc_setonmouseleave,61
cc_setondrag,425
cc_setontargetleave,426
cc_setonvartransmit,54
cc_setontimer,448
cc_setonop,1208
cc_setondragcomplete,591
cc_setonclickrepeat,929
cc_setonmouserepeat,1061
cc_setoninvtransmit,1034
cc_setonstattransmit,216
cc_setontargetenter,767
cc_setonscrollwheel,317
cc_setonmisctransmit,930
cc_setonvarctransmit,632
cc_setonvarcstrtransmit,87
cc_clearscripthooks,235
if_setposition,303
if_setsize,1179
if_sethide,1017
if_setnoclickthrough,884
if_setscrollpos,372
if_setcolour,694
if_setfill,1203
if_settrans,192
if_setgraphic,401
if_set2dangle,1041
if_settiling,750
if_setmodel,129
if_setmodelangle,1084
if_setmodelanim,785
if_setmodelorthog,1056
if_setmodeltint,356
if_setmodellighting,965
if_settext,119
if_settextfont,213
if_settextalign,557
if_settextshadow,1014
if_settextantimacro,1032
if_setoutline,954
if_setgraphicshadow,511
if_setvflip,1114
if_sethflip,1091
if_setscrollsize,724
if_setmodelzoom,800
if_setlinedirection,582
if_setmaxlines,230
if_setparam_int,1105
if_setparam_string,1112
if_setrecol,194
if_setretex,824
if_setclickmask,922
if_setobject,559
if_setnpchead,169
if_setnpcmodel,538
if_setobject_nonum,389
if_setplayermodel_self,1262
if_setobject_alwaysnum,469
if_setop,166
if_setdraggable,542
if_setdragrenderbehaviour,1008
if_setdragdeadzone,98
if_setdragdeadtime,901
if_setopbase,1167
if_settargetverb,546
if_clearops,453
if_settargetcursors,624
if_setopcursor,1043
if_setpausetext,1020
if_setopkey,323
if_setoptkey,905
if_setopkeyrate,40
if_setmouseovercursor,437
if_setonclick,1060
if_setonhold,1030
if_setonrelease,346
if_setonmouseover,366
if_setonmouseleave,1059
if_setondrag,801
if_setontargetleave,420
if_setonvartransmit,392
if_setontimer,115
if_setonop,424
if_setondragcomplete,992
if_setonclickrepeat,1245
if_setonmouserepeat,1031
if_setoninvtransmit,780
if_setonstattransmit,67
if_setontargetenter,1088
if_setonscrollwheel,456
if_setonchattransmit,302
if_setonkey,95
if_setongamepadbutton,128
if_setongamepadbuttonheld,697
if_setongamepadaxis,726
if_setongamepadtrigger,533
if_setonfriendtransmit,670
if_setonclantransmit,666
if_setonmisctransmit,171
if_setondialogabort,986
if_setonsubchange,292
if_setonstocktransmit,807
if_setoncamfinished,1231
if_setonresize,1149
if_setonvarctransmit,275
if_setonvarcstrtransmit,534
if_setonclansettingstransmit,172
if_setonclanchanneltransmit,947
if_setonvarclantransmit,154
if_setonplayergrouptransmit,443
if_setonplayergroupvarptransmit,155
if_setoncameraupdatetransmit,998
if_clearscripthooks,308
if_callonresize,595
if_npc_setcustombodymodel,261
if_npc_setcustomrecol,659
cc_npc_setcustomrecol,579
mes,294
return,569
if_close,353
resume_countdialog,604
resume_namedialog,2
resume_stringdialog,410
abort_dialog,165
opplayer,390
resume_objdialog,934
cc_dragpickup,640
if_opensubclient,598
if_closesubclient,182
mes_typed,1226
setup_messagebox,21
resume_hsldialog,293
resume_clanforumqfcdialog,186
sound_synth,691
sound_synth_volume,584
sound_jingle_volume,825
sound_vorbis_volume,680
sound_speech_volume,144
sound_vorbis_rate,725
email_validation_add_new_address,576
friend_setrank,190
friend_setnotes,243
friend_add,77
friend_del,727
ignore_add,898
ignore_del,580
ignore_setnotes,299
clan_kickuser,681
clan_joinchat,307
clan_leavechat,683
ignore_add_temp,1035
activeclanchannel_kickuser,1025
chat_setfilter,843
chat_sendabusereport,354
chat_setmode,320
chat_sendpublic,370
chat_sendprivate,483
activechatphrase_prepare,1209
activechatphrase_send,457
activechatphrase_sendprivate,828
activechatphrase_setdynamicint,210
activechatphrase_setdynamicobj,263
worldmap_3dview_enable,854
worldmap_3dview_disable,272
worldmap_3dview_setloddistance,236
worldmap_setcategorypriority,1083
worldmap_3dview_settextfont,1071
worldmap_disabletextsize,476
worldmap_disabletype,573
worldmap_setzoom,464
worldmap_setmap,350
worldmap_jumptosourcecoord,734
worldmap_jumptodisplaycoord,646
worldmap_setmap_coord_override,452
worldmap_flashelementcategory,466
worldmap_disableelementcategory,146
worldmap_closemap,1004
setwindowmode,232
setdefaultwindowmode,881
openurl,949
urlencode,1204
spline_new,1042
spline_addpoint,112
quit,977
openurl_nologin,1165
formatminimenu,380
setdefaultcursors,959
sethardcodedopcursors,162
notify_accountcreated,38
notify_accountcreatestarted,902
openurl_shim,1181
cam_moveto,603
cam_lookat,911
cam_movealong,616
cam_reset,80
cam_forceangle,787
cam_inc_x,180
cam_dec_x,1220
cam_inc_y,1128
cam_dec_y,717
cam_followcoord,718
cam_smoothreset,486
cam2_setlookatmode,1197
cam2_setpositionmode,187
cam2_setdepthplanes,109
cam2_setfieldofview,11
cam2_setlookatpoint_point,131
cam2_setpositionpoint_point,385
cam2_getpositionpoint_point,1249
cam2_setlookatentity_player,950
cam2_setlookatentity_npc,357
cam2_setpositionentity_player,1236
cam2_setpositionentity_npc,826
cam2_setfieldofviewscreen,58
cam2_removealleffects,649
cam2_setlookatacceleration_axis,1211
cam2_setpositionacceleration_axis,671
cam2_setlookatmaxspeed_axis,753
cam2_setpositionmaxspeed_axis,676
cam2_setcollisionmode,1213
cam2_setpositionpointcollision,393
cam2_updateeffect_ztilt,1147
cam2_setlinearmovementmode,417
cam2_setspringproperties,348
cam2_setpositionangularinterpolation,69
cam2_enable,1075
cam2_setsnapdistances,203
cam2_resetsnapdistances,581
cam2_setlookatorientation_vector,757
cam2_setlookatorientation_xrotation,914
cam2_setlookatorientation_yrotation,352
cam2_setlookatorientation_xmovement,1066
cam2_setlookatorientation_zmovement,558
cam2_setlookatorientation_maxdistanceclamping,1078
login_continue,257
login_resetreply,1237
resend_uid_passport_request,833
create_availablerequest,429
create_name_availablerequest,1007
create_suggest_name_request,774
create_createrequest,1228
create_connectrequest,663
create_step_reached,715
lobby_entergame,1146
lobby_enterlobby,891
lobby_leavelobby,1039
create_setunder13,264
login_cancel,1217
lobby_enterlobby_social_network,55
viewport_setfov,913
viewport_setzoom,981
viewport_clampfov,658
worldlist_sort,188
worldlist_pingworlds,1000
if_triggerop,1003
force_interface_drag,758
cancel_interface_drag,1070
targetmode_active,889
targetmode_cancel,1080
autosetup_sethigh,1
autosetup_setmedium,277
autosetup_setlow,462
autosetup_setmin,1052
autosetup_setcustom,515
autosetup_blackflaglast,508
video_advert_force_remove,688
video_advert_allow_skip,244
bug_report,416
array_sort,439
cc_find,30
if_find,1046
cc_getx,70
cc_gety,665
