// Incomplete, bruteforced from opcodes-721-304.txt and opcodes-722-305.txt and opcodes-723-306.txt
push_constant_int,931
push_var,768
pop_var,421
push_constant_string,160
branch,233
branch_not,382
branch_equals,24
branch_less_than,434
branch_greater_than,133
return,740
push_varbit,495
pop_varbit,685
branch_less_than_or_equals,4
branch_greater_than_or_equals,209
push_int_local,118
pop_int_local,882
push_string_local,70
pop_string_local,557
join_string,935
pop_int_discard,136
pop_string_discard,480
gosub_with_params,81
push_varc_int,821
pop_varc_int,377
define_array,698
push_array_int,934
pop_array_int,244
push_varc_string,49
pop_varc_string,883
switch,251
push_long_constant,855
push_long_local,695
long_branch_not,564
push_varclan,529
push_varclanbit,771
push_varclansetting,14
push_varclansettingbit,793
push_varclansetting_long,195
push_varclansetting_string,761
cc_create,655
cc_delete,154
cc_deleteall,622
cc_find,629
if_find,899
if_sendtofront,522
if_sendtoback,97
cc_sendtofront,77
cc_sendtoback,56
if_resume_pausebutton,58
baseidkit,593
basecolour,326
setgender,110
setobj,795
cc_setposition,372
cc_setsize,283
cc_sethide,445
cc_setaspect,516
cc_setnoclickthrough,633
cc_setscrollpos,191
cc_setcolour,1
cc_setfill,519
cc_settrans,694
cc_setlinewid,875
cc_setgraphic,164
cc_set2dangle,639
cc_settiling,405
cc_setmodel,67
cc_setmodelangle,940
cc_setmodelanim,385
cc_setmodelorthog,804
cc_settext,317
cc_settextfont,820
cc_settextalign,406
cc_settextshadow,402
cc_settextantimacro,862
cc_setoutline,351
cc_setgraphicshadow,112
cc_setvflip,857
cc_sethflip,384
cc_setscrollsize,969
cc_setalpha,705
cc_setmodelzoom,431
cc_setlinedirection,765
cc_setmaxlines,541
cc_setparam_int,101
cc_setparam_string,624
cc_setretex,51
cc_setclickmask,355
cc_setobject,364
cc_setnpchead,279
cc_setplayerhead_self,588
cc_setobject_nonum,863
cc_setobject_wearcol,280
cc_setplayermodel_self,165
cc_setobject_alwaysnum,670
cc_setop,350
cc_setdraggable,836
cc_setdragrenderbehaviour,71
cc_setdragdeadzone,353
cc_setdragdeadtime,289
cc_setopbase,201
cc_settargetverb,910
cc_clearops,691
cc_settargetcursors,263
cc_setopcursor,287
cc_setpausetext,35
cc_settargetopcursor,865
cc_setonclick,327
cc_setonhold,957
cc_setonrelease,391
cc_setonmouseover,333
cc_setonmouseleave,28
cc_setondrag,352
cc_setontargetleave,281
cc_setonvartransmit,846
cc_setontimer,702
cc_setonop,59
cc_setondragcomplete,47
cc_setonmouserepeat,559
cc_setoninvtransmit,423
cc_setonstattransmit,964
cc_setontargetenter,61
cc_setonvarctransmit,127
cc_setonvarcstrtransmit,810
cc_clearscripthooks,823
cc_getx,739
cc_gety,53
cc_getwidth,870
cc_getheight,989
cc_gethide,750
cc_getlayer,650
cc_getparentlayer,686
cc_getscrolly,449
cc_gettext,907
cc_getmodelzoom,380
cc_getmodelangle_x,774
cc_getmodelangle_z,982
cc_getmodelangle_y,273
cc_gettrans,711
cc_getmodelxof,886
cc_getmodelyof,32
cc_getgraphic,390
cc_param,841
cc_get2dangle,381
cc_getfontmetrics,187
cc_getinvobject,16
cc_getinvcount,539
cc_getid,517
cc_gettargetmask,512
cc_getopbase,410
if_setposition,666
if_setsize,673
if_sethide,439
if_setnoclickthrough,840
if_setscrollpos,166
if_setcolour,226
if_setfill,116
if_settrans,275
if_setgraphic,967
if_set2dangle,991
if_settiling,656
if_setmodel,271
if_setmodelangle,719
if_setmodelanim,640
if_setmodeltint,587
if_settext,552
if_settextfont,526
if_settextalign,282
if_settextshadow,747
if_settextantimacro,715
if_setoutline,654
if_setgraphicshadow,481
if_setvflip,963
if_sethflip,939
if_setscrollsize,117
if_setalpha,672
if_setmodelzoom,554
if_setlinedirection,952
if_setmaxlines,607
if_setparam_int,709
if_setrecol,638
if_setretex,150
if_setclickmask,653
if_setobject,760
if_setnpchead,172
if_setobject_nonum,505
if_setobject_wearcol,753
if_setplayermodel_self,903
if_setobject_alwaysnum,906
if_setop,213
if_setdraggable,332
if_setdragrenderbehaviour,63
if_setopbase,441
if_settargetverb,469
if_clearops,637
if_settargetcursors,885
if_setopcursor,329
if_setpausetext,141
if_setmouseovercursor,360
if_setonclick,447
if_setonhold,346
if_setonrelease,75
if_setonmouseover,602
if_setonmouseleave,580
if_setondrag,609
if_setontargetleave,878
if_setonvartransmit,618
if_setontimer,10
if_setonop,779
if_setondragcomplete,41
if_setonmouserepeat,158
if_setoninvtransmit,578
if_setonstattransmit,511
if_setontargetenter,924
if_setonscrollwheel,801
if_setonchattransmit,9
if_setonkey,658
if_setonfriendtransmit,943
if_setonclantransmit,274
if_setonmisctransmit,125
if_setondialogabort,636
if_setonsubchange,647
if_setonstocktransmit,473
if_setoncamfinished,850
if_setonresize,122
if_setonvarctransmit,221
if_setonvarcstrtransmit,290
if_setonclansettingstransmit,583
if_setonclanchanneltransmit,334
if_setonvarclantransmit,367
if_clearscripthooks,630
if_getx,707
