// Incomplete, bruteforced from opcodes-892-938.txt
push_var,827
pop_var,878
push_varbit,1045
pop_varbit,32
push_constant_string,1025
branch,92
branch_not,1077
branch_equals,1282
branch_less_than,22
branch_greater_than,838
branch_less_than_or_equals,572
branch_greater_than_or_equals,573
push_int_local,154
pop_int_local,422
push_string_local,142
pop_string_local,300
join_string,541
pop_int_discard,104
pop_string_discard,303
gosub_with_params,180
define_array,1085
push_array_int,716
pop_array_int,282
switch,1066
push_long_local,1121
long_branch_not,1223
cc_create,1074
cc_delete,450
cc_deleteall,616
if_sendtofront,410
if_sendtoback,744
cc_sendtofront,742
cc_sendtoback,384
if_resume_pausebutton,594
cc_resume_pausebutton,1225
baseidkit,999
basecolour,673
setobj,440
cc_setposition,464
cc_setsize,619
cc_sethide,193
cc_setaspect,1295
cc_setnoclickthrough,614
cc_setscrollpos,1021
cc_setcolour,493
cc_setfill,659
cc_settrans,605
cc_setlinewid,1075
cc_setgraphic,1252
cc_set2dangle,725
cc_settiling,1069
cc_setmodel,247
cc_setmodelangle,1103
cc_setmodelanim,251
cc_settext,206
cc_settextfont,930
cc_settextalign,782
cc_settextshadow,95
cc_setoutline,996
cc_setgraphicshadow,40
cc_setvflip,1152
cc_sethflip,427
cc_setscrollsize,609
cc_setalpha,1116
cc_setmodelzoom,512
cc_setlinedirection,610
cc_setmaxlines,1331
cc_setparam_int,64
cc_setparam_string,1215
cc_setretex,249
cc_setfontmono,559
cc_setparam,444
cc_setclickmask,682
cc_setobject,1161
cc_setnpchead,650
cc_setplayerhead_self,595
cc_setnpcmodel,620
cc_setobject_nonum,626
cc_setlinkfriend,909
cc_setlinkfriendchat,265
cc_setlinkplayergroup,71
cc_setlinkactiveclanchannel,126
cc_resetlinkplayer,59
cc_setobject_wearcol,1230
cc_setplayermodel_self,636
cc_setobject_alwaysnum,496
cc_setop,738
cc_setdraggable,58
cc_setdragrenderbehaviour,1153
cc_setdragdeadzone,1179
cc_setdragdeadtime,823
cc_setopbase,1145
cc_settargetverb,73
cc_clearops,378
cc_settargetcursors,510
cc_setopcursor,576
cc_setpausetext,1052
