// Incomplete, bruteforced from opcodes-776-608.txt and opcodes-777-2001.txt and opcodes-742-544.txt
push_var,507
pop_var,939
push_varbit,157
pop_varbit,883
push_constant_string,65
branch,1076
branch_not,549
branch_equals,389
branch_less_than,140
branch_greater_than,320
branch_less_than_or_equals,220
branch_greater_than_or_equals,322
push_int_local,487
pop_int_local,224
push_string_local,386
pop_string_local,424
join_string,790
pop_int_discard,697
pop_string_discard,849
gosub_with_params,1082
define_array,265
push_array_int,890
pop_array_int,141
switch,291
push_long_local,803
long_branch_not,1063
cc_create,1119
cc_delete,443
cc_deleteall,861
if_sendtofront,879
if_sendtoback,542
cc_sendtofront,380
cc_sendtoback,105
if_resume_pausebutton,998
baseidkit,558
basecolour,1020
setobj,81
cc_setposition,1018
cc_setsize,178
cc_sethide,805
cc_setaspect,1112
cc_setnoclickthrough,654
cc_setscrollpos,659
cc_setcolour,655
cc_setfill,253
cc_settrans,33
cc_setlinewid,856
cc_setgraphic,488
cc_set2dangle,801
cc_settiling,38
cc_setmodel,956
cc_setmodelangle,928
cc_setmodelanim,20
cc_setmodelorthog,349
cc_settext,373
cc_settextfont,1095
cc_settextalign,555
cc_settextshadow,435
cc_setoutline,682
cc_setgraphicshadow,983
cc_setvflip,8
cc_sethflip,7
cc_setscrollsize,1079
cc_setalpha,668
cc_setmodelzoom,1078
cc_setlinedirection,222
cc_setmaxlines,807
cc_setparam_int,9
cc_setparam_string,815
cc_setretex,927
cc_setparam,172
cc_setclickmask,388
cc_setobject,731
cc_setnpchead,788
cc_setplayerhead_self,450
cc_setnpcmodel,940
cc_setobject_nonum,929
cc_setlinkfriend,327
cc_setobject_wearcol,1041
cc_setplayermodel_self,932
cc_setobject_alwaysnum,1047
cc_setop,477
cc_setdraggable,93
cc_setdragrenderbehaviour,382
cc_setdragdeadzone,768
cc_setdragdeadtime,219
cc_setopbase,343
cc_settargetverb,564
cc_clearops,632
cc_settargetcursors,673
cc_setopcursor,154
cc_setpausetext,646
cc_settargetopcursor,10
cc_setopkey,299
cc_setoptkey,439
cc_setopkeyignoreheld,619
cc_setoptkeyignoreheld,64
cc_setmouseovercursor,786
cc_setonclick,282
cc_setonhold,916
cc_setonrelease,982
cc_setonmouseover,406
cc_setonmouseleave,13
cc_setondrag,711
cc_setontargetleave,695
