// Incomplete, bruteforced from opcodes-905-545.txt and opcodes-910-1730.txt and opcodes-883-596.txt
push_var,170
pop_var,127
push_varbit,786
pop_varbit,24
push_constant_string,585
branch,496
branch_not,360
branch_equals,195
branch_less_than,305
branch_greater_than,1193
branch_less_than_or_equals,1273
branch_greater_than_or_equals,367
push_int_local,95
pop_int_local,937
push_string_local,1046
pop_string_local,1160
join_string,211
pop_int_discard,579
pop_string_discard,636
gosub_with_params,1045
define_array,266
push_array_int,1241
pop_array_int,147
switch,1152
push_long_local,298
long_branch_not,1375
cc_create,1005
cc_delete,961
cc_deleteall,371
if_sendtofront,852
if_sendtoback,1269
cc_sendtofront,1145
cc_sendtoback,1177
if_resume_pausebutton,1089
cc_resume_pausebutton,44
baseidkit,877
basecolour,695
setobj,804
cc_setposition,1133
cc_setsize,373
cc_sethide,452
cc_setaspect,1171
cc_setnoclickthrough,1065
cc_setscrollpos,697
cc_setcolour,165
cc_setfill,767
cc_settrans,992
cc_setlinewid,810
cc_setgraphic,493
cc_set2dangle,526
cc_settiling,460
cc_setmodel,175
cc_setmodelangle,843
cc_setmodelanim,692
cc_settext,1240
cc_settextfont,292
cc_settextalign,572
cc_settextshadow,470
cc_setoutline,353
cc_setgraphicshadow,6
cc_setvflip,1254
cc_sethflip,363
cc_setscrollsize,618
cc_setalpha,781
cc_setmodelzoom,1351
cc_setlinedirection,588
cc_setmaxlines,790
cc_setparam_int,997
cc_setparam_string,375
cc_setretex,612
cc_setfontmono,124
cc_setparam,523
cc_setclickmask,1076
cc_setheld,903
cc_setobject,675
cc_setnpchead,53
cc_setplayerhead_self,548
cc_setnpcmodel,395
cc_setobject_nonum,1252
cc_setlinkfriend,990
cc_setlinkfriendchat,556
cc_setlinkplayergroup,514
cc_setlinkactiveclanchannel,562
cc_resetlinkplayer,238
cc_setobject_wearcol,287
cc_setplayermodel_self,906
cc_setobject_alwaysnum,1300
cc_setop,428
cc_setdraggable,377
cc_setdragrenderbehaviour,304
cc_setdragdeadzone,56
cc_setdragdeadtime,841
cc_setopbase,574
cc_settargetverb,139
cc_clearops,628
cc_settargetcursors,1290
cc_setopcursor,99
cc_setpausetext,800
cc_settargetopcursor,1245
cc_setopkey,1128
cc_setoptkey,217
cc_setopkeyrate,440
cc_setopkeyignoreheld,1215
cc_setoptkeyignoreheld,1126
cc_setmouseovercursor,39
cc_setonclick,823
cc_setonhold,576
cc_setonrelease,1332
cc_setonmouseover,993
cc_setonmouseleave,61
cc_setondrag,815
cc_setontargetleave,492
cc_setonvartransmit,1157
cc_setontimer,476
cc_setonop,388
cc_setondragcomplete,1261
cc_setonclickrepeat,67
cc_setonmouserepeat,416
cc_setoninvtransmit,123
cc_setonstattransmit,1305
cc_setontargetenter,71
cc_setonscrollwheel,119
cc_setonmisctransmit,891
cc_setonresize,668
cc_setonvarctransmit,234
cc_setonvarcstrtransmit,224
cc_clearscripthooks,1314
if_setposition,279
if_setsize,732
if_sethide,412
if_setnoclickthrough,424
if_setscrollpos,1112
if_setcolour,1186
if_setfill,126
if_settrans,1099
if_setgraphic,299
if_set2dangle,1342
if_settiling,1228
if_setmodel,1281
if_setmodelangle,1302
if_setmodelanim,282
if_setmodelorthog,952
if_setmodeltint,1034
if_setmodellighting,754
if_resetmodellighting,1376
if_settext,1088
if_settextfont,1282
if_settextalign,693
if_settextshadow,653
if_settextantimacro,1101
if_setoutline,814
if_setgraphicshadow,624
if_setvflip,169
if_sethflip,297
if_setscrollsize,328
if_setmodelzoom,638
if_setlinedirection,1173
if_setmaxlines,336
if_setparam_int,742
if_setparam_string,447
if_setrecol,98
if_setretex,1107
if_setobject,604
if_setnpchead,1364
if_setnpcmodel,1083
if_setobject_nonum,880
if_setplayermodel_self,746
if_setobject_alwaysnum,1287
if_setop,671
if_setdraggable,768
if_setdragrenderbehaviour,719
if_setopbase,1125
if_settargetverb,1056
if_clearops,1091
if_settargetcursors,1086
if_setopcursor,1333
if_setpausetext,1227
if_setopkey,257
if_setoptkey,847
if_setopkeyrate,1093
if_setopkeyignoreheld,481
if_setmouseovercursor,92
if_setonclick,811
if_setonhold,637
if_setonrelease,913
if_setonmouseover,303
if_setonmouseleave,1058
if_setondrag,1161
if_setontargetleave,229
if_setonvartransmit,441
if_setontimer,82
if_setonop,425
if_setondragcomplete,277
if_setonclickrepeat,772
if_setonmouserepeat,1081
if_setoninvtransmit,784
if_setonstattransmit,344
if_setontargetenter,451
if_setonscrollwheel,679
if_setonchattransmit,252
if_setonkey,1299
if_setongamepadbutton,160
if_setongamepadbuttonheld,676
if_setongamepadaxis,142
if_setongamepadtrigger,326
if_setonfriendtransmit,405
if_setonclantransmit,736
if_setonmisctransmit,533
if_setondialogabort,352
if_setonsubchange,648
if_setonstocktransmit,438
if_setoncamfinished,332
if_setonresize,1303
if_setonvarctransmit,1195
if_setonvarcstrtransmit,691
if_setonclansettingstransmit,591
if_setonclanchanneltransmit,778
if_setonvarclantransmit,9
if_setonplayergrouptransmit,1328
if_setonplayergroupvarptransmit,1175
if_setoncameraupdatetransmit,984
if_clearscripthooks,272
if_callonresize,595
if_npc_setcustombodymodel,1230
if_npc_setcustomrecol,389
cc_npc_setcustomrecol,851
mes,485
return,168
if_close,359
resume_countdialog,1047
resume_namedialog,1217
resume_stringdialog,633
abort_dialog,948
opplayer,1027
resume_objdialog,1315
cc_dragpickup,1192
if_opensubclient,849
if_closesubclient,889
mes_typed,546
setup_messagebox,15
resume_hsldialog,13
resume_clanforumqfcdialog,42
sound_synth,1277
sound_synth_volume,1253
sound_jingle_volume,90
sound_vorbis_volume,31
sound_speech_volume,172
sound_vorbis_rate,355
friend_setrank,927
friend_setnotes,483
friend_add,402
friend_del,729
ignore_add,311
ignore_del,1026
ignore_setnotes,999
clan_kickuser,707
clan_joinchat,893
clan_leavechat,1233
ignore_add_temp,200
activeclanchannel_kickuser,94
chat_setfilter,1197
chat_sendabusereport,1354
chat_setmode,1257
chat_sendpublic,246
chat_sendprivate,678
activechatphrase_prepare,130
activechatphrase_send,738
activechatphrase_sendprivate,1334
activechatphrase_setdynamicint,994
activechatphrase_setdynamicobj,399
worldmap_3dview_enable,1111
worldmap_3dview_disable,756
worldmap_3dview_setloddistance,578
worldmap_setcategorypriority,1144
worldmap_3dview_settextfont,1137
worldmap_disabletextsize,144
worldmap_disabletype,290
worldmap_setzoom,216
worldmap_setmap,1307
worldmap_jumptosourcecoord,802
worldmap_jumptodisplaycoord,944
worldmap_setmap_coord_override,1301
worldmap_flashelementcategory,265
worldmap_disableelementcategory,1373
worldmap_closemap,573
setwindowmode,366
setdefaultwindowmode,1325
openurl,295
urlencode,602
spline_new,518
spline_addpoint,643
quit,490
openurl_nologin,866
formatminimenu,619
setdefaultcursors,798
sethardcodedopcursors,1311
notify_accountcreated,1167
notify_accountcreatestarted,696
openurl_shim,910
cam_moveto,453
cam_lookat,159
cam_movealong,1262
cam_reset,759
cam_forceangle,552
cam_inc_x,962
cam_dec_x,835
cam_inc_y,688
cam_dec_y,1327
cam_followcoord,1057
cam_smoothreset,340
cam2_setlookatmode,1341
cam2_setpositionmode,763
cam2_setdepthplanes,725
cam2_setfieldofview,104
cam2_setlookatpoint_point,1220
cam2_setpositionpoint_point,670
cam2_getpositionpoint_point,125
cam2_setlookatentity_player,1365
cam2_setlookatentity_npc,989
cam2_setpositionentity_player,1064
cam2_setpositionentity_npc,969
cam2_setfieldofviewscreen,739
cam2_removealleffects,774
cam2_setlookatacceleration_axis,769
cam2_setpositionacceleration_axis,541
cam2_setlookatmaxspeed_axis,1106
cam2_setpositionmaxspeed_axis,837
cam2_setcollisionmode,111
cam2_setpositionpointcollision,96
cam2_updateeffect_ztilt,875
cam2_setlinearmovementmode,281
cam2_setspringproperties,35
cam2_setpositionangularinterpolation,408
cam2_enable,1266
cam2_setsnapdistances,179
cam2_resetsnapdistances,1164
cam2_setlookatorientation_vector,664
cam2_setlookatorientation_xrotation,1138
cam2_setlookatorientation_yrotation,291
cam2_setlookatorientation_xmovement,711
cam2_setlookatorientation_zmovement,155
cam2_setlookatorientation_maxdistanceclamping,1136
login_continue,462
login_resetreply,1036
resend_uid_passport_request,764
create_availablerequest,616
create_name_availablerequest,255
create_suggest_name_request,1143
create_createrequest,356
create_connectrequest,583
create_step_reached,100
lobby_entergame,762
lobby_enterlobby,1166
lobby_leavelobby,609
lobby_enterlobby_sso,341
sso_logout,894
shop_open,773
sso_available,812
sso_displayname,1340
create_setunder13,293
login_cancel,978
lobby_enterlobby_social_network,396
viewport_setfov,854
viewport_setzoom,135
viewport_clampfov,153
worldlist_sort,822
worldlist_pingworlds,58
if_triggerop,506
cc_triggerop,1052
force_interface_drag,513
cancel_interface_drag,966
targetmode_active,370
targetmode_cancel,728
autosetup_sethigh,726
autosetup_setmedium,280
autosetup_setlow,945
autosetup_setmin,1006
autosetup_setcustom,862
autosetup_blackflaglast,820
video_advert_force_remove,1260
video_advert_allow_skip,302
bug_report,1159
array_sort,731
cc_find,832
if_find,186
cc_getx,444
cc_gety,1183
cc_getwidth,1013
cc_getheight,73
cc_gethide,121
cc_getlayer,796
cc_getparentlayer,459
cc_getcolour,508
cc_getscrollx,922
cc_getscrolly,698
cc_gettext,981
cc_getscrollheight,191
cc_getmodelzoom,535
cc_getmodelangle_x,765
cc_getmodelangle_z,62
cc_getmodelangle_y,1176
cc_gettrans,794
cc_getmodelxof,1120
cc_getmodelyof,597
cc_getgraphic,1140
cc_param,904
cc_get2dangle,253
cc_getgraphicdimensions,839
cc_getfontmetrics,400
cc_getinvobject,970
cc_getinvcount,1039
cc_getid,240
cc_gettargetmask,1187
cc_getop,785
cc_getopbase,260
if_getx,1071
if_gety,1132
if_getwidth,148
if_getheight,1232
if_gethide,21
if_getlayer,220
if_getparentlayer,11
if_getcolour,294
if_getscrollx,37
if_getscrolly,722
if_gettext,1349
if_getscrollwidth,1207
if_getscrollheight,1073
if_getmodelzoom,446
if_getmodelangle_x,932
if_getmodelangle_z,554
if_getmodelangle_y,418
if_gettrans,1021
if_getmodelxof,797
if_getmodelyof,779
if_getgraphic,973
if_get2dangle,1018
if_getmodel,1127
if_getgraphicdimensions,950
if_getfontmetrics,88
if_getinvobject,346
if_getinvcount,1343
if_hassub,1042
if_getnextsubid,1239
if_hassubmodal,1024
