// Incomplete, bruteforced from opcodes-814-1169.txt and opcodes-809-1183.txt
// Its gamepack jar is not on the mirror; opcodes 182 and 559 named from their call shapes.
openurl_shim,1070
cam_moveto,780
cam_lookat,489
cam_movealong,851
cam_reset,529
cam_forceangle,475
cam_inc_x,33
cam_dec_x,641
cam_inc_y,546
cam_dec_y,270
cam_followcoord,723
cam_smoothreset,218
cam2_setlookatmode,1040
cam2_setpositionmode,960
cam2_setdepthplanes,727
cam2_setfieldofview,796
cam2_setlookatpoint_point,974
cam2_setpositionpoint_point,220
cam2_setlookatentity_player,1014
cam2_setlookatentity_npc,821
cam2_setpositionentity_player,1028
cam2_setpositionentity_npc,902
cam2_setfieldofviewscreen,742
cam2_removealleffects,145
cam2_setlookatacceleration_axis,925
cam2_setpositionacceleration_axis,959
cam2_setlookatmaxspeed_axis,1029
cam2_setpositionmaxspeed_axis,274
cam2_setcollisionmode,958
cam2_updateeffect_ztilt,107
cam2_setlinearmovementmode,868
cam2_setspringproperties,395
cam2_setpositionangularinterpolation,648
cam2_enable,48
cam2_setsnapdistances,591
cam2_resetsnapdistances,418
login_continue,69
login_resetreply,519
resend_uid_passport_request,861
create_availablerequest,943
create_name_availablerequest,304
create_suggest_name_request,557
create_createrequest,701
create_connectrequest,917
create_step_reached,302
lobby_entergame,952
lobby_leavelobby,980
create_setunder13,273
login_cancel,430
detail_brightness,856
detail_removeroofs_option,465
detail_grounddecor_on,149
detail_flickering_on,407
detail_spotshadows_on,755
detail_hardshadows,179
detail_lightdetail_high,759
detail_waterdetail_high,353
detail_fog_on,63
detail_antialiasing,531
detail_antialiasing_quality,1019
detail_stereo,335
detail_soundvol,239
detail_musicvol,842
detail_bgsoundvol,807
detail_particles,416
detail_antialiasing_default,633
detail_buildarea,1002
detail_bloom,1061
detail_customcursors,708
detail_idleanims,18
detail_groundblending,878
detail_toolkit,1016
detail_toolkit_default,355
detail_cpuusage,410
detail_texturing,184
detail_maxscreensize,492
detail_speechvol,392
detail_loginvol,365
detail_loadingscreentype,119
detail_drawdistance,945
detail_skydetail,892
viewport_setfov,319
viewport_setzoom,790
viewport_clampfov,1142
worldlist_sort,998
worldlist_pingworlds,393
force_interface_drag,1046
cancel_interface_drag,130
targetmode_active,23
targetmode_cancel,132
autosetup_sethigh,14
autosetup_setmedium,447
autosetup_setlow,52
autosetup_setmin,622
autosetup_setcustom,904
autosetup_blackflaglast,785
video_advert_force_remove,342
video_advert_allow_skip,989
bug_report,580
array_sort,95
cc_find,1069
if_find,870
cc_getx,786
cc_gety,632
cc_getwidth,973
cc_getheight,669
cc_gethide,508
cc_getlayer,265
cc_getparentlayer,524
cc_getcolour,1112
cc_getscrollx,898
cc_getscrolly,912
cc_gettext,402
cc_getmodelzoom,99
cc_getmodelangle_x,281
cc_getmodelangle_z,836
cc_getmodelangle_y,1047
cc_gettrans,787
cc_getmodelxof,161
cc_getmodelyof,1071
cc_getgraphic,896
cc_param,61
cc_get2dangle,1048
cc_getgraphicdimensions,282
cc_getfontmetrics,96
cc_getinvobject,108
cc_getinvcount,913
cc_getid,791
cc_gettargetmask,659
cc_getop,271
cc_getopbase,427
if_getx,520
if_gety,548
if_getwidth,231
if_getheight,681
if_gethide,196
if_getlayer,72
if_getparentlayer,45
if_getcolour,1093
if_getscrollx,818
if_getscrolly,927
if_gettext,1149
if_getscrollwidth,538
if_getscrollheight,28
if_getmodelzoom,831
if_getmodelangle_x,533
if_getmodelangle_z,435
if_getmodelangle_y,938
if_gettrans,746
if_getmodelxof,1094
if_getmodelyof,154
if_getgraphic,53
if_get2dangle,234
if_getmodel,855
if_getgraphicdimensions,277
if_getfontmetrics,351
if_getinvobject,171
if_getinvcount,252
if_hassub,378
if_getnextsubid,456
if_hassubmodal,564
if_hassuboverlay,444
if_gettargetmask,111
if_getop,799
if_getopbase,370
if_getcharindexatpos,291
if_getcharposatindex,42
clientclock,297
inv_getobj,850
inv_getnum,243
inv_total,982
inv_totalcat,995
inv_size,452
inv_stockbase,990
stat,793
stat_base,599
stat_visible_xp,895
stat_base_actual,62
stat_visible_xp_actual,245
coord,68
