// Incomplete, bruteforced from opcodes-858-1240.txt and opcodes-865-1924.txt
push_var,458
pop_var,461
push_varbit,266
pop_varbit,301
push_constant_string,798
branch,508
branch_not,177
branch_equals,351
branch_less_than,663
branch_greater_than,489
branch_less_than_or_equals,2
branch_greater_than_or_equals,624
push_int_local,370
pop_int_local,232
push_string_local,923
pop_string_local,535
join_string,216
pop_int_discard,1027
pop_string_discard,660
gosub_with_params,293
define_array,984
push_array_int,498
pop_array_int,596
switch,222
push_long_local,962
long_branch_not,543
cc_create,724
cc_delete,838
cc_deleteall,365
if_sendtofront,872
if_sendtoback,511
cc_sendtofront,352
cc_sendtoback,55
if_resume_pausebutton,636
cc_resume_pausebutton,764
baseidkit,26
basecolour,432
setobj,1163
cc_setposition,866
cc_setsize,150
cc_sethide,52
cc_setaspect,595
cc_setnoclickthrough,841
cc_setscrollpos,711
cc_setcolour,178
cc_setfill,288
cc_settrans,1065
cc_setlinewid,294
cc_setgraphic,646
cc_set2dangle,122
cc_settiling,184
cc_setmodel,620
cc_setmodelangle,964
cc_setmodelanim,685
cc_setmodelorthog,784
cc_settext,7
cc_settextfont,1058
cc_settextalign,1128
cc_settextshadow,3
cc_setoutline,414
cc_setgraphicshadow,938
cc_setvflip,999
cc_sethflip,408
cc_setscrollsize,982
cc_setalpha,234
cc_setmodelzoom,701
cc_setlinedirection,942
cc_setmaxlines,893
cc_setparam_int,928
cc_setparam_string,805
cc_setretex,1053
cc_setparam,330
cc_setclickmask,572
cc_setobject,1148
cc_setnpchead,104
cc_setplayerhead_self,102
cc_setnpcmodel,720
cc_setobject_nonum,179
cc_setlinkfriend,332
cc_setlinkfriendchat,589
cc_setlinkplayergroup,1026
cc_setlinkactiveclanchannel,581
cc_resetlinkplayer,297
cc_setobject_wearcol,751
cc_setplayermodel_self,18
cc_setobject_alwaysnum,748
cc_setop,364
cc_setdraggable,622
cc_setdragrenderbehaviour,880
cc_setdragdeadzone,1049
cc_setdragdeadtime,1146
cc_setopbase,1013
cc_settargetverb,444
cc_clearops,1175
cc_settargetcursors,733
cc_setopcursor,972
cc_setpausetext,1102
cc_settargetopcursor,933
cc_setopkey,1199
cc_setoptkey,914
cc_setopkeyrate,92
cc_setopkeyignoreheld,1205
cc_setoptkeyignoreheld,156
cc_setmouseovercursor,545
cc_setonclick,374
cc_setonhold,1111
cc_setonrelease,765
cc_setonmouseover,523
cc_setonmouseleave,634
cc_setondrag,916
cc_setontargetleave,446
cc_setonvartransmit,1116
cc_setontimer,1076
cc_setonop,62
cc_setondragcomplete,1
cc_setonclickrepeat,601
cc_setonmouserepeat,1037
cc_setoninvtransmit,852
cc_setonstattransmit,159
cc_setontargetenter,635
cc_setonmisctransmit,136
cc_setonvarctransmit,817
cc_setonvarcstrtransmit,1083
cc_clearscripthooks,124
if_setposition,401
if_setsize,717
if_sethide,614
if_setnoclickthrough,930
if_setscrollpos,1009
if_setcolour,623
if_setfill,922
if_settrans,849
if_setgraphic,255
if_set2dangle,419
if_settiling,4
if_setmodel,1185
if_setmodelangle,1031
if_setmodelanim,576
if_setmodelorthog,58
if_setmodeltint,739
if_setmodellighting,428
if_settext,1209
if_settextfont,119
if_settextalign,329
if_settextshadow,277
if_settextantimacro,1186
if_setoutline,785
if_setgraphicshadow,743
if_setvflip,815
if_sethflip,631
if_setscrollsize,239
if_setmodelzoom,89
if_setlinedirection,181
if_setmaxlines,168
if_setparam_int,1122
if_setparam_string,242
if_setrecol,1110
if_setretex,925
if_setclickmask,240
if_setobject,1203
if_setnpchead,388
if_setnpcmodel,857
if_setobject_nonum,431
if_setplayermodel_self,570
if_setobject_alwaysnum,205
if_setop,781
if_setdraggable,386
if_setdragrenderbehaviour,115
if_setdragdeadzone,56
if_setdragdeadtime,532
if_setopbase,1215
if_settargetverb,736
if_clearops,302
if_settargetcursors,757
if_setopcursor,16
if_setpausetext,285
if_setopkey,22
if_setoptkey,114
if_setopkeyrate,372
if_setmouseovercursor,669
if_setonclick,143
if_setonhold,462
if_setonrelease,455
if_setonmouseover,626
if_setonmouseleave,454
if_setondrag,1097
if_setontargetleave,451
if_setonvartransmit,371
if_setontimer,163
if_setonop,1042
if_setondragcomplete,645
if_setonclickrepeat,481
if_setonmouserepeat,281
if_setoninvtransmit,435
if_setonstattransmit,676
if_setontargetenter,884
if_setonscrollwheel,425
if_setonchattransmit,139
if_setonkey,375
if_setonfriendtransmit,108
if_setonclantransmit,348
if_setonmisctransmit,823
if_setondialogabort,68
if_setonsubchange,795
