// Incomplete, bruteforced from opcodes-791-1583.txt and opcodes-793-1527.txt and opcodes-793-1469.txt
push_var,225
pop_var,552
push_varbit,328
pop_varbit,817
push_constant_string,542
branch,112
branch_not,822
branch_equals,782
branch_less_than,578
branch_greater_than,179
branch_less_than_or_equals,861
branch_greater_than_or_equals,393
push_int_local,497
pop_int_local,957
push_string_local,982
pop_string_local,882
join_string,259
pop_int_discard,374
pop_string_discard,331
gosub_with_params,844
define_array,762
push_array_int,592
pop_array_int,534
switch,455
push_long_local,441
long_branch_not,62
cc_create,228
cc_delete,905
cc_deleteall,787
if_sendtofront,626
if_sendtoback,901
cc_sendtofront,748
cc_sendtoback,360
if_resume_pausebutton,1105
baseidkit,544
basecolour,701
setobj,727
cc_setposition,511
cc_setsize,1
cc_sethide,221
cc_setaspect,168
cc_setnoclickthrough,467
cc_setscrollpos,1122
cc_setcolour,550
cc_setfill,527
cc_settrans,830
cc_setlinewid,726
cc_setgraphic,14
cc_set2dangle,579
cc_settiling,918
cc_setmodel,470
cc_setmodelangle,546
cc_setmodelanim,472
cc_setmodelorthog,116
cc_settext,422
cc_settextfont,657
cc_settextalign,306
cc_settextshadow,580
cc_setoutline,520
cc_setgraphicshadow,42
cc_setvflip,1118
cc_sethflip,111
cc_setscrollsize,406
cc_setalpha,344
cc_setmodelzoom,807
cc_setlinedirection,587
cc_setmaxlines,1082
cc_setparam_int,611
cc_setparam_string,752
cc_setretex,867
cc_setparam,707
cc_setclickmask,250
cc_setobject,700
cc_setnpchead,367
cc_setplayerhead_self,654
cc_setnpcmodel,705
cc_setobject_nonum,956
cc_setlinkfriend,1042
cc_setobject_wearcol,927
cc_setplayermodel_self,620
cc_setobject_alwaysnum,76
cc_setop,669
cc_setdraggable,141
cc_setdragrenderbehaviour,1035
cc_setdragdeadzone,981
cc_setdragdeadtime,583
cc_setopbase,498
cc_settargetverb,15
cc_clearops,541
cc_settargetcursors,483
cc_setopcursor,1068
cc_setpausetext,642
cc_settargetopcursor,247
cc_setopkey,93
cc_setoptkey,162
cc_setopkeyignoreheld,358
cc_setoptkeyignoreheld,513
cc_setmouseovercursor,636
cc_setonclick,399
cc_setonhold,812
cc_setonrelease,523
cc_setonmouseover,482
cc_setonmouseleave,297
cc_setondrag,1073
cc_setontargetleave,757
cc_setonvartransmit,811
cc_setontimer,26
cc_setonop,600
cc_setondragcomplete,144
cc_setonmouserepeat,234
cc_setoninvtransmit,428
cc_setonstattransmit,852
cc_setontargetenter,794
cc_setonscrollwheel,274
cc_setonmisctransmit,1102
cc_setonvarctransmit,180
cc_setonvarcstrtransmit,1106
cc_clearscripthooks,51
if_setposition,911
if_setsize,398
if_sethide,307
if_setnoclickthrough,640
if_setscrollpos,962
if_setcolour,983
if_setfill,1098
if_settrans,246
if_setgraphic,577
if_set2dangle,780
if_settiling,427
if_setmodel,150
if_setmodelangle,629
if_setmodelanim,1040
if_setmodeltint,628
if_settext,845
if_settextfont,971
if_settextalign,885
if_settextshadow,672
if_settextantimacro,28
if_setoutline,1032
if_setgraphicshadow,55
if_setvflip,622
if_sethflip,291
if_setscrollsize,1134
if_setmodelzoom,226
if_setlinedirection,394
if_setmaxlines,925
if_setparam_int,30
if_setrecol,466
if_setretex,547
if_setclickmask,491
if_setobject,532
if_setnpchead,804
if_setnpcmodel,407
if_setobject_nonum,659
if_setplayermodel_self,145
if_setobject_alwaysnum,1021
if_setop,889
if_setdraggable,614
if_setdragrenderbehaviour,429
if_setopbase,69
if_settargetverb,318
if_clearops,624
if_settargetcursors,189
if_setopcursor,396
if_setpausetext,352
if_setopchar,724
if_setopkey,728
if_setoptkey,37
if_setopkeyrate,991
if_setmouseovercursor,1052
if_setonclick,468
if_setonhold,261
if_setonrelease,172
if_setonmouseover,563
if_setonmouseleave,1005
if_setondrag,271
if_setontargetleave,277
if_setonvartransmit,1124
if_setontimer,323
if_setonop,874
if_setondragcomplete,832
if_setonclickrepeat,509
if_setonmouserepeat,81
if_setoninvtransmit,13
if_setonstattransmit,124
if_setontargetenter,831
if_setonscrollwheel,1081
if_setonchattransmit,643
if_setonkey,381
if_setonfriendtransmit,503
if_setonclantransmit,452
if_setonmisctransmit,761
if_setondialogabort,408
if_setonsubchange,92
if_setonstocktransmit,117
if_setoncamfinished,403
if_setonresize,303
if_setonvarctransmit,978
if_setonvarcstrtransmit,508
if_setonclansettingstransmit,9
if_setonclanchanneltransmit,942
if_setonvarclantransmit,683
if_clearscripthooks,997
if_callonresize,679
if_npc_setcustombodymodel,1133
cc_npc_setcustomrecol,89
mes,443
return,263
if_close,127
resume_countdialog,10
resume_namedialog,270
resume_stringdialog,1083
opplayer,155
