// Incomplete, bruteforced from opcodes-910-1730.txt
push_var,560
pop_var,1429
push_varbit,40
pop_varbit,207
push_constant_string,183
branch,257
branch_not,1079
branch_equals,402
branch_less_than,741
branch_greater_than,1112
branch_less_than_or_equals,923
branch_greater_than_or_equals,2
push_int_local,1046
pop_int_local,685
push_string_local,657
pop_string_local,655
join_string,1365
pop_int_discard,654
pop_string_discard,924
gosub_with_params,628
define_array,38
push_array_int,92
pop_array_int,196
switch,596
push_long_local,788
long_branch_not,1126
cc_create,1283
cc_delete,1351
cc_deleteall,583
if_sendtofront,638
if_sendtoback,400
cc_sendtofront,656
cc_sendtoback,833
if_resume_pausebutton,879
cc_resume_pausebutton,325
baseidkit,864
basecolour,1385
setobj,405
cc_setposition,912
cc_setsize,461
cc_sethide,1030
cc_setaspect,338
cc_setnoclickthrough,1296
cc_setscrollpos,721
cc_setcolour,635
cc_setfill,730
cc_settrans,530
cc_setlinewid,488
cc_setgraphic,811
cc_set2dangle,1172
cc_settiling,241
cc_setmodel,1234
cc_setmodelangle,760
cc_setmodelanim,396
cc_settext,529
cc_settextfont,1380
cc_settextalign,102
cc_settextshadow,1089
cc_setoutline,789
cc_setvflip,152
cc_sethflip,1369
cc_setscrollsize,876
cc_setalpha,225
cc_setmodelzoom,732
cc_setlinedirection,1078
cc_setmaxlines,1162
cc_setparam_int,886
cc_setparam_string,1315
cc_setretex,475
cc_setfontmono,606
cc_setparam,1375
cc_setclickmask,391
cc_setheld,1287
cc_setobject,579
cc_setnpchead,521
cc_setplayerhead_self,1294
cc_setnpcmodel,118
cc_setobject_nonum,725
cc_setlinkfriend,901
cc_setlinkfriendchat,346
cc_setlinkplayergroup,717
cc_setlinkactiveclanchannel,297
cc_resetlinkplayer,283
cc_setobject_wearcol,133
cc_setplayermodel_self,134
cc_setobject_alwaysnum,1031
cc_setop,343
cc_setdraggable,698
cc_setdragrenderbehaviour,422
cc_setdragdeadzone,393
cc_setdragdeadtime,188
cc_setopbase,593
cc_settargetverb,170
cc_clearops,766
cc_settargetcursors,1206
cc_setopcursor,382
cc_setpausetext,62
cc_settargetopcursor,160
cc_setopkey,535
cc_setoptkey,487
cc_setopkeyrate,1120
cc_setopkeyignoreheld,832
cc_setoptkeyignoreheld,1184
cc_setmouseovercursor,807
cc_setonclick,905
cc_setonhold,818
cc_setonrelease,652
cc_setonmouseover,1253
cc_setonmouseleave,408
cc_setondrag,1106
cc_setontargetleave,319
cc_setonvartransmit,1101
cc_setontimer,1288
cc_setonop,455
cc_setondragcomplete,415
cc_setonclickrepeat,14
cc_setonmouserepeat,873
cc_setoninvtransmit,7
cc_setonstattransmit,1047
cc_setontargetenter,150
cc_setonscrollwheel,948
cc_setonmisctransmit,929
cc_setonresize,1155
cc_setonvarctransmit,1405
cc_setonvarcstrtransmit,861
cc_clearscripthooks,1060
cc_callonresize,462
if_setposition,736
if_setsize,1203
if_sethide,410
if_setnoclickthrough,1086
if_setscrollpos,460
if_setcolour,1033
if_setfill,1221
if_settrans,1381
if_setgraphic,603
if_set2dangle,805
if_settiling,937
if_setmodel,1372
if_setmodelangle,136
if_setmodelanim,132
if_setmodelorthog,985
if_setmodeltint,580
if_setmodellighting,89
if_resetmodellighting,738
if_settext,739
if_settextfont,208
if_settextalign,1279
if_settextshadow,107
if_settextantimacro,440
if_setoutline,1332
if_setgraphicshadow,894
if_setvflip,43
if_sethflip,376
if_setscrollsize,130
if_setmodelzoom,588
if_setlinedirection,1236
if_setmaxlines,782
if_setparam_int,1016
if_setparam_string,523
if_setrecol,1075
if_setretex,126
if_setobject,87
if_setnpchead,173
if_setnpcmodel,1134
if_setobject_nonum,1137
if_setplayermodel_self,1032
if_setobject_alwaysnum,432
if_setop,838
if_setdraggable,1051
if_setdragrenderbehaviour,796
if_setopbase,746
if_settargetverb,574
if_clearops,1301
if_settargetcursors,1018
if_setopcursor,1027
if_setpausetext,1428
if_setopkey,872
if_setoptkey,586
if_setopkeyrate,249
if_setopkeyignoreheld,1171
if_setmouseovercursor,239
if_setonclick,1042
if_setonhold,442
if_setonrelease,1302
if_setonmouseover,688
if_setonmouseleave,463
if_setondrag,709
if_setontargetleave,682
if_setonvartransmit,959
if_setontimer,668
if_setonop,546
if_setondragcomplete,953
if_setonclickrepeat,333
if_setonmouserepeat,772
if_setoninvtransmit,749
if_setonstattransmit,272
if_setontargetenter,810
if_setonscrollwheel,835
if_setonchattransmit,1045
if_setonkey,1251
if_setongamepadbutton,1028
if_setongamepadbuttonheld,1007
if_setongamepadaxis,413
if_setongamepadtrigger,899
if_setonfriendtransmit,1039
if_setonclantransmit,109
if_setonmisctransmit,1003
if_setondialogabort,783
if_setonsubchange,352
if_setonstocktransmit,276
if_setoncamfinished,22
if_setonresize,291
if_setonvarctransmit,3
if_setonvarcstrtransmit,550
if_setonclansettingstransmit,179
if_setonclanchanneltransmit,389
if_setonvarclantransmit,561
if_setonplayergrouptransmit,534
if_setonplayergroupvarptransmit,1276
if_setoncameraupdatetransmit,326
if_clearscripthooks,1252
if_callonresize,672
if_npc_setcustombodymodel,169
cc_npc_setcustombodymodel,896
if_npc_setcustomheadmodel,806
if_npc_setcustomrecol,792
cc_npc_setcustomrecol,701
if_npc_setcustomretex,994
cc_npc_setcustomretex,1012
mes,1424
return,609
if_close,1154
resume_countdialog,364
resume_namedialog,1259
resume_stringdialog,1411
abort_dialog,676
opplayer,636
resume_objdialog,254
cc_dragpickup,881
if_opensubclient,305
if_closesubclient,416
mes_typed,1208
setup_messagebox,96
resume_hsldialog,955
resume_clanforumqfcdialog,50
sound_synth,290
sound_synth_volume,765
sound_jingle_volume,756
sound_vorbis_volume,1011
sound_speech_volume,553
sound_vorbis_rate,300
friend_setrank,1290
friend_setnotes,435
friend_add,306
friend_del,48
ignore_add,516
ignore_del,539
ignore_setnotes,1323
clan_kickuser,646
clan_joinchat,323
clan_leavechat,836
ignore_add_temp,70
activeclanchannel_kickuser,590
chat_setfilter,24
chat_sendabusereport,1043
chat_setmode,242
chat_sendpublic,823
chat_sendprivate,373
activechatphrase_prepare,723
activechatphrase_send,607
activechatphrase_sendprivate,1250
activechatphrase_setdynamicint,1317
activechatphrase_setdynamicobj,1280
worldmap_3dview_enable,557
worldmap_3dview_disable,623
worldmap_3dview_setloddistance,312
worldmap_disabletextsize,978
worldmap_disabletype,1352
worldmap_setzoom,620
worldmap_setmap,1066
worldmap_jumptosourcecoord,123
worldmap_jumptodisplaycoord,674
worldmap_setmap_coord_override,486
worldmap_flashelementcategory,1307
worldmap_disableelementcategory,890
worldmap_closemap,41
setwindowmode,1291
setdefaultwindowmode,1167
openurl,295
urlencode,507
spline_new,1161
spline_addpoint,490
quit,869
openurl_nologin,1165
formatminimenu,9
setdefaultcursors,617
sethardcodedopcursors,222
notify_accountcreated,337
notify_accountcreatestarted,1040
openurl_shim,1205
cam_moveto,20
cam_lookat,468
cam_movealong,678
cam_reset,379
cam_forceangle,941
cam_inc_x,390
cam_dec_x,80
cam_inc_y,1077
cam_dec_y,501
cam_followcoord,829
