// Incomplete, bruteforced from opcodes-910-1730.txt
worldmap_setzoom,896
worldmap_setmap,1057
worldmap_jumptosourcecoord,156
worldmap_jumptodisplaycoord,1187
worldmap_setmap_coord_override,537
worldmap_flashelementcategory,756
worldmap_disableelementcategory,1201
worldmap_closemap,847
setwindowmode,121
setdefaultwindowmode,1140
openurl,14
urlencode,1127
spline_new,1162
spline_addpoint,273
quit,1386
openurl_nologin,199
formatminimenu,1185
setdefaultcursors,746
sethardcodedopcursors,653
notify_accountcreated,1318
notify_accountcreatestarted,1226
openurl_shim,1192
cam_moveto,618
cam_lookat,861
cam_movealong,717
cam_reset,1115
cam_forceangle,515
cam_inc_x,916
cam_dec_x,347
cam_inc_y,308
cam_dec_y,1370
cam_followcoord,531
cam_smoothreset,786
cam2_setlookatmode,448
cam2_setpositionmode,263
cam2_setdepthplanes,355
cam2_setfieldofview,765
cam2_setlookatpoint_point,1132
cam2_setpositionpoint_point,957
cam2_getpositionpoint_point,402
cam2_setlookatentity_player,1084
cam2_setlookatentity_npc,260
cam2_setpositionentity_player,754
cam2_setpositionentity_npc,135
cam2_setfieldofviewscreen,238
cam2_removealleffects,1418
cam2_setlookatacceleration_axis,1411
cam2_setpositionacceleration_axis,1223
cam2_setlookatmaxspeed_axis,999
cam2_setpositionmaxspeed_axis,542
cam2_setcollisionmode,373
cam2_setpositionpointcollision,1230
cam2_updateeffect_ztilt,1159
cam2_setlinearmovementmode,913
cam2_setspringproperties,937
cam2_setpositionangularinterpolation,256
cam2_enable,491
cam2_setsnapdistances,716
cam2_resetsnapdistances,411
cam2_setlookatorientation_vector,616
cam2_setlookatorientation_xrotation,533
cam2_setlookatorientation_yrotation,807
cam2_setlookatorientation_xmovement,1406
cam2_setlookatorientation_zmovement,544
cam2_setlookatorientation_maxdistanceclamping,33
login_continue,980
login_resetreply,817
resend_uid_passport_request,649
create_availablerequest,463
create_name_availablerequest,1040
create_suggest_name_request,794
create_createrequest,1424
create_connectrequest,130
create_step_reached,97
lobby_entergame,361
lobby_enterlobby,3
lobby_leavelobby,887
lobby_enterlobby_sso,871
sso_logout,340
shop_open,1108
sso_available,950
sso_displayname,1151
create_setunder13,227
login_cancel,1273
lobby_enterlobby_social_network,1188
viewport_setfov,810
viewport_setzoom,442
viewport_clampfov,672
worldlist_sort,811
worldlist_pingworlds,290
if_triggerop,224
cc_triggerop,615
force_interface_drag,1389
cancel_interface_drag,222
targetmode_active,1275
targetmode_cancel,1241
autosetup_sethigh,364
autosetup_setmedium,1326
autosetup_setlow,207
autosetup_setmin,159
autosetup_setcustom,588
autosetup_blackflaglast,485
video_advert_force_remove,626
video_advert_allow_skip,477
bug_report,1338
array_sort,49
cc_find,475
if_find,1111
cc_getx,468
cc_gety,1065
cc_getwidth,699
cc_getheight,1146
cc_gethide,462
cc_getlayer,212
cc_getparentlayer,1242
cc_getcolour,69
cc_getscrollx,459
cc_getscrolly,229
cc_gettext,184
cc_getscrollheight,959
cc_getmodelzoom,28
cc_getmodelangle_x,255
cc_getmodelangle_z,174
cc_getmodelangle_y,209
cc_gettrans,1410
cc_getmodelxof,165
cc_getmodelyof,1322
cc_getgraphic,535
cc_param,378
cc_get2dangle,561
cc_getgraphicdimensions,1257
cc_getfontmetrics,602
cc_getinvobject,967
cc_getinvcount,563
cc_getid,1168
cc_gettargetmask,1198
cc_getop,894
cc_getopbase,399
if_getx,877
if_gety,170
if_getwidth,1217
if_getheight,1031
if_gethide,1183
if_getlayer,1077
if_getparentlayer,271
if_getcolour,140
if_getscrollx,578
if_getscrolly,312
if_gettext,564
if_getscrollwidth,1399
if_getscrollheight,376
if_getmodelzoom,509
if_getmodelangle_x,1002
if_getmodelangle_z,111
if_getmodelangle_y,12
if_gettrans,662
if_getmodelxof,704
if_getmodelyof,251
if_getgraphic,334
if_get2dangle,276
if_getmodel,87
if_getgraphicdimensions,666
if_getfontmetrics,126
if_getinvobject,382
if_getinvcount,982
if_hassub,790
if_getnextsubid,680
if_hassubmodal,1088
if_hassuboverlay,837
if_gettargetmask,115
if_getop,1228
if_getcharindexatpos,819
if_getcharposatindex,18
clientclock,694
inv_getobj,569
inv_getnum,1143
inv_total,343
inv_totalcat,914
inv_size,302
inv_stockbase,710
inv_getvar,607
stat,1309
stat_base,827
stat_visible_xp,963
stat_base_actual,920
stat_visible_xp_actual,418
facing_fine,947
coord,1240
coordx,1398
coordy,149
coordz,1214
coordx_fine,1164
coordy_fine,711
coordz_fine,1247
coordlevel_fine,568
movecoord_fine,1063
coord_gridtofine,1324
map_members,93
map_preload,27
map_loadedpercent,213
map_loadingscreen_settriggerpercent,635
map_loadingscreen_isopen,1023
invother_getobj,1349
invother_getnum,245
invother_getvar,321
staffmodlevel,34
reboottimer,1304
map_world,941
runenergy_visible,1335
runweight_visible,906
playermod,395
playermodlevel,391
playermember,993
comlevel_active,157
gender,183
map_quickchat,26
inv_freespace,346
inv_totalparam,37
map_lang,774
movecoord,883
applet_hasfocus,1428
get_mousex,691
get_mousey,606
get_active_minimenu_entry,43
get_minimenu_length,1365
npc_find_active_minimenu_entry,530
get_currentcursor,356
get_mousebuttons,403
get_minimenu_target,764
enum_string,1232
enum,663
enum_hasoutput,567
enum_getoutputcount,490
enum_getreversecount,579
enum_getreverseindex,1359
friend_count,1163
friend_getname,1265
friend_getworld,529
friend_getrank,318
friend_getnotes,1011
friend_getworldflags,925
friend_test,625
friend_getworldname,1368
clan_getchatdisplayname,446
clan_getchatcount,633
clan_getchatusername,585
clan_getchatuserworld,408
clan_getchatuserrank,458
clan_getchatminkick,1097
clan_getchatrank,386
ignore_count,261
ignore_getname,1122
ignore_getnotes,766
ignore_test,8
clan_isself,104
clan_getchatownername,426
clan_getchatuserworldname,432
friend_platform,510
friend_getslotfromname,696
playercountry,1044
clan_getchatusername_unfiltered,253
ignore_getname_unfiltered,409
friend_is_referrer,1311
friend_is_referred,541
activeclansettings_find_listened,898
activeclansettings_find_affined,840
activeclansettings_getclanname,1429
activeclansettings_getallowunaffined,725
activeclansettings_getranktalk,497
activeclansettings_getaffinedcount,1104
activeclansettings_getaffineddisplayname,450
activeclansettings_getaffinedrank,512
activeclansettings_getbannedcount,806
activeclansettings_getbanneddisplayname,35
activeclansettings_getaffinedextrainfo,1358
activeclansettings_getcurrentowner_slot,1300
activeclansettings_getaffinedslot,1375
activeclansettings_getsortedaffinedslot,987
activeclansettings_getaffinedjoinruneday,1381
activeclanchannel_find_listened,301
activeclanchannel_find_affined,517
activeclanchannel_getclanname,201
activeclanchannel_getrankkick,204
activeclanchannel_getranktalk,58
activeclanchannel_getusercount,581
activeclanchannel_getuserdisplayname,137
activeclanchannel_getuserrank,936
activeclanchannel_getuserworld,880
activeclanchannel_getuserslot,721
activeclanchannel_getsorteduserslot,138
clanprofile_find,242
stockmarket_getoffertype,605
stockmarket_getofferitem,322
stockmarket_getofferprice,289
stockmarket_getoffercount,850
stockmarket_getoffercompletedcount,65
stockmarket_getoffercompletedgold,1082
stockmarket_isofferempty,113
stockmarket_isofferfinished,1026
stockmarket_isofferadding,755
add,989
sub,89
multiply,1068
divide,977
random,622
randominc,434
interpolate,640
addpercent,590
setbit,534
clearbit,595
testbit,1296
modulo,1118
pow,13
invpow,265
and,918
or,911
min,55
max,62
scale,828
bitcount,737
setbit_range,1337
clearbit_range,511
getbit_range,1161
sin,546
cos,1263
atan2,550
abs,1283
random_sound_pitch,1175
hsvtorgb,237
not,845
append_num,1258
append,109
get_col_tag,1058
lowercase,539
fromdate,1019
tostring,310
compare,650
paraheight,714
parawidth,155
paraline,1422
text_switch,985
escape,144
append_char,779
char_isprintable,1166
char_isalphanumeric,713
char_isnumeric,1179
string_length,1090
substring,379
removetags,961
string_indexof_char,939
string_indexof_string,303
char_tolowercase,780
char_touppercase,621
tostring_localised,1033
stringwidth,886
string_distance,842
format_datetime_from_minutes,1152
clanforumqfc_tostring,1271
oc_name,360
oc_iop,1308
oc_cost,0
oc_stackable,1400
oc_category,593
oc_hasvarobj,709
oc_cert,627
oc_uncert,1222
oc_wearpos,103
oc_wearpos2,860
oc_members,844
oc_param,1419
oc_icursor,131
oc_find,381
oc_findnext,1177
oc_minimenu_colour,180
oc_tradeable,1347
oc_placeholder,835
nc_param,150
lc_param,366
struct_param,1281
seqlength,1032
bas_getanim_ready,40
chat_getfilter_public,279
chat_gethistory_byuid,1038
chat_lastuid,1101
chat_clear,1013
chat_getfilter_private,521
chat_playername,208
chat_getfilter_trade,194
chat_getnextuid,29
chat_getprevuid,902
chat_playername_unfiltered,540
chatcat_getdesc,1007
chatcat_getsubcatcount,1231
chatcat_getsubcat,1156
