// Incomplete, bruteforced from opcodes-841-1179.txt and opcodes-839-724.txt
push_var,731
pop_var,56
push_varbit,242
pop_varbit,295
push_constant_string,424
branch,171
branch_not,524
branch_equals,108
branch_less_than,1084
branch_greater_than,124
branch_less_than_or_equals,226
branch_greater_than_or_equals,106
push_int_local,621
pop_int_local,1009
push_string_local,170
pop_string_local,387
join_string,18
pop_int_discard,594
pop_string_discard,1068
gosub_with_params,589
define_array,700
push_array_int,99
pop_array_int,1051
switch,243
push_long_local,1187
long_branch_not,459
cc_create,513
cc_delete,739
cc_deleteall,1107
if_sendtofront,754
if_sendtoback,753
cc_sendtofront,282
cc_sendtoback,160
if_resume_pausebutton,185
cc_resume_pausebutton,220
baseidkit,158
basecolour,661
setobj,205
cc_setposition,507
cc_setsize,1012
cc_sethide,348
cc_setaspect,153
cc_setnoclickthrough,682
cc_setscrollpos,573
cc_setcolour,779
cc_setfill,176
cc_settrans,848
cc_setlinewid,1019
cc_setgraphic,293
cc_set2dangle,781
cc_settiling,102
cc_setmodel,487
cc_setmodelangle,79
cc_setmodelanim,942
cc_setmodelorthog,927
cc_settext,402
cc_settextfont,903
cc_settextalign,452
cc_settextshadow,648
cc_setoutline,736
cc_setgraphicshadow,509
cc_setvflip,1151
cc_sethflip,959
cc_setscrollsize,819
cc_setalpha,868
cc_setmodelzoom,922
cc_setlinedirection,944
cc_setmaxlines,423
cc_setparam_int,468
cc_setparam_string,497
cc_setretex,1182
cc_setparam,395
cc_setclickmask,121
cc_setobject,549
cc_setnpchead,543
cc_setplayerhead_self,863
cc_setnpcmodel,72
cc_setobject_nonum,446
cc_setlinkfriend,458
cc_setlinkfriendchat,375
cc_setlinkplayergroup,1100
cc_setlinkactiveclanchannel,846
cc_resetlinkplayer,924
cc_setobject_wearcol,684
cc_setplayermodel_self,358
cc_setobject_alwaysnum,97
cc_setop,895
cc_setdraggable,1123
cc_setdragrenderbehaviour,74
cc_setdragdeadzone,443
cc_setdragdeadtime,1074
cc_setopbase,941
cc_settargetverb,221
cc_clearops,391
cc_settargetcursors,1186
cc_setopcursor,376
cc_setpausetext,378
cc_settargetopcursor,1014
cc_setopkey,946
cc_setoptkey,702
cc_setopkeyrate,1191
cc_setopkeyignoreheld,701
cc_setoptkeyignoreheld,887
cc_setmouseovercursor,826
cc_setonclick,1116
cc_setonhold,239
cc_setonrelease,210
cc_setonmouseover,810
cc_setonmouseleave,886
cc_setondrag,525
cc_setontargetleave,1053
cc_setonvartransmit,717
cc_setontimer,191
cc_setonop,629
cc_setondragcomplete,725
cc_setonclickrepeat,82
cc_setonmouserepeat,772
cc_setoninvtransmit,1021
cc_setonstattransmit,676
cc_setontargetenter,276
cc_setonmisctransmit,598
cc_setonvarctransmit,404
cc_setonvarcstrtransmit,254
cc_clearscripthooks,1125
if_setposition,693
if_setsize,486
if_sethide,669
if_setnoclickthrough,292
if_setscrollpos,1033
if_setcolour,211
if_setfill,965
if_settrans,752
if_setgraphic,196
if_set2dangle,647
if_settiling,40
if_setmodel,1102
if_setmodelangle,20
if_setmodelanim,741
if_setmodelorthog,554
if_setmodeltint,816
if_setmodellighting,267
if_settext,255
if_settextfont,764
if_settextalign,884
if_settextshadow,198
if_settextantimacro,305
if_setoutline,381
if_setgraphicshadow,469
if_setvflip,974
if_sethflip,759
if_setscrollsize,1110
if_setmodelzoom,732
if_setlinedirection,52
if_setmaxlines,1096
if_setparam_int,575
if_setrecol,1072
if_setretex,921
if_setclickmask,41
if_setobject,45
if_setnpchead,332
if_setnpcmodel,804
if_setobject_nonum,1126
if_setplayermodel_self,172
if_setobject_alwaysnum,100
if_setop,718
if_setdraggable,1039
if_setdragrenderbehaviour,875
if_setdragdeadzone,415
if_setdragdeadtime,990
if_setopbase,11
if_settargetverb,751
if_clearops,672
if_settargetcursors,880
if_setopcursor,617
if_setpausetext,1
if_setopkey,885
if_setoptkey,645
if_setopkeyrate,127
if_setmouseovercursor,768
if_setonclick,179
if_setonhold,787
if_setonrelease,489
if_setonmouseover,1146
if_setonmouseleave,537
if_setondrag,1154
if_setontargetleave,688
if_setonvartransmit,912
if_setontimer,112
if_setonop,643
if_setondragcomplete,296
if_setonclickrepeat,138
if_setonmouserepeat,200
if_setoninvtransmit,955
if_setonstattransmit,208
if_setontargetenter,164
if_setonscrollwheel,1060
if_setonchattransmit,53
if_setonkey,931
if_setonfriendtransmit,379
if_setonclantransmit,1159
if_setonmisctransmit,482
if_setondialogabort,1081
if_setonsubchange,1094
if_setonstocktransmit,906
if_setoncamfinished,163
if_setonresize,637
if_setonvarctransmit,800
if_setonvarcstrtransmit,104
if_setonclansettingstransmit,765
if_setonclanchanneltransmit,977
if_setonvarclantransmit,565
if_setonplayergrouptransmit,1196
if_setonplayergroupvarptransmit,334
if_setoncameraupdatetransmit,314
if_clearscripthooks,849
if_callonresize,4
if_npc_setcustombodymodel,817
cc_npc_setcustomrecol,317
mes,984
return,51
if_close,730
resume_countdialog,960
resume_namedialog,1140
resume_stringdialog,1113
abort_dialog,474
opplayer,1025
resume_objdialog,995
cc_dragpickup,1118
if_opensubclient,285
if_closesubclient,579
mes_typed,776
setup_messagebox,604
resume_hsldialog,49
resume_clanforumqfcdialog,249
sound_synth,1166
sound_synth_volume,382
sound_jingle_volume,929
sound_vorbis_volume,574
sound_speech_volume,1008
sound_vorbis_rate,48
email_validation_add_new_address,1120
friend_setrank,721
friend_setnotes,88
friend_add,496
friend_del,533
ignore_add,394
ignore_del,294
ignore_setnotes,181
clan_kickuser,425
