// Incomplete, bruteforced from opcodes-783-1109.txt and opcodes-787-521.txt and opcodes-742-544.txt
push_var,931
pop_var,1043
push_varbit,766
pop_varbit,806
push_constant_string,857
branch,916
branch_not,602
branch_equals,638
branch_less_than,156
branch_greater_than,612
branch_less_than_or_equals,249
branch_greater_than_or_equals,813
push_int_local,1018
pop_int_local,650
push_string_local,510
pop_string_local,184
join_string,106
pop_int_discard,41
pop_string_discard,468
gosub_with_params,1098
define_array,547
push_array_int,782
pop_array_int,290
switch,1083
push_long_local,825
long_branch_not,836
cc_create,356
cc_delete,816
cc_deleteall,113
if_sendtofront,598
if_sendtoback,152
cc_sendtofront,664
cc_sendtoback,673
if_resume_pausebutton,666
baseidkit,260
basecolour,228
setobj,143
cc_setposition,706
cc_setsize,76
cc_sethide,1073
cc_setaspect,949
cc_setnoclickthrough,325
cc_setscrollpos,200
cc_setcolour,295
cc_setfill,435
cc_settrans,718
cc_setlinewid,834
cc_setgraphic,403
cc_set2dangle,20
cc_settiling,7
cc_setmodel,698
cc_setmodelangle,391
cc_setmodelanim,104
cc_setmodelorthog,404
cc_settext,988
cc_settextfont,911
cc_settextalign,962
cc_settextshadow,61
cc_setoutline,296
cc_setgraphicshadow,516
cc_setvflip,1030
cc_sethflip,64
cc_setscrollsize,889
cc_setalpha,122
cc_setmodelzoom,969
cc_setlinedirection,42
cc_setmaxlines,49
cc_setparam_int,767
cc_setparam_string,744
cc_setretex,1113
cc_setparam,778
cc_setclickmask,1105
cc_setobject,730
cc_setnpchead,745
cc_setplayerhead_self,80
cc_setnpcmodel,837
cc_setobject_nonum,214
cc_setlinkfriend,707
cc_setobject_wearcol,433
cc_setplayermodel_self,771
cc_setobject_alwaysnum,270
cc_setop,1006
cc_setdraggable,595
cc_setdragrenderbehaviour,992
cc_setdragdeadzone,964
cc_setdragdeadtime,635
cc_setopbase,572
cc_settargetverb,725
cc_clearops,344
cc_settargetcursors,758
cc_setopcursor,787
cc_setpausetext,242
cc_settargetopcursor,274
cc_setopkey,733
cc_setoptkey,674
cc_setopkeyignoreheld,563
cc_setoptkeyignoreheld,591
cc_setmouseovercursor,123
cc_setonclick,632
cc_setonhold,672
cc_setonrelease,379
cc_setonmouseover,734
cc_setonmouseleave,470
cc_setondrag,320
cc_setontargetleave,705
cc_setonvartransmit,259
cc_setontimer,71
cc_setonop,1019
cc_setondragcomplete,31
cc_setonmouserepeat,551
cc_setoninvtransmit,797
cc_setonstattransmit,480
cc_setontargetenter,596
cc_setonscrollwheel,444
cc_setonmisctransmit,571
cc_setonvarctransmit,544
cc_setonvarcstrtransmit,872
cc_clearscripthooks,3
if_setposition,567
if_setsize,423
if_sethide,355
if_setnoclickthrough,264
if_setscrollpos,593
if_setcolour,654
if_setfill,490
if_settrans,467
if_setgraphic,300
if_set2dangle,956
if_settiling,519
if_setmodel,253
if_setmodelangle,537
if_setmodelanim,781
if_setmodeltint,1000
if_settext,116
if_settextfont,170
if_settextalign,748
if_settextshadow,301
if_settextantimacro,445
if_setoutline,869
if_setgraphicshadow,1026
if_setvflip,473
if_sethflip,777
if_setscrollsize,477
if_setmodelzoom,50
if_setlinedirection,371
if_setmaxlines,755
if_setparam_int,255
if_setrecol,1074
if_setretex,829
if_setclickmask,326
if_setobject,608
if_setnpchead,175
if_setnpcmodel,158
if_setobject_nonum,479
if_setplayermodel_self,900
if_setobject_alwaysnum,1024
if_setop,634
if_setdraggable,1047
if_setdragrenderbehaviour,33
if_setopbase,893
if_settargetverb,951
if_clearops,374
if_settargetcursors,281
if_setopcursor,1078
if_setpausetext,819
if_setopchar,702
if_setopkey,1121
if_setoptkey,401
if_setopkeyrate,899
if_setmouseovercursor,636
if_setonclick,831
if_setonhold,556
if_setonrelease,69
if_setonmouseover,1100
if_setonmouseleave,853
if_setondrag,958
if_setontargetleave,1071
if_setonvartransmit,843
if_setontimer,721
if_setonop,641
if_setondragcomplete,412
if_setonclickrepeat,126
if_setonmouserepeat,132
if_setoninvtransmit,735
if_setonstattransmit,1016
if_setontargetenter,35
if_setonscrollwheel,273
if_setonchattransmit,190
if_setonkey,739
if_setonfriendtransmit,750
if_setonclantransmit,566
if_setonmisctransmit,366
if_setondialogabort,799
if_setonsubchange,953
if_setonstocktransmit,764
if_setoncamfinished,244
if_setonresize,148
if_setonvarctransmit,56
if_setonvarcstrtransmit,98
if_setonclansettingstransmit,727
if_setonclanchanneltransmit,438
if_setonvarclantransmit,983
if_clearscripthooks,1057
if_callonresize,159
if_npc_setcustombodymodel,894
cc_npc_setcustomrecol,1066
mes,252
return,741
if_close,14
resume_countdialog,538
resume_namedialog,429
resume_stringdialog,373
opplayer,1008
resume_objdialog,441
cc_dragpickup,389
if_opensubclient,112
if_closesubclient,138
mes_typed,62
setup_messagebox,606
resume_hsldialog,358
resume_clanforumqfcdialog,534
sound_synth,350
sound_jingle,1060
sound_vorbis_volume,529
sound_vorbis_rate,442
email_validation_add_new_address,291
friend_setrank,39
friend_add,592
friend_del,713
ignore_add,177
ignore_del,18
clan_kickuser,367
clan_joinchat,161
clan_leavechat,576
ignore_add_temp,306
activeclanchannel_kickuser,999
chat_setfilter,765
chat_sendabusereport,616
chat_setmode,313
chat_sendpublic,866
chat_sendprivate,574
activechatphrase_prepare,660
activechatphrase_send,222
activechatphrase_sendprivate,292
activechatphrase_sendclan,413
activechatphrase_setdynamicint,30
activechatphrase_setdynamicobj,684
activechatphrase_sendclanchannel_affined,144
activechatphrase_sendclanchannel_listened,584
worldmap_3dview_enable,828
worldmap_3dview_disable,172
worldmap_3dview_setloddistance,12
worldmap_setcategorypriority,208
worldmap_3dview_settextfont,117
worldmap_disabletextsize,877
worldmap_disabletype,860
worldmap_setzoom,115
worldmap_setmap,985
worldmap_jumptosourcecoord,621
worldmap_jumptodisplaycoord,981
worldmap_setmap_coord_override,1064
worldmap_flashelementcategory,102
worldmap_disableelementcategory,651
worldmap_closemap,923
setwindowmode,398
setdefaultwindowmode,1086
openurl,919
spline_new,696
spline_addpoint,1112
quit,224
openurl_nologin,746
writeconsole,807
formatminimenu,497
setdefaultcursors,560
