// Incomplete, bruteforced from opcodes-896-687.txt and opcodes-910-1730.txt and opcodes-883-596.txt
push_var,977
pop_var,1037
push_varbit,1297
pop_varbit,932
push_constant_string,417
branch,709
branch_not,84
branch_equals,712
branch_less_than,113
branch_greater_than,171
branch_less_than_or_equals,566
branch_greater_than_or_equals,1244
push_int_local,1323
pop_int_local,644
push_string_local,114
pop_string_local,1024
join_string,1295
pop_int_discard,773
pop_string_discard,478
gosub_with_params,1081
define_array,686
push_array_int,263
pop_array_int,636
switch,157
push_long_local,24
long_branch_not,394
cc_create,911
cc_delete,445
cc_deleteall,797
if_sendtofront,435
if_sendtoback,860
cc_sendtofront,198
cc_sendtoback,161
if_resume_pausebutton,1151
cc_resume_pausebutton,976
baseidkit,10
basecolour,469
setobj,765
cc_setposition,835
cc_setsize,396
cc_sethide,371
cc_setaspect,326
cc_setnoclickthrough,1276
cc_setscrollpos,806
cc_setcolour,1029
cc_setfill,169
cc_settrans,1242
cc_setlinewid,1173
cc_setgraphic,670
cc_set2dangle,629
cc_settiling,334
cc_setmodel,715
cc_setmodelangle,865
cc_setmodelanim,1167
cc_settext,372
cc_settextfont,411
cc_settextalign,769
cc_settextshadow,98
cc_setoutline,1006
cc_setgraphicshadow,927
cc_setvflip,277
cc_sethflip,774
cc_setscrollsize,549
cc_setalpha,996
cc_setmodelzoom,392
cc_setlinedirection,646
cc_setmaxlines,963
cc_setparam_int,272
cc_setparam_string,295
cc_setretex,692
cc_setfontmono,357
cc_setparam,940
cc_setclickmask,1039
cc_setobject,704
cc_setnpchead,1207
cc_setplayerhead_self,285
cc_setnpcmodel,1280
cc_setobject_nonum,689
cc_setlinkfriend,222
cc_setlinkfriendchat,607
cc_setlinkplayergroup,97
cc_setlinkactiveclanchannel,788
cc_resetlinkplayer,46
cc_setobject_wearcol,1123
cc_setplayermodel_self,20
cc_setobject_alwaysnum,462
cc_setop,676
cc_setdraggable,339
cc_setdragrenderbehaviour,1046
cc_setdragdeadzone,584
cc_setdragdeadtime,164
cc_setopbase,233
cc_settargetverb,165
cc_clearops,424
cc_settargetcursors,862
cc_setopcursor,1176
cc_setpausetext,539
cc_settargetopcursor,861
cc_setopkey,127
cc_setoptkey,1325
cc_setopkeyrate,71
cc_setopkeyignoreheld,1303
cc_setoptkeyignoreheld,620
cc_setmouseovercursor,1192
cc_setonclick,1205
cc_setonhold,1230
cc_setonrelease,1055
cc_setonmouseover,725
cc_setonmouseleave,289
cc_setondrag,615
cc_setontargetleave,1249
cc_setonvartransmit,907
cc_setontimer,17
cc_setonop,146
cc_setondragcomplete,1256
cc_setonclickrepeat,559
cc_setonmouserepeat,713
cc_setoninvtransmit,427
cc_setonstattransmit,1153
cc_setontargetenter,697
cc_setonscrollwheel,1135
cc_setonmisctransmit,346
cc_setonvarctransmit,1125
cc_setonvarcstrtransmit,1023
cc_clearscripthooks,682
if_setposition,875
if_setsize,133
if_sethide,375
if_setnoclickthrough,1213
if_setscrollpos,1307
if_setcolour,1049
if_setfill,1105
if_settrans,100
if_setgraphic,213
if_set2dangle,1035
if_settiling,1101
if_setmodel,353
if_setmodelangle,952
if_setmodelanim,1336
if_setmodelorthog,503
if_setmodeltint,94
if_setmodellighting,1117
if_resetmodellighting,266
if_settext,626
if_settextfont,820
if_settextalign,1177
if_settextshadow,1253
if_settextantimacro,684
if_setoutline,543
if_setgraphicshadow,1061
