// Incomplete, bruteforced from opcodes-721-304.txt and opcodes-722-305.txt and opcodes-723-306.txt
push_constant_int,575
push_var,512
pop_var,24
push_constant_string,958
branch,704
branch_not,861
branch_equals,482
branch_less_than,632
branch_greater_than,666
return,630
push_varbit,368
pop_varbit,82
branch_less_than_or_equals,590
branch_greater_than_or_equals,593
push_int_local,175
pop_int_local,45
push_string_local,156
pop_string_local,279
join_string,314
pop_int_discard,95
pop_string_discard,173
gosub_with_params,596
push_varc_int,432
pop_varc_int,222
define_array,725
push_array_int,39
pop_array_int,519
push_varc_string,395
pop_varc_string,919
switch,255
push_long_constant,394
push_long_local,60
long_branch_not,915
push_varclan,562
push_varclanbit,650
push_varclansetting,780
push_varclansettingbit,252
push_varclansetting_long,360
push_varclansetting_string,458
cc_create,902
cc_delete,170
cc_deleteall,908
cc_find,285
if_find,188
if_sendtofront,960
if_sendtoback,794
cc_sendtofront,37
cc_sendtoback,561
if_resume_pausebutton,670
baseidkit,55
basecolour,232
setgender,418
setobj,276
cc_setposition,665
cc_setsize,431
cc_sethide,462
cc_setaspect,430
cc_setnoclickthrough,111
cc_setscrollpos,684
cc_setcolour,234
cc_setfill,617
cc_settrans,13
cc_setlinewid,16
cc_setgraphic,511
cc_set2dangle,931
cc_settiling,247
cc_setmodel,335
cc_setmodelangle,133
cc_setmodelanim,332
cc_setmodelorthog,984
cc_settext,51
cc_settextfont,987
cc_settextalign,568
cc_settextshadow,528
cc_settextantimacro,786
cc_setoutline,715
cc_setgraphicshadow,556
cc_setvflip,504
cc_sethflip,813
cc_setscrollsize,149
cc_setalpha,311
cc_setmodelzoom,467
cc_setlinedirection,714
cc_setmaxlines,203
cc_setparam_int,69
cc_setparam_string,694
cc_setretex,777
cc_setclickmask,87
cc_setobject,603
cc_setnpchead,608
cc_setplayerhead_self,401
cc_setobject_nonum,174
cc_setobject_wearcol,843
cc_setplayermodel_self,693
cc_setobject_alwaysnum,371
cc_setop,648
cc_setdraggable,916
cc_setdragrenderbehaviour,396
cc_setdragdeadzone,918
cc_setdragdeadtime,627
cc_setopbase,138
cc_settargetverb,281
cc_clearops,309
cc_settargetcursors,428
cc_setopcursor,852
cc_setpausetext,61
cc_settargetopcursor,202
cc_setonclick,177
cc_setonhold,455
cc_setonrelease,549
cc_setonmouseover,398
cc_setonmouseleave,507
cc_setondrag,976
cc_setontargetleave,914
cc_setonvartransmit,833
cc_setontimer,297
cc_setonop,823
cc_setondragcomplete,137
cc_setonmouserepeat,443
cc_setoninvtransmit,978
cc_setonstattransmit,473
cc_setontargetenter,273
cc_setonvarctransmit,751
cc_setonvarcstrtransmit,877
