// Incomplete, bruteforced from opcodes-799-1515.txt and opcodes-800-572.txt
push_var,987
pop_var,316
push_varbit,292
pop_varbit,317
push_constant_string,905
branch,508
branch_not,43
branch_equals,650
branch_less_than,882
branch_greater_than,371
branch_less_than_or_equals,84
branch_greater_than_or_equals,1051
push_int_local,282
pop_int_local,1
push_string_local,803
pop_string_local,1103
join_string,212
pop_int_discard,281
pop_string_discard,352
gosub_with_params,55
define_array,467
push_array_int,654
pop_array_int,293
switch,819
push_long_local,655
long_branch_not,453
cc_create,227
cc_delete,1140
cc_deleteall,929
if_sendtofront,264
if_sendtoback,404
cc_sendtofront,1070
cc_sendtoback,191
if_resume_pausebutton,588
baseidkit,923
basecolour,358
setobj,250
cc_setposition,376
cc_setsize,23
cc_sethide,431
cc_setaspect,697
cc_setnoclickthrough,342
cc_setscrollpos,377
cc_setcolour,1015
cc_setfill,121
cc_settrans,925
cc_setlinewid,63
cc_setgraphic,812
cc_set2dangle,1125
cc_settiling,1011
cc_setmodel,147
cc_setmodelangle,768
cc_setmodelanim,964
cc_setmodelorthog,723
cc_settext,883
cc_settextfont,1120
cc_settextalign,451
cc_settextshadow,1000
cc_setoutline,334
cc_setgraphicshadow,429
cc_setvflip,976
cc_sethflip,94
cc_setscrollsize,953
cc_setalpha,1028
cc_setmodelzoom,1008
cc_setlinedirection,1139
cc_setmaxlines,143
cc_setparam_int,299
cc_setparam_string,567
cc_setretex,725
cc_setparam,881
cc_setclickmask,296
cc_setobject,490
cc_setnpchead,1114
cc_setplayerhead_self,274
cc_setnpcmodel,1043
cc_setobject_nonum,840
cc_setlinkfriend,382
cc_setobject_wearcol,1054
cc_setplayermodel_self,76
cc_setobject_alwaysnum,543
cc_setop,368
cc_setdraggable,621
cc_setdragrenderbehaviour,1136
cc_setdragdeadzone,118
cc_setdragdeadtime,14
cc_setopbase,933
cc_settargetverb,523
cc_clearops,846
cc_settargetcursors,759
cc_setopcursor,714
cc_setpausetext,432
cc_settargetopcursor,158
cc_setopkey,1007
cc_setoptkey,381
cc_setopkeyrate,439
cc_setopkeyignoreheld,1096
cc_setoptkeyignoreheld,499
cc_setmouseovercursor,416
cc_setonclick,1118
cc_setonhold,916
cc_setonrelease,970
cc_setonmouseover,275
cc_setonmouseleave,920
cc_setondrag,327
cc_setontargetleave,483
cc_setonvartransmit,488
cc_setontimer,853
cc_setonop,378
cc_setondragcomplete,1113
cc_setonmouserepeat,440
cc_setoninvtransmit,351
cc_setonstattransmit,263
cc_setontargetenter,510
cc_setonscrollwheel,248
cc_setonmisctransmit,504
cc_setonvarctransmit,218
cc_setonvarcstrtransmit,570
cc_clearscripthooks,200
if_setposition,190
if_setsize,244
if_sethide,779
if_setnoclickthrough,203
if_setscrollpos,289
if_setcolour,386
if_setfill,1023
if_settrans,804
if_setgraphic,522
if_set2dangle,796
if_settiling,354
if_setmodel,49
if_setmodelangle,633
if_setmodelanim,180
if_setmodeltint,495
if_setmodellighting,799
if_settext,663
if_settextfont,114
if_settextalign,211
if_settextshadow,847
if_settextantimacro,961
if_setoutline,997
if_setgraphicshadow,816
if_setvflip,551
if_sethflip,656
if_setscrollsize,895
if_setmodelzoom,752
if_setlinedirection,113
if_setmaxlines,563
if_setparam_int,809
if_setrecol,58
if_setretex,1025
if_setclickmask,39
if_setobject,1078
if_setnpchead,210
if_setnpcmodel,975
if_setobject_nonum,481
if_setplayermodel_self,125
if_setobject_alwaysnum,857
if_setop,445
if_setdraggable,437
if_setdragrenderbehaviour,936
if_setopbase,683
if_settargetverb,109
if_clearops,153
if_settargetcursors,946
if_setopcursor,284
if_setpausetext,41
if_setopchar,698
if_setopkey,644
if_setoptkey,398
if_setopkeyrate,278
if_setmouseovercursor,924
if_setonclick,593
if_setonhold,195
if_setonrelease,414
