// Incomplete, bruteforced from opcodes-869-1415.txt
push_var,457
pop_var,100
push_varbit,1016
pop_varbit,105
push_constant_string,1096
branch,185
branch_not,1193
branch_equals,841
branch_less_than,436
branch_greater_than,321
branch_less_than_or_equals,1157
branch_greater_than_or_equals,1188
push_int_local,388
pop_int_local,211
push_string_local,374
pop_string_local,447
join_string,507
pop_int_discard,44
pop_string_discard,988
gosub_with_params,47
define_array,452
push_array_int,306
pop_array_int,985
switch,1217
push_long_local,437
long_branch_not,190
cc_create,516
cc_delete,134
cc_deleteall,511
if_sendtofront,720
if_sendtoback,554
cc_sendtofront,1194
cc_sendtoback,477
if_resume_pausebutton,909
cc_resume_pausebutton,788
baseidkit,783
basecolour,1033
setobj,704
cc_setposition,902
cc_setsize,435
cc_sethide,936
cc_setaspect,155
cc_setnoclickthrough,529
cc_setscrollpos,427
cc_setcolour,903
cc_setfill,931
cc_settrans,402
cc_setlinewid,0
cc_setgraphic,426
cc_set2dangle,141
cc_settiling,320
cc_setmodel,550
cc_setmodelangle,4
cc_setmodelanim,750
cc_settext,1024
cc_settextfont,865
cc_settextalign,34
cc_settextshadow,1014
cc_setoutline,1155
cc_setgraphicshadow,1028
cc_setvflip,643
cc_sethflip,203
cc_setscrollsize,1191
cc_setalpha,587
cc_setmodelzoom,354
cc_setlinedirection,645
cc_setmaxlines,346
cc_setparam_int,762
cc_setparam_string,920
cc_setretex,1050
cc_setparam,245
cc_setclickmask,1227
cc_setobject,987
cc_setnpchead,1051
cc_setplayerhead_self,443
cc_setnpcmodel,438
cc_setobject_nonum,253
cc_setlinkfriend,237
cc_setlinkfriendchat,1045
cc_setlinkplayergroup,1154
cc_setlinkactiveclanchannel,419
cc_resetlinkplayer,1237
cc_setobject_wearcol,117
cc_setplayermodel_self,1009
cc_setobject_alwaysnum,922
cc_setop,53
cc_setdraggable,1233
cc_setdragrenderbehaviour,545
cc_setdragdeadzone,1042
cc_setdragdeadtime,544
cc_setopbase,395
cc_settargetverb,432
cc_clearops,178
cc_settargetcursors,721
cc_setopcursor,1158
cc_setpausetext,87
cc_settargetopcursor,804
cc_setopkey,339
cc_setoptkey,1127
cc_setopkeyrate,164
cc_setopkeyignoreheld,422
cc_setoptkeyignoreheld,763
cc_setmouseovercursor,491
cc_setonclick,667
cc_setonhold,376
cc_setonrelease,714
cc_setonmouseover,156
cc_setonmouseleave,1082
cc_setondrag,1184
cc_setontargetleave,1007
cc_setonvartransmit,746
cc_setontimer,777
cc_setonop,637
cc_setondragcomplete,1200
cc_setonclickrepeat,548
cc_setonmouserepeat,177
cc_setoninvtransmit,408
cc_setonstattransmit,430
cc_setontargetenter,352
cc_setonscrollwheel,839
cc_setonmisctransmit,392
cc_setonvarctransmit,760
cc_setonvarcstrtransmit,357
cc_clearscripthooks,70
if_setposition,826
if_setsize,934
if_sethide,22
if_setnoclickthrough,342
if_setscrollpos,1251
if_setcolour,1216
if_setfill,588
if_settrans,1256
if_setgraphic,1105
if_set2dangle,953
if_settiling,520
if_setmodel,1070
if_setmodelangle,264
if_setmodelanim,547
if_setmodelorthog,780
if_setmodeltint,343
if_setmodellighting,328
if_settext,1224
if_settextfont,161
if_settextalign,787
if_settextshadow,943
if_settextantimacro,683
if_setoutline,487
if_setgraphicshadow,456
if_setvflip,678
if_sethflip,226
