// Cache 2008 is German and is not in caches.txt, so nothing unpacks with this table.
// Kept for future reference; build 839 is still covered by its seven other caches.
if_setonfriendtransmit,755
if_setonclantransmit,123
if_setonmisctransmit,742
if_setondialogabort,535
if_setonsubchange,561
if_setonstocktransmit,499
if_setoncamfinished,756
if_setonresize,803
if_setonvarctransmit,320
if_setonvarcstrtransmit,1031
if_setonopt,748
if_setonclansettingstransmit,177
if_setonclanchanneltransmit,167
if_setonvarclantransmit,766
if_setonplayergrouptransmit,1169
if_setonplayergroupvarptransmit,669
if_setoncameraupdatetransmit,749
if_clearscripthooks,1020
if_callonresize,808
if_npc_setcustombodymodel,142
cc_npc_setcustombodymodel,957
if_npc_setcustomheadmodel,942
cc_npc_setcustomheadmodel,78
if_npc_setcustomrecol,422
cc_npc_setcustomrecol,369
if_npc_setcustomretex,950
cc_npc_setcustomretex,778
mes,900
return,550
if_close,1130
resume_countdialog,1174
resume_namedialog,292
resume_stringdialog,840
abort_dialog,152
opplayer,825
resume_objdialog,278
if_dragpickup,468
cc_dragpickup,511
if_opensubclient,16
if_closesubclient,1006
opplayert,170
mes_typed,747
setup_messagebox,616
resume_hsldialog,541
resume_clanforumqfcdialog,506
sound_synth,921
sound_song,1170
sound_jingle,145
sound_synth_volume,560
sound_song_volume,410
sound_jingle_volume,932
sound_vorbis_volume,456
sound_speech_volume,401
sound_synth_rate,390
sound_vorbis_rate,304
email_validation_submit_code,148
email_validation_change_address,260
email_validation_add_new_address,202
friend_setrank,467
friend_setnotes,930
friend_add,797
friend_del,95
ignore_add,949
ignore_del,501
ignore_setnotes,1160
clan_kickuser,503
clan_joinchat,110
clan_leavechat,257
ignore_add_temp,622
affinedclansettings_addbanned_fromchannel,256
affinedclansettings_setmuted_fromchannel,1089
activeclanchannel_kickuser,595
oc_findrestart,1073
chat_setfilter,264
chat_sendabusereport,1178
chat_setmode,40
chat_sendpublic,961
chat_sendprivate,924
activechatphrase_prepare,23
activechatphrase_send,1032
activechatphrase_sendprivate,940
activechatphrase_setdynamicint,126
activechatphrase_setdynamicobj,1075
chatphrase_findrestart,1162
worldmap_3dview_enable,171
worldmap_3dview_disable,683
worldmap_3dview_setloddistance,990
worldmap_setcategorypriority,179
worldmap_3dview_settextfont,612
worldmap_disabletextsize,650
worldmap_disabletype,606
worldmap_3dview_setlighting,1152
worldmap_setzoom,475
worldmap_setmap,280
worldmap_jumptosourcecoord,507
worldmap_jumptodisplaycoord,135
worldmap_setmap_coord,933
worldmap_flashelement,656
worldmap_setmap_coord_override,875
worldmap_disableelements,603
worldmap_flashelementcategory,151
worldmap_disableelementcategory,77
worldmap_disableelement,239
worldmap_closemap,651
fullscreen_exit,1176
setwindowmode,844
setdefaultwindowmode,1055
openurl,72
urlencode,370
spline_new,938
spline_addpoint,379
quit,1120
openurl_nologin,1085
writeconsole,273
formatminimenu,830
defaultminimenu,939
setdefaultcursors,722
sethardcodedopcursors,1183
docheat,118
notify_accountcreated,193
notify_accountcreatestarted,549
setsubmenuminlength,1011
openurl_shim,767
cam_moveto,309
cam_lookat,324
cam_movealong,494
cam_reset,159
cam_forceangle,1042
cam_inc_x,38
cam_dec_x,1155
cam_inc_y,760
cam_dec_y,444
cam_setfollowheight,904
cam_followcoord,1051
cam_smoothreset,816
cam_removeroof,751
cam2_setlookatmode,922
cam2_setpositionmode,469
cam2_setlookatacceleration,806
cam2_setpositionacceleration,531
cam2_setlookatmaxspeed,706
cam2_setpositionmaxspeed,71
cam2_setdepthplanes,518
cam2_setfieldofview,265
cam2_setlookatpoint_point,423
cam2_setpositionpoint_point,359
cam2_getpositionpoint_point,86
cam2_setlookatentity_player,124
cam2_setlookatentity_npc,768
cam2_setpositionentity_player,36
cam2_setpositionentity_npc,861
cam2_setfieldofviewscreen,659
cam2_setpositionspline_spline,403
cam2_setlookatspline_spline,253
cam2_removeeffect,815
cam2_removealleffects,140
cam2_setlookatacceleration_axis,1005
cam2_setpositionacceleration_axis,636
cam2_setlookatmaxspeed_axis,21
cam2_setpositionmaxspeed_axis,787
cam2_setcollisionmode,771
cam2_setpositionpointcollision,905
cam2_updateeffect_ztilt,999
cam2_settraildistance,462
cam2_setlinearmovementmode,109
cam2_setspringproperties,227
cam2_setlookatangularinterpolation,127
cam2_setpositionangularinterpolation,413
cam2_setlookatspringproperties,99
cam2_setpositionspringproperties,339
cam2_enable,198
cam2_setsnapdistances,128
cam2_resetsnapdistances,866
login_request,873
cam2_setlookatorientation_vector,230
cam2_setlookatorientation_xrotation,850
cam2_setlookatorientation_yrotation,1072
cam2_setlookatorientation_xmovement,562
cam2_setlookatorientation_zmovement,200
cam2_setlookatorientation_maxdistanceclamping,893
login_continue,150
login_resetreply,51
resend_uid_passport_request,565
create_availablerequest,191
create_name_availablerequest,1192
create_suggest_name_request,884
create_createrequest,187
create_connectrequest,1189
create_step_reached,1059
lobby_entergame,1037
lobby_enterlobby,1061
lobby_leavelobby,186
create_setunder13,700
login_cancel,978
login_request_social_network,765
lobby_enterlobby_social_network,818
detail_brightness,284
detail_removeroofs_option,526
detail_grounddecor_on,1182
detail_idleanims_many,987
detail_flickering_on,28
detail_spotshadows_on,913
detail_hardshadows,481
detail_shadowquality,556
detail_lightdetail_high,204
detail_waterdetail_high,781
detail_fog_on,910
detail_antialiasing,1084
detail_antialiasing_quality,1035
detail_stereo,360
detail_soundvol,96
detail_musicvol,385
detail_bgsoundvol,929
detail_removeroofs_option_override,130
detail_particles,1023
detail_antialiasing_default,1088
detail_buildarea,1167
detail_bloom,1076
detail_customcursors,977
detail_idleanims,880
detail_groundblending,1143
detail_toolkit,1063
detail_toolkit_default,870
detail_cpuusage,262
detail_texturing,395
detail_maxscreensize,525
detail_speechvol,814
detail_loginvol,979
detail_loadingscreentype,602
detail_drawdistance,250
detail_skydetail,567
detail_animdetail,1030
detail_diskcachesize,927
viewport_setfov,155
viewport_setzoom,607
viewport_clampfov,391
worldlist_sort,358
worldlist_autoworld,675
worldlist_pingworlds,5
if_debug_button1,1003
if_debug_button2,822
if_debug_button3,1092
if_debug_button4,255
if_debug_button5,31
