// Incomplete, bruteforced from opcodes-799-1515.txt and opcodes-800-572.txt
push_var,856
pop_var,462
push_varbit,461
pop_varbit,857
push_constant_string,294
branch,250
branch_not,524
branch_equals,888
branch_less_than,97
branch_greater_than,1105
branch_less_than_or_equals,285
branch_greater_than_or_equals,724
push_int_local,421
pop_int_local,940
push_string_local,460
pop_string_local,716
join_string,1092
pop_int_discard,90
pop_string_discard,638
gosub_with_params,903
define_array,208
push_array_int,354
pop_array_int,22
switch,189
push_long_local,839
long_branch_not,743
cc_create,408
cc_delete,206
cc_deleteall,616
if_sendtofront,659
if_sendtoback,99
cc_sendtofront,587
cc_sendtoback,746
if_resume_pausebutton,1133
baseidkit,777
basecolour,325
setobj,618
cc_setposition,1027
cc_setsize,889
cc_sethide,813
cc_setaspect,816
cc_setnoclickthrough,148
cc_setscrollpos,1008
cc_setcolour,556
cc_setfill,507
cc_settrans,547
cc_setlinewid,67
cc_setgraphic,710
cc_set2dangle,74
cc_settiling,289
cc_setmodel,503
cc_setmodelangle,557
cc_setmodelanim,893
cc_setmodelorthog,287
cc_settext,561
cc_settextfont,15
cc_settextalign,629
cc_settextshadow,997
cc_setoutline,1018
cc_setgraphicshadow,239
cc_setvflip,770
cc_sethflip,622
cc_setscrollsize,766
cc_setalpha,386
cc_setmodelzoom,410
cc_setlinedirection,312
cc_setmaxlines,1002
cc_setparam_int,111
cc_setparam_string,448
cc_setretex,625
cc_setparam,277
cc_setclickmask,585
cc_setobject,450
cc_setnpchead,541
cc_setplayerhead_self,871
cc_setnpcmodel,387
cc_setobject_nonum,14
cc_setlinkfriend,493
cc_setobject_wearcol,892
cc_setplayermodel_self,180
cc_setobject_alwaysnum,229
cc_setop,676
cc_setdraggable,290
cc_setdragrenderbehaviour,484
cc_setdragdeadzone,612
cc_setdragdeadtime,560
cc_setopbase,553
cc_settargetverb,433
cc_clearops,241
cc_settargetcursors,609
cc_setopcursor,785
cc_setpausetext,511
cc_settargetopcursor,177
cc_setopkey,1132
cc_setoptkey,487
cc_setopkeyrate,887
cc_setopkeyignoreheld,576
cc_setoptkeyignoreheld,921
cc_setmouseovercursor,1040
cc_setonclick,780
cc_setonhold,992
cc_setonrelease,220
cc_setonmouseover,718
cc_setonmouseleave,25
cc_setondrag,6
cc_setontargetleave,449
cc_setonvartransmit,114
cc_setontimer,1137
cc_setonop,605
cc_setondragcomplete,195
cc_setonmouserepeat,209
cc_setoninvtransmit,362
cc_setonstattransmit,1118
cc_setontargetenter,143
cc_setonscrollwheel,338
cc_setonmisctransmit,320
cc_setonvarctransmit,414
cc_setonvarcstrtransmit,243
cc_clearscripthooks,58
if_setposition,721
if_setsize,490
if_sethide,520
if_setnoclickthrough,797
if_setscrollpos,713
if_setcolour,476
if_setfill,948
if_settrans,937
if_setgraphic,439
if_set2dangle,829
if_settiling,970
if_setmodel,185
if_setmodelangle,494
if_setmodelanim,548
if_setmodeltint,932
if_setmodellighting,803
if_settext,423
if_settextfont,193
if_settextalign,563
if_settextshadow,482
if_settextantimacro,571
if_setoutline,930
if_setgraphicshadow,40
if_setvflip,35
if_sethflip,596
if_setscrollsize,500
if_setmodelzoom,699
if_setlinedirection,1142
if_setmaxlines,987
if_setparam_int,1047
if_setrecol,674
if_setretex,818
if_setclickmask,669
if_setobject,416
if_setnpchead,96
if_setnpcmodel,1077
if_setobject_nonum,373
if_setplayermodel_self,1011
if_setobject_alwaysnum,464
if_setop,441
if_setdraggable,652
if_setdragrenderbehaviour,849
if_setopbase,1056
if_settargetverb,796
if_clearops,298
if_settargetcursors,42
if_setopcursor,1134
if_setpausetext,1063
if_setopchar,736
if_setopkey,598
if_setoptkey,776
if_setopkeyrate,510
if_setmouseovercursor,380
if_setonclick,23
if_setonhold,288
if_setonrelease,274
if_setonmouseover,742
if_setonmouseleave,346
if_setondrag,82
if_setontargetleave,224
if_setonvartransmit,693
if_setontimer,165
if_setonop,782
if_setondragcomplete,506
if_setonclickrepeat,999
if_setonmouserepeat,57
if_setoninvtransmit,812
if_setonstattransmit,9
if_setontargetenter,248
if_setonscrollwheel,564
if_setonchattransmit,657
if_setonkey,630
if_setonfriendtransmit,279
if_setonclantransmit,689
if_setonmisctransmit,194
if_setondialogabort,546
if_setonsubchange,431
if_setonstocktransmit,823
if_setoncamfinished,925
if_setonresize,253
if_setonvarctransmit,575
if_setonvarcstrtransmit,1117
if_setonclansettingstransmit,391
if_setonclanchanneltransmit,147
if_setonvarclantransmit,984
if_clearscripthooks,323
if_callonresize,578
if_npc_setcustombodymodel,492
cc_npc_setcustomrecol,755
mes,1065
return,393
if_close,969
resume_countdialog,55
resume_namedialog,424
resume_stringdialog,971
abort_dialog,709
opplayer,38
resume_objdialog,1050
cc_dragpickup,725
if_opensubclient,104
if_closesubclient,608
mes_typed,645
setup_messagebox,758
resume_hsldialog,626
resume_clanforumqfcdialog,536
sound_synth,28
sound_jingle,314
sound_vorbis_volume,846
sound_speech_volume,1007
sound_vorbis_rate,213
email_validation_add_new_address,769
friend_setrank,691
friend_setnotes,426
friend_add,1122
friend_del,664
ignore_add,237
ignore_del,150
ignore_setnotes,262
clan_kickuser,404
clan_joinchat,719
clan_leavechat,635
ignore_add_temp,465
activeclanchannel_kickuser,1057
chat_setfilter,624
chat_sendabusereport,757
chat_setmode,175
chat_sendpublic,974
chat_sendprivate,89
activechatphrase_prepare,343
activechatphrase_send,597
activechatphrase_sendprivate,43
activechatphrase_sendclan,81
activechatphrase_setdynamicint,788
activechatphrase_setdynamicobj,170
activechatphrase_sendclanchannel_affined,453
activechatphrase_sendclanchannel_listened,908
worldmap_3dview_enable,1012
worldmap_3dview_disable,602
worldmap_3dview_setloddistance,66
worldmap_setcategorypriority,190
worldmap_3dview_settextfont,744
worldmap_disabletextsize,998
worldmap_disabletype,199
worldmap_setzoom,919
worldmap_setmap,1048
worldmap_jumptosourcecoord,580
worldmap_jumptodisplaycoord,315
worldmap_setmap_coord_override,853
worldmap_flashelementcategory,942
worldmap_disableelementcategory,808
worldmap_closemap,168
setwindowmode,429
setdefaultwindowmode,436
openurl,692
spline_new,805
spline_addpoint,101
quit,591
openurl_nologin,1037
writeconsole,543
formatminimenu,1066
setdefaultcursors,663
sethardcodedopcursors,671
notify_accountcreated,162
notify_accountcreatestarted,50
openurl_shim,472
cam_moveto,138
cam_lookat,579
cam_movealong,364
cam_reset,653
cam_forceangle,1022
cam_inc_x,384
cam_dec_x,1023
cam_inc_y,87
cam_dec_y,538
cam_followcoord,523
cam_smoothreset,832
cam2_setlookatmode,161
cam2_setpositionmode,739
cam2_setdepthplanes,1099
cam2_setfieldofview,349
cam2_setlookatpoint_point,989
cam2_setpositionpoint_point,592
cam2_setlookatentity_player,184
cam2_setlookatentity_npc,830
cam2_setpositionentity_player,491
cam2_setpositionentity_npc,532
cam2_setfieldofviewscreen,759
cam2_removealleffects,670
cam2_setlookatacceleration_axis,1046
cam2_setpositionacceleration_axis,784
cam2_setlookatmaxspeed_axis,1140
cam2_setpositionmaxspeed_axis,573
cam2_setcollisionmode,85
cam2_updateeffect_ztilt,1104
cam2_setlinearmovementmode,734
cam2_setspringproperties,120
cam2_setpositionangularinterpolation,246
cam2_enable,957
cam2_setsnapdistances,339
cam2_resetsnapdistances,295
login_continue,77
login_resetreply,854
resend_uid_passport_request,882
create_availablerequest,1075
create_name_availablerequest,732
create_suggest_name_request,515
create_createrequest,952
create_connectrequest,701
create_step_reached,723
lobby_entergame,163
lobby_enterlobby,896
lobby_leavelobby,402
create_setunder13,4
login_cancel,1036
lobby_enterlobby_social_network,843
detail_brightness,41
detail_removeroofs_option,478
detail_grounddecor_on,1062
detail_flickering_on,590
detail_spotshadows_on,291
detail_hardshadows,488
detail_lightdetail_high,684
detail_waterdetail_high,683
detail_fog_on,310
detail_antialiasing,968
detail_antialiasing_quality,317
detail_stereo,1029
detail_soundvol,1073
detail_musicvol,413
detail_bgsoundvol,631
detail_particles,831
detail_antialiasing_default,181
detail_buildarea,367
detail_bloom,341
detail_customcursors,446
detail_idleanims,458
detail_groundblending,132
detail_toolkit,637
detail_toolkit_default,1014
detail_cpuusage,158
detail_texturing,1059
detail_maxscreensize,301
detail_speechvol,3
detail_loginvol,357
detail_loadingscreentype,525
detail_drawdistance,1061
detail_skydetail,943
viewport_setfov,1035
viewport_setzoom,567
viewport_clampfov,860
worldlist_sort,751
worldlist_pingworlds,807
force_interface_drag,706
cancel_interface_drag,20
targetmode_active,145
targetmode_cancel,443
autosetup_sethigh,703
autosetup_setmedium,1110
autosetup_setlow,332
autosetup_setmin,409
autosetup_setcustom,1003
autosetup_blackflaglast,754
video_advert_force_remove,809
video_advert_allow_skip,135
boost_advert_launch,335
bug_report,130
array_sort,607
cc_find,479
if_find,334
cc_getx,379
cc_gety,632
cc_getwidth,62
cc_getheight,698
cc_gethide,78
cc_getlayer,826
cc_getparentlayer,1100
cc_getcolour,855
cc_getscrollx,904
cc_getscrolly,920
cc_gettext,574
cc_getmodelzoom,251
cc_getmodelangle_x,1078
cc_getmodelangle_z,555
cc_getmodelangle_y,1043
cc_gettrans,442
cc_getmodelxof,735
cc_getmodelyof,399
cc_getgraphic,437
cc_param,1069
cc_get2dangle,1064
cc_getgraphicdimensions,521
cc_getfontmetrics,891
cc_getinvobject,218
cc_getinvcount,7
cc_getid,1143
cc_gettargetmask,36
cc_getop,994
cc_getopbase,125
if_getx,207
if_gety,662
if_getwidth,965
if_getheight,1114
if_gethide,419
if_getlayer,296
if_getparentlayer,517
if_getcolour,192
if_getscrollx,113
if_getscrolly,157
if_gettext,60
if_getscrollwidth,322
if_getscrollheight,1103
if_getmodelzoom,879
if_getmodelangle_x,1001
if_getmodelangle_z,552
if_getmodelangle_y,1098
if_gettrans,793
if_getmodelxof,512
if_getmodelyof,407
if_getgraphic,874
if_get2dangle,127
if_getmodel,1019
if_getgraphicdimensions,1016
if_getfontmetrics,34
if_getinvobject,935
if_getinvcount,1031
if_hassub,798
if_getnextsubid,665
if_hassubmodal,869
if_hassuboverlay,649
if_gettargetmask,851
if_getop,284
if_getopbase,1119
if_getcharindexatpos,593
if_getcharposatindex,326
clientclock,278
inv_getobj,528
inv_getnum,961
inv_total,56
inv_totalcat,610
inv_size,351
inv_stockbase,529
stat,102
stat_base,527
stat_visible_xp,661
stat_base_actual,182
stat_visible_xp_actual,49
coord,307
coordx,363
coordy,852
coordz,136
coordx_fine,516
coordy_fine,44
coordz_fine,715
movecoord_fine,1093
coord_gridtofine,371
map_members,870
map_preload,833
map_loadedpercent,389
invother_getobj,559
invother_getnum,18
staffmodlevel,1060
reboottimer,456
map_world,257
runenergy_visible,1015
runweight_visible,1044
playermod,726
playermodlevel,160
playermember,1123
comlevel_active,381
gender,880
map_quickchat,397
inv_freespace,498
inv_totalparam,544
map_lang,628
movecoord,272
applet_hasfocus,186
frombilling,1041
get_mousex,835
get_mousey,601
get_active_minimenu_entry,885
get_minimenu_length,728
npc_find_active_minimenu_entry,263
player_find_active_minimenu_entry,1121
get_currentcursor,1111
get_mousebuttons,94
get_minimenu_target,117
enum_string,848
enum,196
enum_hasoutput,1136
enum_getoutputcount,438
enum_getreversecount,316
enum_getreverseindex,549
friend_count,499
friend_getname,927
friend_getworld,863
friend_getrank,377
friend_getnotes,309
friend_getworldflags,801
friend_test,300
friend_getworldname,912
clan_getchatdisplayname,711
clan_getchatcount,475
clan_getchatusername,619
clan_getchatuserworld,27
clan_getchatuserrank,327
clan_getchatminkick,176
clan_getchatrank,65
ignore_count,109
ignore_getname,720
ignore_getnotes,636
ignore_test,1102
clan_isself,244
clan_getchatownername,568
clan_getchatuserworldname,179
friend_platform,583
friend_getslotfromname,650
playercountry,440
clan_getchatusername_unfiltered,1139
ignore_getname_unfiltered,411
friend_is_referrer,821
friend_is_referred,600
activeclansettings_find_listened,768
activeclansettings_find_affined,779
activeclansettings_getclanname,374
activeclansettings_getallowunaffined,1006
activeclansettings_getranktalk,306
activeclansettings_getrankkick,760
activeclansettings_getaffinedcount,648
activeclansettings_getaffineddisplayname,929
activeclansettings_getaffinedrank,1021
activeclansettings_getbannedcount,1067
activeclansettings_getbanneddisplayname,470
activeclansettings_getcurrentowner_slot,217
activeclansettings_getaffinedslot,695
activeclansettings_getsortedaffinedslot,975
activeclanchannel_find_listened,761
activeclanchannel_find_affined,200
activeclanchannel_getclanname,1
activeclanchannel_getrankkick,119
activeclanchannel_getranktalk,396
activeclanchannel_getusercount,21
activeclanchannel_getuserdisplayname,360
activeclanchannel_getuserrank,141
activeclanchannel_getuserworld,1026
activeclanchannel_getuserslot,978
activeclanchannel_getsorteduserslot,382
clanprofile_find,13
stockmarket_getoffertype,697
stockmarket_getofferitem,859
stockmarket_getofferprice,924
stockmarket_getoffercount,118
stockmarket_getoffercompletedcount,514
stockmarket_getoffercompletedgold,1010
stockmarket_isofferempty,247
stockmarket_isofferfinished,297
stockmarket_isofferadding,533
add,981
sub,774
multiply,420
divide,183
random,1101
randominc,814
interpolate,331
setbit,910
clearbit,922
testbit,46
modulo,688
pow,747
invpow,554
and,902
or,392
min,353
max,702
scale,641
random_sound_pitch,405
hsvtorgb,122
append_num,242
append,842
append_signnum,589
get_col_tag,466
lowercase,627
fromdate,266
tostring,1004
compare,152
paraheight,586
parawidth,347
text_switch,319
escape,110
append_char,324
char_isprintable,954
char_isalphanumeric,1086
char_isnumeric,1091
string_length,249
substring,914
removetags,938
string_indexof_char,620
string_indexof_string,444
char_tolowercase,1013
char_touppercase,265
tostring_localised,836
stringwidth,865
string_distance,656
format_datetime_from_minutes,53
clanforumqfc_tostring,457
oc_name,68
oc_iop,872
oc_cost,617
oc_stackable,678
oc_category,427
oc_cert,173
oc_uncert,376
oc_wearpos,233
oc_wearpos2,388
oc_members,898
oc_param,91
oc_icursor,1000
oc_find,977
oc_findnext,5
oc_minimenu_colour,976
nc_param,646
struct_param,8
seqlength,819
bas_getanim_ready,412
chat_gethistory_byuid,72
chat_getfilter_private,137
chat_playername,1052
chat_getfilter_trade,894
chat_getnextuid,730
chat_getprevuid,614
chat_playername_unfiltered,115
chatcat_getdesc,302
chatcat_getsubcatcount,330
chatcat_getsubcat,188
chatcat_getphrasecount,1055
chatcat_getphrase,16
chatphrase_gettext,375
chatphrase_getautoresponsecount,1030
chatphrase_getautoresponse,129
chatcat_getsubcatshortcut,1128
chatphrase_getdynamiccommandcount,350
chatphrase_getdynamiccommand,729
chatphrase_getdynamiccommandparam_enum,993
chatphrase_find,789
chatphrase_findnext,340
keyheld_alt,1120
keyheld_ctrl,463
keyheld_shift,1082
worldmap_3dview_active,299
worldmap_3dview_getcoordfine,737
worldmap_getmap,775
worldmap_getmapname,509
worldmap_getsize,92
worldmap_getdisplayposition,33
worldmap_getconfigorigin,651
