// Incomplete, bruteforced from opcodes-877-1518.txt
push_var,652
pop_var,783
push_varbit,228
pop_varbit,217
push_constant_string,1164
branch,272
branch_not,961
branch_equals,153
branch_less_than,1143
branch_greater_than,253
branch_less_than_or_equals,113
branch_greater_than_or_equals,986
push_int_local,547
pop_int_local,197
push_string_local,1120
pop_string_local,665
join_string,567
pop_int_discard,613
pop_string_discard,621
gosub_with_params,876
define_array,867
push_array_int,644
pop_array_int,519
switch,385
push_long_local,572
long_branch_not,1247
cc_create,1040
cc_delete,259
cc_deleteall,550
if_sendtofront,503
if_sendtoback,1206
cc_sendtofront,264
cc_sendtoback,299
if_resume_pausebutton,375
cc_resume_pausebutton,904
baseidkit,1131
basecolour,999
setobj,1047
cc_setposition,342
cc_setsize,437
cc_sethide,873
cc_setaspect,1055
cc_setnoclickthrough,1268
cc_setscrollpos,169
cc_setcolour,629
cc_setfill,374
cc_settrans,768
cc_setlinewid,267
cc_setgraphic,562
cc_set2dangle,96
cc_settiling,600
cc_setmodel,872
cc_setmodelangle,247
cc_setmodelanim,1001
cc_settext,1260
cc_settextfont,517
cc_settextalign,401
cc_settextshadow,601
cc_setoutline,87
cc_setgraphicshadow,286
cc_setvflip,979
cc_sethflip,1276
cc_setscrollsize,866
cc_setalpha,1151
cc_setmodelzoom,224
cc_setlinedirection,1175
cc_setmaxlines,499
cc_setparam_int,1108
cc_setparam_string,302
cc_setretex,1272
cc_setfontmono,163
cc_setparam,634
cc_setclickmask,1005
cc_setobject,488
cc_setnpchead,714
cc_setplayerhead_self,650
cc_setnpcmodel,555
cc_setobject_nonum,1038
cc_setlinkfriend,955
cc_setlinkfriendchat,701
cc_setlinkplayergroup,913
cc_setlinkactiveclanchannel,450
cc_resetlinkplayer,521
cc_setobject_wearcol,16
cc_setplayermodel_self,957
cc_setobject_alwaysnum,967
cc_setop,511
cc_setdraggable,889
cc_setdragrenderbehaviour,789
cc_setdragdeadzone,133
cc_setdragdeadtime,896
cc_setopbase,367
cc_settargetverb,425
cc_clearops,751
cc_settargetcursors,596
cc_setopcursor,581
cc_setpausetext,851
cc_settargetopcursor,320
cc_setopkey,661
cc_setoptkey,1142
cc_setopkeyrate,257
cc_setopkeyignoreheld,545
cc_setoptkeyignoreheld,300
cc_setmouseovercursor,1054
cc_setonclick,668
cc_setonhold,869
cc_setonrelease,802
cc_setonmouseover,870
cc_setonmouseleave,1033
cc_setondrag,1022
cc_setontargetleave,1048
cc_setonvartransmit,667
cc_setontimer,944
cc_setonop,359
cc_setondragcomplete,106
cc_setonclickrepeat,1127
cc_setonmouserepeat,219
cc_setoninvtransmit,1079
cc_setonstattransmit,137
cc_setontargetenter,1267
cc_setonscrollwheel,595
cc_setonmisctransmit,1081
cc_setonvarctransmit,1225
cc_setonvarcstrtransmit,338
cc_clearscripthooks,1016
if_setposition,481
if_setsize,250
if_sethide,636
if_setnoclickthrough,355
if_setscrollpos,262
if_setcolour,831
if_setfill,417
if_settrans,656
if_setgraphic,256
if_set2dangle,1157
if_settiling,1144
if_setmodel,981
if_setmodelangle,237
if_setmodelanim,589
if_setmodelorthog,335
if_setmodeltint,631
if_setmodellighting,510
if_settext,357
if_settextfont,810
if_settextalign,593
if_settextshadow,405
if_settextantimacro,189
if_setoutline,771
if_setgraphicshadow,89
if_setvflip,765
if_sethflip,78
if_setscrollsize,992
if_setmodelzoom,1205
if_setlinedirection,465
if_setmaxlines,347
if_setparam_int,941
if_setparam_string,13
if_setrecol,380
if_setretex,1098
if_setclickmask,348
if_setobject,741
if_setnpchead,1163
if_setnpcmodel,792
if_setobject_nonum,840
if_setplayermodel_self,213
