// Incomplete, bruteforced from opcodes-783-1109.txt and opcodes-787-521.txt and opcodes-742-544.txt and opcodes-780-770.txt and opcodes-777-2001.txt
// Cache 858 is French and is not in caches.txt, so nothing unpacks with this table.
// Kept for future reference; build 780 is still covered by 770 and 1002.
notify_accountcreatestarted,788
openurl_shim,68
cam_moveto,419
cam_lookat,224
cam_movealong,351
cam_reset,96
cam_forceangle,349
cam_inc_x,940
cam_dec_x,1024
cam_inc_y,1107
cam_dec_y,1070
cam_followcoord,158
cam_smoothreset,42
cam2_setlookatmode,172
cam2_setpositionmode,416
cam2_setdepthplanes,309
cam2_setfieldofview,553
cam2_setlookatpoint_point,434
cam2_setpositionpoint_point,247
cam2_setlookatentity_player,221
cam2_setpositionentity_player,327
cam2_setfieldofviewscreen,425
cam2_removealleffects,936
cam2_setlookatacceleration_axis,750
cam2_setpositionacceleration_axis,187
cam2_setlookatmaxspeed_axis,875
cam2_setpositionmaxspeed_axis,52
cam2_setcollisionmode,1109
cam2_setlinearmovementmode,887
cam2_setspringproperties,176
cam2_setpositionangularinterpolation,925
cam2_enable,479
cam2_setsnapdistances,1048
cam2_resetsnapdistances,66
login_continue,941
login_resetreply,487
resend_uid_passport_request,990
create_availablerequest,658
create_name_availablerequest,687
create_suggest_name_request,1120
create_createrequest,899
create_connectrequest,28
create_step_reached,501
lobby_entergame,1039
lobby_enterlobby,848
lobby_leavelobby,672
create_setunder13,654
login_cancel,855
lobby_enterlobby_social_network,71
detail_brightness,98
detail_removeroofs_option,70
detail_grounddecor_on,712
detail_flickering_on,552
detail_spotshadows_on,424
detail_hardshadows,560
detail_lightdetail_high,524
detail_waterdetail_high,963
detail_fog_on,333
detail_antialiasing,697
detail_antialiasing_quality,747
detail_stereo,783
detail_soundvol,784
detail_musicvol,880
detail_bgsoundvol,987
detail_particles,422
detail_antialiasing_default,382
detail_bloom,829
detail_customcursors,401
detail_idleanims,322
detail_groundblending,1020
detail_toolkit,451
detail_toolkit_default,823
detail_cpuusage,701
detail_texturing,518
detail_maxscreensize,81
detail_speechvol,594
detail_loginvol,1113
detail_loadingscreentype,807
detail_drawdistance,586
detail_skydetail,722
viewport_setfov,1012
viewport_setzoom,1016
viewport_clampfov,357
worldlist_sort,548
worldlist_pingworlds,953
force_interface_drag,633
cancel_interface_drag,445
autosetup_sethigh,282
autosetup_setmedium,591
autosetup_setlow,169
autosetup_setmin,74
autosetup_setcustom,968
autosetup_blackflaglast,527
video_advert_force_remove,1028
video_advert_allow_skip,1060
boost_advert_launch,889
bug_report,1072
array_sort,894
cc_find,1066
if_find,12
cc_getx,180
cc_gety,358
cc_getwidth,219
cc_getheight,568
cc_gethide,498
cc_getlayer,657
cc_getparentlayer,984
cc_getcolour,122
cc_getscrollx,1091
cc_getscrolly,819
cc_gettext,316
cc_getmodelzoom,961
cc_getmodelangle_x,598
cc_getmodelangle_z,986
cc_getmodelangle_y,645
cc_gettrans,602
cc_getmodelxof,864
cc_getmodelyof,246
cc_getgraphic,611
cc_param,244
cc_get2dangle,555
cc_getgraphicdimensions,805
cc_getfontmetrics,190
cc_getinvobject,251
cc_getinvcount,47
cc_getid,993
cc_gettargetmask,229
cc_getop,931
cc_getopbase,318
if_getx,873
if_gety,1110
if_getwidth,870
if_getheight,478
if_gethide,199
if_getlayer,702
if_getparentlayer,536
if_getcolour,356
if_getscrollx,666
if_getscrolly,132
if_gettext,481
if_getscrollwidth,1076
if_getscrollheight,166
if_getmodelzoom,863
if_getmodelangle_x,347
if_getmodelangle_z,884
if_getmodelangle_y,242
if_gettrans,866
if_getmodelxof,977
if_getmodelyof,956
if_getgraphic,678
if_get2dangle,822
if_getmodel,238
if_getgraphicdimensions,1011
if_getfontmetrics,533
if_getinvobject,919
if_hassub,469
if_getnextsubid,460
if_hassubmodal,388
if_hassuboverlay,764
if_gettargetmask,239
if_getop,191
if_getopbase,603
if_getcharindexatpos,49
if_getcharposatindex,738
clientclock,337
inv_getobj,1088
inv_getnum,514
inv_total,517
inv_size,655
inv_stockbase,36
stat,920
stat_base,264
stat_visible_xp,695
stat_base_actual,609
stat_visible_xp_actual,844
coord,110
coordx,146
coordy,1026
coordz,811
coordx_fine,403
coordy_fine,1045
coordz_fine,505
movecoord_fine,561
coord_gridtofine,862
map_members,698
map_preload,297
map_loadedpercent,521
invother_getobj,613
invother_getnum,447
staffmodlevel,589
reboottimer,467
map_world,112
runenergy_visible,929
runweight_visible,896
playermod,220
playermodlevel,930
playermember,134
comlevel_active,1085
gender,638
map_quickchat,595
inv_freespace,938
inv_totalparam,588
map_lang,32
movecoord,237
applet_hasfocus,79
frombilling,962
get_mousex,113
get_mousey,198
get_active_minimenu_entry,225
get_minimenu_length,1083
npc_find_active_minimenu_entry,718
player_find_active_minimenu_entry,974
get_currentcursor,744
get_mousebuttons,306
get_minimenu_target,830
enum_string,324
enum,393
enum_hasoutput,329
enum_getoutputcount,1051
enum_getreversecount,566
enum_getreverseindex,741
friend_count,988
friend_getname,682
friend_getworld,756
friend_getrank,662
friend_getworldflags,1090
friend_test,891
friend_getworldname,778
clan_getchatdisplayname,61
clan_getchatcount,928
clan_getchatusername,340
clan_getchatuserworld,305
clan_getchatuserrank,776
clan_getchatminkick,408
clan_getchatrank,1069
ignore_count,94
ignore_getname,490
ignore_test,1080
clan_isself,197
clan_getchatownername,704
clan_getchatuserworldname,918
friend_platform,89
friend_getslotfromname,774
playercountry,1065
clan_getchatusername_unfiltered,530
ignore_getname_unfiltered,1004
friend_is_referrer,624
friend_is_referred,124
activeclansettings_find_listened,546
activeclansettings_find_affined,1035
activeclansettings_getclanname,296
activeclansettings_getallowunaffined,1007
activeclansettings_getranktalk,35
activeclansettings_getrankkick,876
activeclansettings_getaffinedcount,1057
activeclansettings_getaffineddisplayname,679
activeclansettings_getaffinedrank,616
activeclansettings_getbannedcount,797
activeclansettings_getbanneddisplayname,693
activeclansettings_getcurrentowner_slot,343
activeclansettings_getaffinedslot,367
activeclansettings_getsortedaffinedslot,414
activeclanchannel_find_listened,310
activeclanchannel_find_affined,283
activeclanchannel_getclanname,75
activeclanchannel_getrankkick,285
activeclanchannel_getranktalk,854
activeclanchannel_getusercount,235
activeclanchannel_getuserdisplayname,833
activeclanchannel_getuserrank,175
activeclanchannel_getuserworld,1074
activeclanchannel_getuserslot,755
activeclanchannel_getsorteduserslot,397
clanprofile_find,468
stockmarket_getoffertype,771
stockmarket_getofferitem,705
stockmarket_getofferprice,989
stockmarket_getoffercount,1059
stockmarket_getoffercompletedcount,109
stockmarket_getoffercompletedgold,972
stockmarket_isofferempty,572
stockmarket_isofferfinished,240
stockmarket_isofferadding,37
add,1061
sub,83
multiply,507
divide,869
random,1098
randominc,497
interpolate,911
setbit,111
clearbit,802
testbit,790
modulo,867
pow,259
invpow,593
and,734
or,759
min,836
max,366
scale,261
random_sound_pitch,614
hsvtorgb,444
append_num,683
append,126
append_signnum,1037
get_col_tag,1022
lowercase,389
fromdate,534
