// Incomplete, bruteforced from opcodes-909-1176.txt and opcodes-910-1730.txt and opcodes-883-596.txt
push_var,978
pop_var,175
push_varbit,1038
pop_varbit,51
push_constant_string,221
branch,724
branch_not,1137
branch_equals,112
branch_less_than,603
branch_greater_than,564
branch_less_than_or_equals,1055
branch_greater_than_or_equals,1082
push_int_local,79
pop_int_local,927
push_string_local,1078
pop_string_local,184
join_string,619
pop_int_discard,793
pop_string_discard,469
gosub_with_params,883
define_array,875
push_array_int,512
pop_array_int,1217
switch,239
push_long_local,385
long_branch_not,89
cc_create,54
cc_delete,1226
cc_deleteall,1106
if_sendtofront,756
if_sendtoback,38
cc_sendtofront,737
cc_sendtoback,755
if_resume_pausebutton,449
cc_resume_pausebutton,2
baseidkit,687
basecolour,274
setobj,402
cc_setposition,300
cc_setsize,1083
cc_sethide,387
cc_setaspect,93
cc_setnoclickthrough,1018
cc_setscrollpos,321
cc_setcolour,1029
cc_setfill,1194
cc_settrans,259
cc_setlinewid,15
cc_setgraphic,1030
cc_set2dangle,656
cc_settiling,271
cc_setmodel,431
cc_setmodelangle,478
cc_setmodelanim,141
cc_settext,436
cc_settextfont,887
cc_settextalign,681
cc_settextshadow,624
cc_setoutline,1323
cc_setgraphicshadow,1342
cc_setvflip,1203
cc_sethflip,1191
cc_setscrollsize,628
cc_setalpha,282
cc_setmodelzoom,1024
cc_setlinedirection,977
cc_setmaxlines,975
cc_setparam_int,1013
cc_setparam_string,307
cc_setretex,549
cc_setfontmono,750
cc_setparam,1134
cc_setclickmask,308
cc_setheld,250
cc_setobject,53
cc_setnpchead,1123
cc_setplayerhead_self,809
cc_setnpcmodel,377
cc_setobject_nonum,1301
cc_setlinkfriend,826
cc_setlinkfriendchat,1128
cc_setlinkplayergroup,814
cc_setlinkactiveclanchannel,1269
cc_resetlinkplayer,439
cc_setobject_wearcol,49
cc_setplayermodel_self,1100
cc_setobject_alwaysnum,584
cc_setop,1321
cc_setdraggable,626
cc_setdragrenderbehaviour,661
cc_setdragdeadzone,351
cc_setdragdeadtime,992
cc_setopbase,1045
cc_settargetverb,454
cc_clearops,572
cc_settargetcursors,1022
cc_setopcursor,91
cc_setpausetext,139
cc_settargetopcursor,218
cc_setopkey,717
cc_setoptkey,1288
cc_setopkeyrate,467
cc_setopkeyignoreheld,906
cc_setoptkeyignoreheld,425
cc_setmouseovercursor,914
cc_setonclick,527
cc_setonhold,815
cc_setonrelease,871
cc_setonmouseover,943
cc_setonmouseleave,85
cc_setondrag,1373
cc_setontargetleave,364
cc_setonvartransmit,183
cc_setontimer,1240
cc_setonop,185
cc_setondragcomplete,65
cc_setonclickrepeat,797
cc_setonmouserepeat,1244
cc_setoninvtransmit,58
cc_setonstattransmit,223
cc_setontargetenter,36
cc_setonscrollwheel,276
cc_setonmisctransmit,208
cc_setonresize,163
cc_setonvarctransmit,955
cc_setonvarcstrtransmit,1290
cc_clearscripthooks,966
if_setposition,900
if_setsize,403
if_sethide,1154
if_setnoclickthrough,574
if_setscrollpos,1375
if_setcolour,1125
if_setfill,898
if_settrans,1147
if_setgraphic,273
if_set2dangle,1378
if_settiling,675
if_setmodel,847
if_setmodelangle,474
if_setmodelanim,606
if_setmodelorthog,479
if_setmodeltint,519
if_setmodellighting,571
if_resetmodellighting,203
if_settext,836
if_settextfont,1246
if_settextalign,235
if_settextshadow,1177
if_settextantimacro,1385
if_setoutline,63
if_setgraphicshadow,349
if_setvflip,548
if_sethflip,765
if_setscrollsize,615
if_setmodelzoom,1042
if_setlinedirection,1215
if_setmaxlines,676
if_setparam_int,1270
if_setparam_string,1011
if_setrecol,904
if_setretex,1157
if_setobject,277
if_setnpchead,1249
if_setnpcmodel,930
if_setobject_nonum,672
if_setplayermodel_self,12
if_setobject_alwaysnum,866
if_setop,965
if_setdraggable,422
if_setdragrenderbehaviour,77
if_setopbase,353
if_settargetverb,1319
if_clearops,1063
if_settargetcursors,125
if_setopcursor,805
if_setpausetext,942
if_setopkey,420
if_setoptkey,1195
if_setopkeyrate,1004
if_setopkeyignoreheld,767
if_setmouseovercursor,1085
if_setonclick,704
if_setonhold,924
if_setonrelease,369
if_setonmouseover,967
if_setonmouseleave,561
if_setondrag,663
if_setontargetleave,1374
if_setonvartransmit,352
if_setontimer,23
if_setonop,1210
if_setondragcomplete,761
if_setonclickrepeat,692
if_setonmouserepeat,211
if_setoninvtransmit,510
if_setonstattransmit,207
if_setontargetenter,190
if_setonscrollwheel,611
if_setonchattransmit,810
if_setonkey,1019
if_setongamepadbutton,477
if_setongamepadbuttonheld,540
if_setongamepadaxis,191
if_setongamepadtrigger,1318
if_setonfriendtransmit,968
if_setonclantransmit,697
if_setonmisctransmit,339
if_setondialogabort,515
if_setonsubchange,685
if_setonstocktransmit,318
if_setoncamfinished,1293
if_setonresize,1279
if_setonvarctransmit,289
if_setonvarcstrtransmit,960
if_setonclansettingstransmit,537
if_setonclanchanneltransmit,1256
if_setonvarclantransmit,997
if_setonplayergrouptransmit,1132
if_setonplayergroupvarptransmit,1060
if_setoncameraupdatetransmit,1268
if_clearscripthooks,256
if_callonresize,101
if_npc_setcustombodymodel,785
if_npc_setcustomrecol,181
cc_npc_setcustomrecol,706
mes,1220
return,773
if_close,987
resume_countdialog,782
resume_namedialog,829
resume_stringdialog,995
abort_dialog,1173
opplayer,899
resume_objdialog,735
cc_dragpickup,618
if_opensubclient,884
if_closesubclient,713
mes_typed,903
setup_messagebox,629
resume_hsldialog,650
resume_clanforumqfcdialog,110
sound_synth,1165
sound_synth_volume,206
sound_jingle_volume,1350
sound_vorbis_volume,57
sound_speech_volume,632
sound_vorbis_rate,121
friend_setrank,1347
friend_setnotes,688
friend_add,1200
friend_del,575
ignore_add,1329
ignore_del,421
ignore_setnotes,107
clan_kickuser,55
clan_joinchat,292
clan_leavechat,124
ignore_add_temp,604
activeclanchannel_kickuser,1201
chat_setfilter,699
chat_sendabusereport,1357
chat_setmode,648
chat_sendpublic,686
chat_sendprivate,825
activechatphrase_prepare,878
activechatphrase_send,1214
activechatphrase_sendprivate,843
activechatphrase_setdynamicint,508
activechatphrase_setdynamicobj,667
worldmap_3dview_enable,1258
worldmap_3dview_disable,642
worldmap_3dview_setloddistance,487
worldmap_setcategorypriority,671
worldmap_3dview_settextfont,940
worldmap_disabletextsize,1219
worldmap_disabletype,350
worldmap_setzoom,1294
worldmap_setmap,1044
worldmap_jumptosourcecoord,1071
worldmap_jumptodisplaycoord,980
worldmap_setmap_coord_override,601
worldmap_flashelementcategory,153
worldmap_disableelementcategory,921
worldmap_closemap,405
setwindowmode,781
setdefaultwindowmode,614
openurl,889
urlencode,238
spline_new,1216
spline_addpoint,589
quit,916
openurl_nologin,336
formatminimenu,1289
setdefaultcursors,583
sethardcodedopcursors,652
notify_accountcreated,1050
notify_accountcreatestarted,1307
openurl_shim,1276
cam_moveto,260
cam_lookat,1074
cam_movealong,837
cam_reset,895
cam_forceangle,1235
cam_inc_x,556
cam_dec_x,246
cam_inc_y,877
cam_dec_y,1000
cam_followcoord,1233
cam_smoothreset,1308
cam2_setlookatmode,463
cam2_setpositionmode,1025
cam2_setdepthplanes,196
cam2_setfieldofview,1
cam2_setlookatpoint_point,337
cam2_setpositionpoint_point,1287
