// Incomplete, bruteforced from opcodes-892-938.txt and opcodes-910-1730.txt and opcodes-883-596.txt
push_var,326
pop_var,231
push_varbit,1285
pop_varbit,817
push_constant_string,1130
branch,629
branch_not,366
branch_equals,1067
branch_less_than,11
branch_greater_than,643
branch_less_than_or_equals,143
branch_greater_than_or_equals,273
push_int_local,1248
pop_int_local,1147
push_string_local,652
pop_string_local,991
join_string,1254
pop_int_discard,1046
pop_string_discard,1269
gosub_with_params,859
define_array,790
push_array_int,1298
pop_array_int,1205
switch,579
push_long_local,181
long_branch_not,1065
cc_create,995
cc_delete,353
cc_deleteall,1061
if_sendtofront,1079
if_sendtoback,769
cc_sendtofront,613
cc_sendtoback,592
if_resume_pausebutton,583
cc_resume_pausebutton,1246
baseidkit,1002
basecolour,901
setobj,541
cc_setposition,544
cc_setsize,844
cc_sethide,1297
cc_setaspect,74
cc_setnoclickthrough,454
cc_setscrollpos,1027
cc_setcolour,1091
cc_setfill,178
cc_settrans,561
cc_setlinewid,488
cc_setgraphic,20
cc_set2dangle,783
cc_settiling,1064
cc_setmodel,260
cc_setmodelangle,62
cc_setmodelanim,316
cc_settext,607
cc_settextfont,1286
cc_settextalign,1004
cc_settextshadow,284
cc_setoutline,337
cc_setgraphicshadow,1003
cc_setvflip,33
cc_sethflip,323
cc_setscrollsize,1171
cc_setalpha,842
cc_setmodelzoom,1303
cc_setlinedirection,418
cc_setmaxlines,134
cc_setparam_int,1225
cc_setparam_string,1199
cc_setretex,785
cc_setfontmono,848
cc_setparam,800
cc_setclickmask,327
cc_setobject,255
cc_setnpchead,412
cc_setplayerhead_self,1245
cc_setnpcmodel,846
cc_setobject_nonum,1051
cc_setlinkfriend,917
cc_setlinkfriendchat,604
cc_setlinkplayergroup,1052
cc_setlinkactiveclanchannel,356
cc_resetlinkplayer,330
cc_setobject_wearcol,1023
cc_setplayermodel_self,862
cc_setobject_alwaysnum,743
cc_setop,272
cc_setdraggable,518
cc_setdragrenderbehaviour,1063
cc_setdragdeadzone,526
cc_setdragdeadtime,966
cc_setopbase,624
cc_settargetverb,955
cc_clearops,362
cc_settargetcursors,1174
cc_setopcursor,960
cc_setpausetext,1112
cc_settargetopcursor,776
cc_setopkey,215
cc_setoptkey,1302
cc_setopkeyrate,893
cc_setopkeyignoreheld,710
cc_setoptkeyignoreheld,677
cc_setmouseovercursor,834
cc_setonclick,616
cc_setonhold,1060
cc_setonrelease,992
cc_setonmouseover,435
cc_setonmouseleave,584
cc_setondrag,410
cc_setontargetleave,549
cc_setonvartransmit,1273
cc_setontimer,718
cc_setonop,989
cc_setondragcomplete,548
cc_setonclickrepeat,745
cc_setonmouserepeat,321
cc_setoninvtransmit,1054
cc_setonstattransmit,401
cc_setontargetenter,887
cc_setonscrollwheel,1041
cc_setonmisctransmit,196
cc_setonvarctransmit,675
cc_setonvarcstrtransmit,345
cc_clearscripthooks,343
if_setposition,109
if_setsize,351
if_sethide,485
if_setnoclickthrough,1283
if_setscrollpos,721
if_setcolour,170
if_setfill,949
if_settrans,425
if_setgraphic,600
