// Incomplete, bruteforced from opcodes-777-2001.txt and opcodes-780-770.txt and opcodes-742-544.txt
push_var,659
pop_var,331
push_varbit,18
pop_varbit,353
push_constant_string,223
branch,617
branch_not,956
branch_equals,769
branch_less_than,655
branch_greater_than,418
branch_less_than_or_equals,523
branch_greater_than_or_equals,248
push_int_local,194
pop_int_local,120
push_string_local,612
pop_string_local,897
join_string,648
pop_int_discard,486
pop_string_discard,397
gosub_with_params,360
define_array,119
push_array_int,895
pop_array_int,1015
switch,24
push_long_local,880
long_branch_not,1069
cc_create,752
cc_delete,717
cc_deleteall,839
if_sendtofront,231
if_sendtoback,1034
cc_sendtofront,453
cc_sendtoback,709
if_resume_pausebutton,1013
baseidkit,234
basecolour,601
setobj,599
cc_setposition,300
cc_setsize,971
cc_sethide,428
cc_setaspect,5
cc_setnoclickthrough,799
cc_setscrollpos,919
cc_setcolour,180
cc_setfill,437
cc_settrans,332
cc_setlinewid,913
cc_setgraphic,79
cc_set2dangle,929
cc_settiling,984
cc_setmodel,177
cc_setmodelangle,567
cc_setmodelanim,327
cc_setmodelorthog,17
cc_settext,296
cc_settextfont,902
cc_settextalign,345
cc_settextshadow,637
cc_setoutline,814
cc_setgraphicshadow,445
cc_setvflip,806
cc_sethflip,1118
cc_setscrollsize,426
cc_setalpha,371
cc_setmodelzoom,851
cc_setlinedirection,64
cc_setmaxlines,696
cc_setparam_int,797
cc_setparam_string,744
cc_setretex,535
cc_setparam,227
cc_setclickmask,156
cc_setobject,338
cc_setnpchead,66
cc_setplayerhead_self,990
cc_setnpcmodel,250
cc_setobject_nonum,321
cc_setlinkfriend,993
cc_setobject_wearcol,270
cc_setplayermodel_self,144
cc_setobject_alwaysnum,492
cc_setop,746
cc_setdraggable,1110
cc_setdragrenderbehaviour,669
cc_setdragdeadzone,195
cc_setdragdeadtime,318
cc_setopbase,765
cc_settargetverb,775
cc_clearops,217
cc_settargetcursors,15
cc_setopcursor,793
cc_setpausetext,782
cc_settargetopcursor,342
cc_setopkey,258
cc_setoptkey,1091
cc_setopkeyignoreheld,807
cc_setoptkeyignoreheld,540
cc_setmouseovercursor,21
cc_setonclick,65
cc_setonhold,441
cc_setonrelease,123
cc_setonmouseover,178
cc_setonmouseleave,1053
cc_setondrag,681
cc_setontargetleave,463
