// Incomplete, bruteforced from opcodes-877-610.txt and opcodes-910-1730.txt
push_var,200
pop_var,1122
push_varbit,1171
pop_varbit,645
push_constant_string,1112
branch,844
branch_not,664
branch_equals,105
branch_less_than,666
branch_greater_than,996
branch_less_than_or_equals,424
branch_greater_than_or_equals,958
push_int_local,862
pop_int_local,557
push_string_local,657
pop_string_local,1015
join_string,332
pop_int_discard,893
pop_string_discard,575
gosub_with_params,704
define_array,918
push_array_int,823
pop_array_int,384
switch,117
push_long_local,779
long_branch_not,718
cc_create,589
cc_delete,582
cc_deleteall,370
if_sendtofront,772
if_sendtoback,1241
cc_sendtofront,605
cc_sendtoback,28
if_resume_pausebutton,676
cc_resume_pausebutton,526
baseidkit,1203
basecolour,1204
setobj,465
cc_setposition,529
cc_setsize,742
cc_sethide,1185
cc_setaspect,122
cc_setnoclickthrough,64
cc_setscrollpos,1130
cc_setcolour,560
cc_setfill,965
cc_settrans,1173
cc_setlinewid,278
cc_setgraphic,1205
cc_set2dangle,910
cc_settiling,650
cc_setmodel,385
cc_setmodelangle,346
cc_setmodelanim,37
cc_settext,1043
cc_settextfont,631
cc_settextalign,661
cc_settextshadow,508
cc_setoutline,850
cc_setgraphicshadow,1097
cc_setvflip,375
cc_sethflip,944
cc_setscrollsize,1101
cc_setalpha,711
cc_setmodelzoom,969
cc_setlinedirection,912
cc_setmaxlines,226
cc_setparam_int,1128
cc_setparam_string,866
cc_setretex,145
cc_setfontmono,721
cc_setparam,62
cc_setclickmask,833
cc_setobject,271
cc_setnpchead,340
cc_setplayerhead_self,410
cc_setnpcmodel,1168
cc_setobject_nonum,138
cc_setlinkfriend,466
cc_setlinkfriendchat,665
cc_setlinkplayergroup,708
cc_setlinkactiveclanchannel,555
cc_resetlinkplayer,1036
cc_setobject_wearcol,770
cc_setplayermodel_self,614
cc_setobject_alwaysnum,647
cc_setop,914
cc_setdraggable,867
cc_setdragrenderbehaviour,414
cc_setdragdeadzone,564
cc_setdragdeadtime,1039
cc_setopbase,731
cc_settargetverb,746
cc_clearops,339
cc_settargetcursors,24
cc_setopcursor,733
cc_setpausetext,1040
cc_settargetopcursor,166
cc_setopkey,525
cc_setoptkey,591
cc_setopkeyrate,418
cc_setopkeyignoreheld,660
cc_setoptkeyignoreheld,365
cc_setmouseovercursor,329
cc_setonclick,208
cc_setonhold,123
cc_setonrelease,1042
cc_setonmouseover,838
cc_setonmouseleave,1264
cc_setondrag,856
cc_setontargetleave,917
cc_setonvartransmit,1216
cc_setontimer,920
cc_setonop,507
cc_setondragcomplete,879
cc_setonclickrepeat,629
cc_setonmouserepeat,782
cc_setoninvtransmit,980
cc_setonstattransmit,934
cc_setontargetenter,86
cc_setonscrollwheel,705
cc_setonmisctransmit,417
cc_setonvarctransmit,495
cc_setonvarcstrtransmit,1107
cc_clearscripthooks,750
if_setposition,118
if_setsize,1131
if_sethide,27
if_setnoclickthrough,828
if_setscrollpos,716
if_setcolour,293
if_setfill,837
if_settrans,1061
if_setgraphic,880
if_set2dangle,91
if_settiling,274
if_setmodel,812
if_setmodelangle,659
if_setmodelanim,630
if_setmodelorthog,846
if_setmodeltint,976
if_setmodellighting,619
if_settext,1163
if_settextfont,170
if_settextalign,376
if_settextshadow,968
if_settextantimacro,973
if_setoutline,321
if_setgraphicshadow,528
if_setvflip,649
if_sethflip,991
if_setscrollsize,883
if_setmodelzoom,193
if_setlinedirection,643
if_setmaxlines,434
if_setparam_int,773
if_setparam_string,7
if_setrecol,1065
if_setretex,904
if_setclickmask,1124
if_setobject,873
if_setnpchead,409
if_setnpcmodel,652
if_setobject_nonum,1197
if_setplayermodel_self,134
if_setobject_alwaysnum,535
if_setop,1125
if_setdraggable,1153
if_setdragrenderbehaviour,811
if_setdragdeadzone,874
if_setdragdeadtime,653
if_setopbase,1215
if_settargetverb,787
if_clearops,106
if_settargetcursors,927
if_setopcursor,740
if_setpausetext,85
if_setopkey,129
if_setoptkey,225
if_setopkeyrate,1210
if_setmouseovercursor,872
if_setonclick,263
if_setonhold,227
if_setonrelease,1133
if_setonmouseover,1113
if_setonmouseleave,570
if_setondrag,758
if_setontargetleave,169
if_setonvartransmit,29
if_setontimer,890
if_setonop,845
if_setondragcomplete,959
if_setonclickrepeat,353
if_setonmouserepeat,373
if_setoninvtransmit,816
if_setonstattransmit,93
if_setontargetenter,761
if_setonscrollwheel,387
if_setonchattransmit,257
if_setonkey,573
if_setongamepadbutton,223
if_setongamepadbuttonheld,128
if_setongamepadaxis,859
if_setongamepadtrigger,74
if_setonfriendtransmit,96
if_setonclantransmit,540
if_setonmisctransmit,744
if_setondialogabort,435
if_setonsubchange,140
if_setonstocktransmit,249
if_setoncamfinished,1011
if_setonresize,895
if_setonvarctransmit,878
if_setonvarcstrtransmit,448
if_setonclansettingstransmit,355
if_setonclanchanneltransmit,1249
if_setonvarclantransmit,1049
if_setonplayergrouptransmit,191
if_setonplayergroupvarptransmit,468
if_setoncameraupdatetransmit,266
if_clearscripthooks,292
if_callonresize,1175
if_npc_setcustombodymodel,544
if_npc_setcustomrecol,903
cc_npc_setcustomrecol,267
mes,77
return,516
if_close,997
resume_countdialog,658
resume_namedialog,455
resume_stringdialog,683
abort_dialog,1232
opplayer,357
resume_objdialog,1211
cc_dragpickup,1035
if_opensubclient,611
if_closesubclient,158
mes_typed,790
setup_messagebox,640
resume_hsldialog,1030
resume_clanforumqfcdialog,203
sound_synth,213
sound_synth_volume,1114
sound_jingle_volume,1120
sound_vorbis_volume,372
sound_speech_volume,888
sound_vorbis_rate,743
email_validation_add_new_address,868
friend_setrank,470
friend_setnotes,11
friend_add,1079
friend_del,677
ignore_add,431
ignore_del,841
ignore_setnotes,530
clan_kickuser,1214
clan_joinchat,84
clan_leavechat,587
ignore_add_temp,689
activeclanchannel_kickuser,1147
chat_setfilter,995
chat_sendabusereport,40
chat_setmode,153
chat_sendpublic,987
chat_sendprivate,144
activechatphrase_prepare,618
activechatphrase_send,826
activechatphrase_sendprivate,478
activechatphrase_setdynamicint,737
activechatphrase_setdynamicobj,781
worldmap_3dview_enable,1078
worldmap_3dview_disable,204
worldmap_3dview_setloddistance,1053
worldmap_setcategorypriority,906
worldmap_3dview_settextfont,884
worldmap_disabletextsize,1085
worldmap_disabletype,1262
worldmap_setzoom,1135
worldmap_setmap,1273
worldmap_jumptosourcecoord,104
worldmap_jumptodisplaycoord,43
worldmap_setmap_coord_override,368
worldmap_flashelementcategory,723
worldmap_disableelementcategory,1026
worldmap_closemap,421
setwindowmode,379
setdefaultwindowmode,1132
openurl,1063
urlencode,1123
spline_new,36
spline_addpoint,896
quit,725
openurl_nologin,230
formatminimenu,663
setdefaultcursors,1074
sethardcodedopcursors,512
notify_accountcreated,726
notify_accountcreatestarted,316
openurl_shim,347
cam_moveto,206
cam_lookat,9
cam_movealong,1136
cam_reset,290
cam_forceangle,922
cam_inc_x,1196
cam_dec_x,1080
cam_inc_y,1066
cam_dec_y,439
cam_followcoord,364
cam_smoothreset,627
cam2_setlookatmode,806
cam2_setpositionmode,849
cam2_setdepthplanes,130
cam2_setfieldofview,252
cam2_setlookatpoint_point,378
cam2_setpositionpoint_point,83
cam2_getpositionpoint_point,305
cam2_setlookatentity_player,881
cam2_setlookatentity_npc,518
cam2_setpositionentity_player,164
cam2_setpositionentity_npc,1169
cam2_setfieldofviewscreen,1230
cam2_removealleffects,1278
cam2_setlookatacceleration_axis,318
cam2_setpositionacceleration_axis,720
cam2_setlookatmaxspeed_axis,405
cam2_setpositionmaxspeed_axis,1152
cam2_setcollisionmode,348
cam2_setpositionpointcollision,801
cam2_updateeffect_ztilt,728
cam2_setlinearmovementmode,590
cam2_setspringproperties,688
cam2_setpositionangularinterpolation,269
cam2_enable,563
cam2_setsnapdistances,1013
cam2_resetsnapdistances,1221
cam2_setlookatorientation_vector,1022
cam2_setlookatorientation_xrotation,81
cam2_setlookatorientation_yrotation,898
cam2_setlookatorientation_xmovement,265
cam2_setlookatorientation_zmovement,1239
cam2_setlookatorientation_maxdistanceclamping,383
login_continue,281
login_resetreply,248
resend_uid_passport_request,775
create_availablerequest,943
create_name_availablerequest,1272
create_suggest_name_request,311
create_createrequest,553
create_connectrequest,242
create_step_reached,1075
lobby_entergame,1099
lobby_enterlobby,941
lobby_leavelobby,160
create_setunder13,457
login_cancel,531
lobby_enterlobby_social_network,1219
viewport_setfov,146
viewport_setzoom,1037
viewport_clampfov,259
worldlist_sort,219
worldlist_pingworlds,331
if_triggerop,395
force_interface_drag,1038
cancel_interface_drag,813
targetmode_active,264
targetmode_cancel,479
autosetup_sethigh,541
autosetup_setmedium,842
autosetup_setlow,301
autosetup_setmin,246
autosetup_setcustom,751
autosetup_blackflaglast,749
video_advert_force_remove,539
video_advert_allow_skip,947
bug_report,212
array_sort,928
cc_find,545
if_find,8
cc_getx,702
cc_gety,175
cc_getwidth,1010
cc_getheight,467
cc_gethide,239
cc_getlayer,989
cc_getparentlayer,829
cc_getcolour,945
cc_getscrollx,25
cc_getscrolly,190
cc_gettext,460
cc_getmodelzoom,419
cc_getmodelangle_x,792
cc_getmodelangle_z,139
cc_getmodelangle_y,90
cc_gettrans,1200
cc_getmodelxof,807
cc_getmodelyof,1082
cc_getgraphic,1062
cc_param,1270
cc_get2dangle,22
cc_getgraphicdimensions,1247
cc_getfontmetrics,803
cc_getinvobject,214
cc_getinvcount,1182
cc_getid,871
cc_gettargetmask,576
cc_getop,151
cc_getopbase,642
if_getx,13
if_gety,341
if_getwidth,717
if_getheight,451
if_gethide,174
if_getlayer,291
if_getparentlayer,490
if_getcolour,1157
if_getscrollx,148
if_getscrolly,10
if_gettext,157
if_getscrollwidth,68
if_getscrollheight,150
