// Incomplete, bruteforced from opcodes-780-770.txt and opcodes-783-1109.txt and opcodes-742-544.txt
push_var,152
pop_var,420
push_varbit,453
pop_varbit,586
push_constant_string,225
branch,1080
branch_not,714
branch_equals,987
branch_less_than,404
branch_greater_than,342
branch_less_than_or_equals,174
branch_greater_than_or_equals,57
push_int_local,231
pop_int_local,373
push_string_local,255
pop_string_local,331
join_string,953
pop_int_discard,854
pop_string_discard,122
gosub_with_params,111
define_array,84
push_array_int,1004
pop_array_int,139
switch,792
push_long_local,1029
long_branch_not,541
cc_create,219
cc_delete,213
cc_deleteall,478
if_sendtofront,348
if_sendtoback,869
cc_sendtofront,500
cc_sendtoback,679
if_resume_pausebutton,155
baseidkit,1078
basecolour,810
setobj,935
cc_setposition,855
cc_setsize,325
cc_sethide,149
cc_setaspect,900
cc_setnoclickthrough,6
cc_setscrollpos,992
cc_setcolour,326
cc_setfill,957
cc_settrans,446
cc_setlinewid,120
cc_setgraphic,387
cc_set2dangle,518
cc_settiling,281
cc_setmodel,807
cc_setmodelangle,717
cc_setmodelanim,672
cc_setmodelorthog,349
cc_settext,99
cc_settextfont,93
cc_settextalign,622
cc_settextshadow,784
cc_setoutline,1046
cc_setgraphicshadow,875
cc_setvflip,690
cc_sethflip,653
cc_setscrollsize,234
cc_setalpha,437
cc_setmodelzoom,1103
cc_setlinedirection,776
cc_setmaxlines,646
cc_setparam_int,1057
cc_setparam_string,530
cc_setretex,433
cc_setparam,750
cc_setclickmask,892
cc_setobject,1112
cc_setnpchead,906
cc_setplayerhead_self,1089
cc_setnpcmodel,511
cc_setobject_nonum,467
cc_setlinkfriend,1041
cc_setobject_wearcol,372
cc_setplayermodel_self,525
cc_setobject_alwaysnum,414
cc_setop,16
cc_setdraggable,932
cc_setdragrenderbehaviour,510
cc_setdragdeadzone,633
cc_setdragdeadtime,820
cc_setopbase,608
cc_settargetverb,643
cc_clearops,193
cc_settargetcursors,598
cc_setopcursor,700
cc_setpausetext,486
cc_settargetopcursor,666
cc_setopkey,1024
cc_setoptkey,698
cc_setopkeyignoreheld,1095
cc_setoptkeyignoreheld,727
cc_setmouseovercursor,639
cc_setonclick,53
cc_setonhold,157
cc_setonrelease,542
cc_setonmouseover,1079
cc_setonmouseleave,39
cc_setondrag,856
cc_setontargetleave,366
cc_setonvartransmit,187
cc_setontimer,356
cc_setonop,301
cc_setondragcomplete,995
cc_setonmouserepeat,917
cc_setoninvtransmit,796
cc_setonstattransmit,686
cc_setontargetenter,767
cc_setonscrollwheel,218
cc_setonmisctransmit,81
cc_setonvarctransmit,591
cc_setonvarcstrtransmit,417
cc_clearscripthooks,182
if_setposition,546
if_setsize,282
if_sethide,758
if_setnoclickthrough,452
if_setscrollpos,730
if_setcolour,654
if_setfill,573
if_settrans,109
if_setgraphic,610
if_set2dangle,526
if_settiling,36
if_setmodel,592
if_setmodelangle,484
if_setmodelanim,737
if_setmodeltint,299
if_settext,162
if_settextfont,2
if_settextalign,440
if_settextshadow,75
if_settextantimacro,1106
if_setoutline,956
if_setgraphicshadow,425
if_setvflip,625
if_sethflip,133
if_setscrollsize,861
if_setmodelzoom,405
if_setlinedirection,804
if_setmaxlines,615
if_setparam_int,223
if_setrecol,302
if_setretex,649
if_setclickmask,216
if_setobject,430
if_setnpchead,663
if_setnpcmodel,312
if_setobject_nonum,572
if_setplayermodel_self,1001
if_setobject_alwaysnum,631
if_setop,291
if_setdraggable,138
if_setdragrenderbehaviour,652
if_setopbase,655
if_settargetverb,851
if_clearops,131
if_settargetcursors,970
if_setopcursor,496
if_setpausetext,1052
if_setopchar,435
if_setopkey,648
if_setoptkey,651
if_setopkeyrate,410
if_setmouseovercursor,1030
if_setonclick,1015
if_setonhold,201
if_setonrelease,271
if_setonmouseover,960
if_setonmouseleave,945
if_setondrag,868
if_setontargetleave,159
if_setonvartransmit,1022
if_setontimer,457
if_setonop,620
if_setondragcomplete,104
if_setonclickrepeat,421
if_setonmouserepeat,403
if_setoninvtransmit,692
if_setonstattransmit,8
if_setontargetenter,570
if_setonscrollwheel,1008
if_setonchattransmit,508
if_setonkey,803
if_setonfriendtransmit,307
if_setonclantransmit,351
if_setonmisctransmit,576
if_setondialogabort,950
if_setonsubchange,755
if_setonstocktransmit,777
if_setoncamfinished,774
if_setonresize,905
if_setonvarctransmit,818
if_setonvarcstrtransmit,127
if_setonclansettingstransmit,528
if_setonclanchanneltransmit,12
if_setonvarclantransmit,531
if_clearscripthooks,634
if_callonresize,108
if_npc_setcustombodymodel,908
cc_npc_setcustomrecol,439
mes,233
return,123
if_close,756
resume_countdialog,176
resume_namedialog,912
resume_stringdialog,411
opplayer,539
resume_objdialog,214
cc_dragpickup,134
if_opensubclient,594
if_closesubclient,284
mes_typed,923
setup_messagebox,283
resume_hsldialog,172
resume_clanforumqfcdialog,729
sound_synth,765
sound_jingle,381
sound_vorbis_volume,413
sound_vorbis_rate,112
email_validation_add_new_address,33
friend_setrank,279
friend_add,1082
friend_del,451
ignore_add,605
ignore_del,297
clan_kickuser,790
clan_joinchat,83
clan_leavechat,371
ignore_add_temp,463
activeclanchannel_kickuser,469
chat_setfilter,332
chat_sendabusereport,1111
chat_setmode,210
chat_sendpublic,360
chat_sendprivate,160
activechatphrase_prepare,444
activechatphrase_send,940
activechatphrase_sendprivate,989
activechatphrase_sendclan,309
activechatphrase_setdynamicint,985
activechatphrase_setdynamicobj,481
activechatphrase_sendclanchannel_affined,393
activechatphrase_sendclanchannel_listened,552
worldmap_3dview_enable,827
worldmap_3dview_disable,490
worldmap_3dview_setloddistance,955
worldmap_setcategorypriority,115
worldmap_3dview_settextfont,704
worldmap_disabletextsize,959
worldmap_disabletype,322
worldmap_setzoom,922
worldmap_setmap,254
worldmap_jumptosourcecoord,693
worldmap_jumptodisplaycoord,419
worldmap_setmap_coord_override,265
worldmap_flashelementcategory,1067
worldmap_disableelementcategory,534
worldmap_closemap,914
setwindowmode,668
