// Incomplete, bruteforced from opcodes-789-1512.txt and opcodes-789-627.txt and opcodes-791-1583.txt
push_var,7
pop_var,1004
push_varbit,1063
pop_varbit,539
push_constant_string,165
branch,70
branch_not,827
branch_equals,250
branch_less_than,880
branch_greater_than,345
branch_less_than_or_equals,442
branch_greater_than_or_equals,596
push_int_local,803
pop_int_local,1080
push_string_local,763
pop_string_local,1083
join_string,502
pop_int_discard,545
pop_string_discard,382
gosub_with_params,444
define_array,18
push_array_int,1012
pop_array_int,241
switch,1031
push_long_local,636
long_branch_not,155
cc_create,1111
cc_delete,225
cc_deleteall,538
if_sendtofront,687
if_sendtoback,846
cc_sendtofront,847
cc_sendtoback,714
if_resume_pausebutton,28
baseidkit,389
basecolour,873
setobj,693
cc_setposition,278
cc_setsize,645
cc_sethide,736
cc_setaspect,1000
cc_setnoclickthrough,1072
cc_setscrollpos,360
cc_setcolour,199
cc_setfill,549
cc_settrans,158
cc_setlinewid,631
cc_setgraphic,903
cc_set2dangle,499
cc_settiling,25
cc_setmodel,299
cc_setmodelangle,455
cc_setmodelanim,267
cc_setmodelorthog,229
cc_settext,727
cc_settextfont,804
cc_settextalign,1122
cc_settextshadow,120
cc_setoutline,115
cc_setgraphicshadow,264
cc_setvflip,246
cc_sethflip,798
cc_setscrollsize,305
cc_setalpha,946
cc_setmodelzoom,226
cc_setlinedirection,532
cc_setmaxlines,850
cc_setparam_int,185
cc_setparam_string,142
cc_setretex,303
cc_setparam,987
cc_setclickmask,918
cc_setobject,31
cc_setnpchead,217
cc_setplayerhead_self,320
cc_setnpcmodel,375
cc_setobject_nonum,195
cc_setlinkfriend,405
cc_setobject_wearcol,97
cc_setplayermodel_self,842
cc_setobject_alwaysnum,1106
cc_setop,881
cc_setdraggable,823
cc_setdragrenderbehaviour,329
cc_setdragdeadzone,322
cc_setdragdeadtime,1065
cc_setopbase,378
cc_settargetverb,981
cc_clearops,540
cc_settargetcursors,207
cc_setopcursor,887
cc_setpausetext,685
cc_settargetopcursor,285
cc_setopkey,1053
cc_setoptkey,180
cc_setopkeyignoreheld,481
cc_setoptkeyignoreheld,323
cc_setmouseovercursor,66
cc_setonclick,692
cc_setonhold,999
cc_setonrelease,548
cc_setonmouseover,380
cc_setonmouseleave,121
cc_setondrag,580
cc_setontargetleave,781
cc_setonvartransmit,825
cc_setontimer,434
cc_setonop,970
cc_setondragcomplete,1025
cc_setonmouserepeat,1061
cc_setoninvtransmit,772
cc_setonstattransmit,391
cc_setontargetenter,392
cc_setonscrollwheel,154
cc_setonmisctransmit,32
cc_setonvarctransmit,327
cc_setonvarcstrtransmit,938
cc_clearscripthooks,639
if_setposition,907
if_setsize,1090
if_sethide,26
if_setnoclickthrough,536
if_setscrollpos,372
if_setcolour,1113
if_setfill,36
if_settrans,281
if_setgraphic,1110
if_set2dangle,99
if_settiling,347
if_setmodel,182
if_setmodelangle,219
if_setmodelanim,848
if_setmodeltint,230
if_settext,535
if_settextfont,821
if_settextalign,220
if_settextshadow,174
if_settextantimacro,244
if_setoutline,1010
