// Incomplete, bruteforced from opcodes-877-1518.txt
push_var,919
pop_var,190
push_varbit,181
pop_varbit,86
push_constant_string,590
branch,118
branch_not,1003
branch_equals,1272
branch_less_than,219
branch_greater_than,97
branch_less_than_or_equals,934
branch_greater_than_or_equals,240
push_int_local,679
pop_int_local,371
push_string_local,523
pop_string_local,336
join_string,740
pop_int_discard,451
pop_string_discard,986
gosub_with_params,727
define_array,9
push_array_int,894
pop_array_int,893
switch,220
push_long_local,1078
long_branch_not,310
cc_create,386
cc_delete,461
cc_deleteall,183
if_sendtofront,1084
if_sendtoback,811
cc_sendtofront,366
cc_sendtoback,603
if_resume_pausebutton,779
cc_resume_pausebutton,697
baseidkit,1212
basecolour,1222
setobj,180
cc_setposition,276
cc_setsize,1075
cc_sethide,403
cc_setaspect,552
cc_setnoclickthrough,316
cc_setscrollpos,288
cc_setcolour,876
cc_setfill,460
cc_settrans,600
cc_setlinewid,806
cc_setgraphic,646
cc_set2dangle,475
cc_settiling,36
cc_setmodel,1188
cc_setmodelangle,1266
cc_setmodelanim,430
cc_settext,1103
cc_settextfont,112
cc_settextalign,11
cc_settextshadow,1107
cc_setoutline,1176
cc_setgraphicshadow,557
cc_setvflip,815
cc_sethflip,621
cc_setscrollsize,1232
cc_setalpha,346
cc_setmodelzoom,63
cc_setlinedirection,914
cc_setmaxlines,663
cc_setparam_int,1253
cc_setparam_string,1046
cc_setretex,619
cc_setfontmono,469
cc_setparam,324
cc_setclickmask,273
cc_setobject,411
cc_setnpchead,1190
cc_setplayerhead_self,319
cc_setnpcmodel,487
cc_setobject_nonum,91
cc_setlinkfriend,1137
cc_setlinkfriendchat,231
cc_setlinkplayergroup,615
cc_setlinkactiveclanchannel,197
cc_resetlinkplayer,452
cc_setobject_wearcol,146
cc_setplayermodel_self,513
cc_setobject_alwaysnum,1130
cc_setop,990
cc_setdraggable,978
cc_setdragrenderbehaviour,555
cc_setdragdeadzone,1223
cc_setdragdeadtime,889
cc_setopbase,771
cc_settargetverb,1025
cc_clearops,261
cc_settargetcursors,301
cc_setopcursor,493
cc_setpausetext,549
cc_settargetopcursor,187
cc_setopkey,1102
cc_setoptkey,1254
cc_setopkeyrate,912
cc_setopkeyignoreheld,87
cc_setoptkeyignoreheld,31
cc_setmouseovercursor,746
cc_setonclick,1220
cc_setonhold,339
cc_setonrelease,351
cc_setonmouseover,1027
cc_setonmouseleave,799
cc_setondrag,1140
cc_setontargetleave,495
cc_setonvartransmit,496
cc_setontimer,1227
cc_setonop,860
cc_setondragcomplete,360
cc_setonclickrepeat,1163
cc_setonmouserepeat,1068
cc_setoninvtransmit,264
cc_setonstattransmit,290
cc_setontargetenter,537
cc_setonscrollwheel,1152
cc_setonmisctransmit,581
cc_setonvarctransmit,246
cc_setonvarcstrtransmit,511
cc_clearscripthooks,514
if_setposition,488
if_setsize,903
if_sethide,153
if_setnoclickthrough,467
if_setscrollpos,691
if_setcolour,70
if_setfill,134
if_settrans,1234
if_setgraphic,342
if_set2dangle,948
if_settiling,993
if_setmodel,136
if_setmodelangle,1246
if_setmodelanim,882
if_setmodelorthog,548
if_setmodeltint,996
if_setmodellighting,143
if_settext,1081
if_settextfont,541
if_settextalign,477
if_settextshadow,1274
if_settextantimacro,199
if_setoutline,752
if_setgraphicshadow,498
if_setvflip,544
if_sethflip,1121
if_setscrollsize,226
if_setmodelzoom,644
if_setlinedirection,1009
if_setmaxlines,736
if_setparam_int,744
if_setparam_string,546
if_setrecol,434
if_setretex,582
if_setclickmask,545
if_setobject,1210
if_setnpchead,786
if_setnpcmodel,27
if_setobject_nonum,402
if_setplayermodel_self,661
if_setobject_alwaysnum,916
if_setop,637
if_setdraggable,372
if_setdragrenderbehaviour,62
if_setdragdeadzone,80
if_setdragdeadtime,723
if_setopbase,878
if_settargetverb,152
if_clearops,122
if_settargetcursors,518
if_setopcursor,48
if_setpausetext,295
if_setopkey,1125
if_setoptkey,693
if_setopkeyrate,832
if_setmouseovercursor,757
if_setonclick,1040
if_setonhold,578
if_setonrelease,173
if_setonmouseover,1124
if_setonmouseleave,401
if_setondrag,448
if_setontargetleave,454
if_setonvartransmit,554
if_setontimer,531
if_setonop,905
if_setondragcomplete,435
if_setonclickrepeat,561
if_setonmouserepeat,1204
if_setoninvtransmit,427
if_setonstattransmit,665
if_setontargetenter,166
if_setonscrollwheel,60
if_setonchattransmit,979
if_setonkey,943
if_setongamepadbutton,873
if_setongamepadbuttonheld,255
if_setongamepadaxis,440
if_setongamepadtrigger,230
if_setonfriendtransmit,287
if_setonclantransmit,478
if_setonmisctransmit,424
if_setondialogabort,492
if_setonsubchange,23
if_setonstocktransmit,719
if_setoncamfinished,10
if_setonresize,473
if_setonvarctransmit,1119
if_setonvarcstrtransmit,802
if_setonclansettingstransmit,307
if_setonclanchanneltransmit,1099
if_setonvarclantransmit,322
if_setonplayergrouptransmit,17
if_setonplayergroupvarptransmit,471
if_setoncameraupdatetransmit,227
if_clearscripthooks,1011
if_callonresize,358
