// Incomplete, bruteforced from opcodes-896-774.txt and opcodes-910-1730.txt and opcodes-883-596.txt
push_var,390
pop_var,672
push_varbit,1186
pop_varbit,1136
push_constant_string,3
branch,232
branch_not,1247
branch_equals,1318
branch_less_than,83
branch_greater_than,939
branch_less_than_or_equals,1273
branch_greater_than_or_equals,961
push_int_local,600
pop_int_local,1128
push_string_local,1096
pop_string_local,485
join_string,763
pop_int_discard,1290
pop_string_discard,355
gosub_with_params,228
define_array,746
push_array_int,835
pop_array_int,398
switch,801
push_long_local,217
long_branch_not,1112
cc_create,1025
cc_delete,15
cc_deleteall,1187
if_sendtofront,1287
if_sendtoback,718
cc_sendtofront,1061
cc_sendtoback,679
if_resume_pausebutton,490
cc_resume_pausebutton,806
baseidkit,394
basecolour,664
setobj,784
cc_setposition,441
cc_setsize,225
cc_sethide,1070
cc_setaspect,631
cc_setnoclickthrough,361
cc_setscrollpos,368
cc_setcolour,79
cc_setfill,517
cc_settrans,745
cc_setlinewid,823
cc_setgraphic,532
cc_set2dangle,380
cc_settiling,1028
cc_setmodel,173
cc_setmodelangle,240
cc_setmodelanim,529
cc_settext,1181
cc_settextfont,802
cc_settextalign,45
cc_settextshadow,409
cc_setoutline,975
cc_setgraphicshadow,1296
cc_setvflip,444
cc_sethflip,571
cc_setscrollsize,64
cc_setalpha,332
cc_setmodelzoom,44
cc_setlinedirection,711
cc_setmaxlines,764
cc_setparam_int,990
cc_setparam_string,1319
cc_setretex,106
cc_setfontmono,168
cc_setparam,1092
cc_setclickmask,800
cc_setobject,378
cc_setnpchead,812
cc_setplayerhead_self,814
cc_setnpcmodel,649
cc_setobject_nonum,1210
cc_setlinkfriend,1003
cc_setlinkfriendchat,607
cc_setlinkplayergroup,1345
cc_setlinkactiveclanchannel,554
cc_resetlinkplayer,581
cc_setobject_wearcol,480
cc_setplayermodel_self,1124
cc_setobject_alwaysnum,125
cc_setop,979
cc_setdraggable,724
cc_setdragrenderbehaviour,306
cc_setdragdeadzone,373
cc_setdragdeadtime,1015
cc_setopbase,286
cc_settargetverb,367
cc_clearops,885
cc_settargetcursors,1154
cc_setopcursor,1046
cc_setpausetext,245
cc_settargetopcursor,1255
cc_setopkey,489
cc_setoptkey,775
cc_setopkeyrate,1134
cc_setopkeyignoreheld,700
cc_setoptkeyignoreheld,615
cc_setmouseovercursor,957
cc_setonclick,1195
cc_setonhold,695
cc_setonrelease,414
cc_setonmouseover,613
cc_setonmouseleave,597
cc_setondrag,1126
cc_setontargetleave,1237
cc_setonvartransmit,96
cc_setontimer,499
cc_setonop,107
cc_setondragcomplete,926
cc_setonclickrepeat,842
cc_setonmouserepeat,341
cc_setoninvtransmit,190
cc_setonstattransmit,60
cc_setontargetenter,555
