// Incomplete, bruteforced from opcodes-865-1201.txt and opcodes-910-1730.txt
push_var,404
pop_var,1111
push_varbit,1113
pop_varbit,692
push_constant_string,36
branch,491
branch_not,677
branch_equals,317
branch_less_than,1019
branch_greater_than,164
branch_less_than_or_equals,975
branch_greater_than_or_equals,637
push_int_local,1069
pop_int_local,326
push_string_local,563
pop_string_local,60
join_string,968
pop_int_discard,543
pop_string_discard,1212
gosub_with_params,679
define_array,661
push_array_int,560
pop_array_int,149
switch,575
push_long_local,837
long_branch_not,1246
cc_create,524
cc_delete,716
cc_deleteall,461
if_sendtofront,178
if_sendtoback,680
cc_sendtofront,349
cc_sendtoback,458
if_resume_pausebutton,167
cc_resume_pausebutton,1186
baseidkit,1035
basecolour,940
setobj,343
cc_setposition,90
cc_setsize,973
cc_sethide,53
cc_setaspect,1115
cc_setnoclickthrough,279
cc_setscrollpos,454
cc_setcolour,1200
cc_setfill,951
cc_settrans,1012
cc_setlinewid,417
cc_setgraphic,1165
cc_set2dangle,655
cc_settiling,242
cc_setmodel,263
cc_setmodelangle,1163
cc_setmodelanim,643
cc_settext,896
cc_settextfont,571
cc_settextalign,261
cc_settextshadow,1171
cc_setoutline,1042
cc_setgraphicshadow,825
cc_setvflip,720
cc_sethflip,371
cc_setscrollsize,884
cc_setalpha,357
cc_setmodelzoom,622
cc_setlinedirection,27
cc_setmaxlines,258
cc_setparam_int,441
cc_setparam_string,40
cc_setretex,49
cc_setparam,880
cc_setclickmask,134
cc_setobject,1235
cc_setnpchead,1076
cc_setplayerhead_self,1093
cc_setnpcmodel,1099
cc_setobject_nonum,878
cc_setlinkfriend,388
cc_setlinkfriendchat,429
cc_setlinkplayergroup,84
cc_setlinkactiveclanchannel,664
cc_resetlinkplayer,490
cc_setobject_wearcol,670
cc_setplayermodel_self,296
cc_setobject_alwaysnum,873
cc_setop,696
cc_setdraggable,699
cc_setdragrenderbehaviour,996
cc_setdragdeadzone,156
cc_setdragdeadtime,1016
cc_setopbase,1210
cc_settargetverb,995
cc_clearops,976
cc_settargetcursors,227
cc_setopcursor,523
cc_setpausetext,566
cc_settargetopcursor,1116
cc_setopkey,1182
cc_setoptkey,963
cc_setopkeyrate,641
cc_setopkeyignoreheld,23
cc_setoptkeyignoreheld,438
cc_setmouseovercursor,1090
cc_setonclick,45
cc_setonhold,689
cc_setonrelease,228
cc_setonmouseover,1130
cc_setonmouseleave,1141
cc_setondrag,307
cc_setontargetleave,1144
cc_setonvartransmit,916
cc_setontimer,177
cc_setonop,16
cc_setondragcomplete,494
cc_setonclickrepeat,128
cc_setonmouserepeat,556
cc_setoninvtransmit,946
cc_setonstattransmit,955
cc_setontargetenter,1121
cc_setonscrollwheel,537
cc_setonmisctransmit,50
cc_setonvarctransmit,166
cc_setonvarcstrtransmit,102
cc_clearscripthooks,750
if_setposition,47
if_setsize,426
if_sethide,1181
if_setnoclickthrough,1025
if_setscrollpos,447
if_setcolour,1196
if_setfill,632
if_settrans,501
if_setgraphic,366
if_set2dangle,386
if_settiling,1162
if_setmodel,378
if_setmodelangle,28
if_setmodelanim,415
if_setmodelorthog,1150
if_setmodeltint,521
if_setmodellighting,110
if_settext,226
if_settextfont,853
if_settextalign,485
if_settextshadow,668
if_settextantimacro,904
if_setoutline,77
if_setgraphicshadow,295
if_setvflip,33
if_sethflip,361
if_setscrollsize,484
if_setmodelzoom,363
if_setlinedirection,330
if_setmaxlines,948
if_setparam_int,190
if_setparam_string,1139
if_setrecol,1252
if_setretex,885
if_setclickmask,1211
if_setobject,1223
if_setnpchead,1022
if_setnpcmodel,1228
if_setobject_nonum,869
if_setplayermodel_self,1194
if_setobject_alwaysnum,1083
if_setop,1027
if_setdraggable,331
if_setdragrenderbehaviour,875
if_setdragdeadzone,603
if_setdragdeadtime,1122
if_setopbase,729
if_settargetverb,867
if_clearops,736
if_settargetcursors,274
if_setopcursor,1
if_setpausetext,69
if_setopkey,248
if_setoptkey,498
if_setopkeyrate,6
if_setmouseovercursor,11
if_setonclick,1199
if_setonhold,237
if_setonrelease,617
if_setonmouseover,947
if_setonmouseleave,10
if_setondrag,459
if_setontargetleave,137
if_setonvartransmit,809
if_setontimer,820
if_setonop,170
if_setondragcomplete,550
if_setonclickrepeat,373
if_setonmouserepeat,964
if_setoninvtransmit,122
if_setonstattransmit,93
if_setontargetenter,420
if_setonscrollwheel,313
if_setonchattransmit,1041
if_setonkey,99
if_setonfriendtransmit,578
if_setonclantransmit,967
if_setonmisctransmit,843
if_setondialogabort,718
if_setonsubchange,610
if_setonstocktransmit,669
if_setoncamfinished,218
if_setonresize,1036
if_setonvarctransmit,918
if_setonvarcstrtransmit,1052
if_setonclansettingstransmit,1189
if_setonclanchanneltransmit,246
if_setonvarclantransmit,209
if_setonplayergrouptransmit,340
if_setonplayergroupvarptransmit,1224
if_setoncameraupdatetransmit,1209
if_clearscripthooks,111
if_callonresize,619
if_npc_setcustombodymodel,513
if_npc_setcustomrecol,983
cc_npc_setcustomrecol,197
mes,1010
return,777
if_close,1143
resume_countdialog,722
resume_namedialog,165
resume_stringdialog,418
abort_dialog,65
opplayer,1134
resume_objdialog,769
cc_dragpickup,198
if_opensubclient,588
if_closesubclient,492
mes_typed,442
setup_messagebox,591
resume_hsldialog,772
resume_clanforumqfcdialog,446
sound_synth,1214
sound_synth_volume,1039
sound_jingle_volume,574
sound_vorbis_volume,413
sound_speech_volume,807
sound_vorbis_rate,1124
email_validation_add_new_address,594
friend_setrank,672
friend_setnotes,891
friend_add,306
friend_del,532
ignore_add,1204
ignore_del,952
ignore_setnotes,427
clan_kickuser,432
clan_joinchat,1153
clan_leavechat,1091
ignore_add_temp,281
activeclanchannel_kickuser,471
chat_setfilter,288
chat_sendabusereport,382
chat_setmode,73
chat_sendpublic,108
chat_sendprivate,762
activechatphrase_prepare,205
activechatphrase_send,540
activechatphrase_sendprivate,1213
activechatphrase_setdynamicint,82
activechatphrase_setdynamicobj,1245
worldmap_3dview_enable,282
worldmap_3dview_disable,384
worldmap_3dview_setloddistance,527
worldmap_setcategorypriority,217
worldmap_3dview_settextfont,987
worldmap_disabletextsize,138
worldmap_disabletype,52
worldmap_setzoom,728
worldmap_setmap,719
worldmap_jumptosourcecoord,626
worldmap_jumptodisplaycoord,203
worldmap_setmap_coord_override,460
worldmap_flashelementcategory,21
worldmap_disableelementcategory,155
worldmap_closemap,229
setwindowmode,216
setdefaultwindowmode,847
openurl,394
urlencode,266
spline_new,43
spline_addpoint,985
quit,78
openurl_nologin,751
formatminimenu,59
setdefaultcursors,708
sethardcodedopcursors,300
notify_accountcreated,107
notify_accountcreatestarted,1157
openurl_shim,1059
cam_moveto,262
cam_lookat,372
cam_movealong,961
cam_reset,625
cam_forceangle,1081
cam_inc_x,1024
cam_dec_x,582
cam_inc_y,1161
cam_dec_y,1222
cam_followcoord,1250
cam_smoothreset,662
cam2_setlookatmode,535
cam2_setpositionmode,1062
cam2_setdepthplanes,667
cam2_setfieldofview,436
cam2_setlookatpoint_point,606
cam2_setpositionpoint_point,75
cam2_getpositionpoint_point,1164
cam2_setlookatentity_player,275
cam2_setlookatentity_npc,634
cam2_setpositionentity_player,46
cam2_setpositionentity_npc,483
cam2_setfieldofviewscreen,1002
cam2_removealleffects,868
cam2_setlookatacceleration_axis,486
cam2_setpositionacceleration_axis,555
cam2_setlookatmaxspeed_axis,665
cam2_setpositionmaxspeed_axis,362
cam2_setcollisionmode,579
cam2_setpositionpointcollision,1054
cam2_updateeffect_ztilt,1020
cam2_setlinearmovementmode,356
cam2_setspringproperties,962
cam2_setpositionangularinterpolation,909
cam2_enable,472
cam2_setsnapdistances,440
cam2_resetsnapdistances,64
cam2_setlookatorientation_vector,1049
cam2_setlookatorientation_xrotation,1040
cam2_setlookatorientation_yrotation,933
cam2_setlookatorientation_xmovement,315
cam2_setlookatorientation_zmovement,385
cam2_setlookatorientation_maxdistanceclamping,792
login_continue,184
login_resetreply,1133
resend_uid_passport_request,1178
create_availablerequest,412
create_name_availablerequest,600
create_suggest_name_request,7
create_createrequest,1231
create_connectrequest,463
create_step_reached,265
lobby_entergame,936
lobby_enterlobby,779
lobby_leavelobby,297
create_setunder13,1140
login_cancel,1058
lobby_enterlobby_social_network,1177
viewport_setfov,181
viewport_setzoom,185
viewport_clampfov,628
worldlist_sort,517
worldlist_pingworlds,208
if_triggerop,934
force_interface_drag,1185
cancel_interface_drag,596
targetmode_active,252
targetmode_cancel,495
autosetup_sethigh,224
autosetup_setmedium,1201
autosetup_setlow,768
autosetup_setmin,691
autosetup_setcustom,17
autosetup_blackflaglast,1238
video_advert_force_remove,659
video_advert_allow_skip,96
bug_report,428
array_sort,240
cc_find,467
if_find,1068
cc_getx,503
cc_gety,201
cc_getwidth,464
cc_getheight,333
cc_gethide,398
cc_getlayer,787
cc_getparentlayer,1149
cc_getcolour,89
cc_getscrollx,221
cc_getscrolly,375
cc_gettext,872
cc_getmodelzoom,202
cc_getmodelangle_x,790
cc_getmodelangle_z,1080
cc_getmodelangle_y,580
cc_gettrans,822
cc_getmodelxof,991
cc_getmodelyof,910
cc_getgraphic,62
cc_param,865
cc_get2dangle,798
cc_getmodel,1071
cc_getgraphicdimensions,638
cc_getfontmetrics,272
cc_getinvobject,380
cc_getinvcount,576
cc_getid,841
cc_gettargetmask,283
cc_getop,861
cc_getopbase,213
if_getx,1239
if_gety,818
if_getwidth,786
if_getheight,103
if_gethide,193
if_getlayer,476
if_getparentlayer,817
if_getcolour,1108
if_getscrollx,1030
if_getscrolly,589
if_gettext,1169
if_getscrollwidth,376
if_getscrollheight,452
if_getmodelzoom,449
if_getmodelangle_x,950
if_getmodelangle_z,830
if_getmodelangle_y,988
if_gettrans,530
if_getmodelxof,401
if_getmodelyof,57
if_getgraphic,130
if_get2dangle,481
if_getmodel,676
if_getgraphicdimensions,233
if_getfontmetrics,598
if_getinvobject,352
if_getinvcount,1172
if_hassub,338
if_getnextsubid,479
if_hassubmodal,320
if_hassuboverlay,294
if_gettargetmask,391
if_getop,649
if_getopbase,267
if_getcharindexatpos,1145
if_getcharposatindex,874
clientclock,519
inv_getobj,399
inv_getnum,685
inv_total,931
inv_totalcat,1104
inv_size,1190
inv_stockbase,132
inv_getvar,1167
stat,162
stat_base,845
stat_visible_xp,299
stat_base_actual,892
stat_visible_xp_actual,397
facing_fine,311
coord,601
coordx,901
coordy,223
coordz,215
coordx_fine,854
coordy_fine,966
coordz_fine,849
coordlevel_fine,730
movecoord_fine,1192
coord_gridtofine,1079
map_members,862
map_preload,24
map_loadedpercent,586
invother_getobj,773
invother_getnum,135
staffmodlevel,900
reboottimer,572
map_world,148
runenergy_visible,546
runweight_visible,886
playermod,407
playermodlevel,74
playermember,396
comlevel_active,942
gender,54
map_quickchat,747
inv_freespace,1045
inv_totalparam,451
map_lang,1038
movecoord,1005
applet_hasfocus,795
frombilling,781
get_mousex,239
get_mousey,301
get_active_minimenu_entry,67
get_minimenu_length,474
npc_find_active_minimenu_entry,159
get_currentcursor,507
get_mousebuttons,1103
get_minimenu_target,866
enum_string,1131
enum,570
enum_hasoutput,230
enum_getoutputcount,857
enum_getreversecount,393
enum_getreverseindex,771
friend_count,1146
friend_getname,881
friend_getworld,693
friend_getrank,143
friend_getnotes,253
friend_getworldflags,767
friend_test,737
friend_getworldname,698
clan_getchatdisplayname,645
clan_getchatcount,943
clan_getchatusername,284
clan_getchatuserworld,3
clan_getchatuserrank,859
clan_getchatminkick,970
clan_getchatrank,25
ignore_count,456
ignore_getname,584
ignore_getnotes,636
ignore_test,775
clan_isself,1156
clan_getchatownername,466
clan_getchatuserworldname,105
friend_platform,607
friend_getslotfromname,832
playercountry,358
clan_getchatusername_unfiltered,1193
ignore_getname_unfiltered,604
friend_is_referrer,58
friend_is_referred,651
activeclansettings_find_listened,518
activeclansettings_find_affined,147
activeclansettings_getclanname,39
activeclansettings_getallowunaffined,304
activeclansettings_getranktalk,500
activeclansettings_getrankkick,733
activeclansettings_getaffinedcount,332
activeclansettings_getaffineddisplayname,1132
activeclansettings_getaffinedrank,895
activeclansettings_getbannedcount,635
activeclansettings_getbanneddisplayname,542
activeclansettings_getcurrentowner_slot,1173
activeclansettings_getaffinedslot,882
activeclansettings_getsortedaffinedslot,545
activeclanchannel_find_listened,833
activeclanchannel_find_affined,219
activeclanchannel_getclanname,477
activeclanchannel_getrankkick,1037
activeclanchannel_getranktalk,1183
activeclanchannel_getusercount,981
activeclanchannel_getuserdisplayname,808
activeclanchannel_getuserrank,921
activeclanchannel_getuserworld,309
activeclanchannel_getuserslot,480
activeclanchannel_getsorteduserslot,176
clanprofile_find,735
stockmarket_getoffertype,1112
stockmarket_getofferitem,1075
stockmarket_getofferprice,953
stockmarket_getoffercount,1021
stockmarket_getoffercompletedcount,1148
stockmarket_getoffercompletedgold,127
stockmarket_isofferempty,1095
stockmarket_isofferfinished,383
