// Incomplete, bruteforced from opcodes-809-1183.txt
// Its gamepack jar is not among the 14 archived for build 808.
sethardcodedopcursors,837
notify_accountcreated,824
notify_accountcreatestarted,232
openurl_shim,449
cam_moveto,143
cam_lookat,2
cam_movealong,541
cam_reset,140
cam_forceangle,194
cam_inc_x,420
cam_dec_x,292
cam_inc_y,487
cam_dec_y,513
cam_followcoord,272
cam_smoothreset,16
cam2_setlookatmode,121
cam2_setpositionmode,881
cam2_setdepthplanes,105
cam2_setfieldofview,441
cam2_setlookatpoint_point,293
cam2_setpositionpoint_point,760
cam2_setlookatentity_player,81
cam2_setlookatentity_npc,150
cam2_setpositionentity_player,307
cam2_setpositionentity_npc,189
cam2_setfieldofviewscreen,206
cam2_removealleffects,171
cam2_setlookatacceleration_axis,568
cam2_setpositionacceleration_axis,179
cam2_setlookatmaxspeed_axis,960
cam2_setpositionmaxspeed_axis,1068
cam2_setcollisionmode,1
cam2_updateeffect_ztilt,303
cam2_setlinearmovementmode,905
cam2_setspringproperties,55
cam2_setpositionangularinterpolation,455
cam2_enable,1037
cam2_setsnapdistances,354
cam2_resetsnapdistances,592
login_continue,844
login_resetreply,582
resend_uid_passport_request,395
create_availablerequest,660
create_name_availablerequest,263
create_suggest_name_request,860
create_createrequest,776
create_connectrequest,1108
create_step_reached,731
lobby_entergame,328
lobby_enterlobby,524
lobby_leavelobby,514
create_setunder13,884
login_cancel,56
lobby_enterlobby_social_network,831
detail_brightness,370
detail_removeroofs_option,734
detail_grounddecor_on,287
detail_flickering_on,134
detail_spotshadows_on,882
detail_hardshadows,1131
detail_lightdetail_high,758
detail_waterdetail_high,372
detail_fog_on,502
detail_antialiasing,943
detail_antialiasing_quality,754
detail_stereo,549
detail_soundvol,209
detail_musicvol,691
detail_bgsoundvol,309
detail_particles,781
detail_antialiasing_default,916
detail_buildarea,698
detail_bloom,663
detail_customcursors,237
detail_idleanims,547
detail_groundblending,6
detail_toolkit,285
detail_toolkit_default,195
detail_cpuusage,825
detail_texturing,26
detail_maxscreensize,1046
detail_speechvol,139
detail_loginvol,79
detail_loadingscreentype,966
detail_drawdistance,998
detail_skydetail,872
viewport_setfov,659
viewport_setzoom,300
viewport_clampfov,789
worldlist_sort,384
worldlist_pingworlds,515
force_interface_drag,800
cancel_interface_drag,1033
targetmode_active,1024
targetmode_cancel,472
autosetup_sethigh,1028
autosetup_setmedium,182
autosetup_setlow,158
autosetup_setmin,107
autosetup_setcustom,10
autosetup_blackflaglast,838
video_advert_allow_skip,92
video_advert_force_remove,1112
bug_report,807
array_sort,1017
cc_find,975
if_find,357
cc_getx,401
cc_gety,361
cc_getwidth,728
cc_getheight,390
cc_gethide,571
cc_getlayer,859
cc_getparentlayer,369
cc_getcolour,484
cc_getscrollx,598
cc_getscrolly,1111
cc_gettext,218
cc_getmodelzoom,248
cc_getmodelangle_x,212
cc_getmodelangle_z,673
cc_getmodelangle_y,732
cc_gettrans,636
cc_getmodelxof,929
cc_getmodelyof,572
cc_getgraphic,1053
cc_param,185
cc_get2dangle,481
cc_getgraphicdimensions,727
cc_getfontmetrics,201
cc_getinvobject,726
cc_getinvcount,942
cc_getid,573
cc_gettargetmask,588
cc_getop,617
cc_getopbase,911
if_getx,852
if_gety,986
if_getwidth,252
if_getheight,627
if_gethide,697
if_getlayer,654
if_getparentlayer,266
if_getcolour,575
if_getscrollx,666
if_getscrolly,890
if_gettext,489
if_getscrollwidth,80
if_getscrollheight,628
if_getmodelzoom,868
if_getmodelangle_x,680
if_getmodelangle_z,991
if_getmodelangle_y,979
if_gettrans,507
if_getmodelxof,945
if_getmodelyof,597
if_getgraphic,1125
if_get2dangle,835
if_getmodel,1013
if_getgraphicdimensions,578
if_getfontmetrics,608
if_getinvobject,66
if_getinvcount,637
if_hassub,7
if_getnextsubid,707
if_hassubmodal,955
if_hassuboverlay,536
if_gettargetmask,808
if_getop,102
if_getopbase,806
if_getcharindexatpos,607
if_getcharposatindex,981
clientclock,332
inv_getobj,398
inv_getnum,329
inv_total,483
inv_totalcat,700
inv_size,435
inv_stockbase,948
stat,475
stat_base,283
stat_visible_xp,298
stat_base_actual,729
stat_visible_xp_actual,917
coord,259
coordx,432
coordy,1134
coordz,1093
coordx_fine,619
coordy_fine,133
coordz_fine,1071
movecoord_fine,1048
coord_gridtofine,965
map_members,1139
map_preload,810
map_loadedpercent,1010
invother_getobj,318
invother_getnum,694
staffmodlevel,253
reboottimer,946
map_world,724
runenergy_visible,534
runweight_visible,1143
playermod,1090
playermodlevel,865
playermember,1094
comlevel_active,464
gender,977
map_quickchat,964
inv_freespace,751
inv_totalparam,1009
map_lang,795
movecoord,57
applet_hasfocus,273
frombilling,681
get_mousex,228
get_mousey,479
get_active_minimenu_entry,466
get_minimenu_length,271
npc_find_active_minimenu_entry,190
get_currentcursor,586
get_mousebuttons,353
get_minimenu_target,1146
enum_string,830
enum,974
enum_hasoutput,262
enum_getoutputcount,1049
enum_getreversecount,1113
enum_getreverseindex,1003
friend_count,836
friend_getname,27
friend_getworld,1044
friend_getrank,268
friend_getnotes,702
friend_getworldflags,131
friend_test,32
friend_getworldname,746
clan_getchatdisplayname,940
clan_getchatcount,1025
clan_getchatusername,725
clan_getchatuserworld,976
clan_getchatuserrank,277
clan_getchatminkick,264
clan_getchatrank,1080
ignore_count,67
ignore_getname,947
ignore_getnotes,379
ignore_test,342
clan_isself,506
