// Incomplete, bruteforced from opcodes-841-1179.txt and opcodes-839-724.txt
push_var,157
pop_var,195
push_varbit,57
pop_varbit,709
push_constant_string,1128
branch,286
branch_not,395
branch_equals,1103
branch_less_than,468
branch_greater_than,703
branch_less_than_or_equals,227
branch_greater_than_or_equals,53
push_int_local,655
pop_int_local,13
push_string_local,8
pop_string_local,776
join_string,775
pop_int_discard,1082
pop_string_discard,1036
gosub_with_params,732
define_array,83
push_array_int,817
pop_array_int,855
switch,225
push_long_local,1200
long_branch_not,598
cc_create,327
cc_delete,194
cc_deleteall,884
if_sendtofront,355
if_sendtoback,563
cc_sendtofront,11
cc_sendtoback,679
if_resume_pausebutton,274
cc_resume_pausebutton,751
baseidkit,4
basecolour,634
setobj,358
cc_setposition,681
cc_setsize,81
cc_sethide,382
cc_setaspect,649
cc_setnoclickthrough,244
cc_setscrollpos,1024
cc_setcolour,337
cc_setfill,672
cc_settrans,578
cc_setlinewid,876
cc_setgraphic,51
cc_set2dangle,417
cc_settiling,479
cc_setmodel,837
cc_setmodelangle,247
cc_setmodelanim,726
cc_setmodelorthog,481
cc_settext,419
cc_settextfont,1146
cc_settextalign,480
cc_settextshadow,116
cc_setoutline,604
cc_setgraphicshadow,256
cc_setvflip,1051
cc_sethflip,518
cc_setscrollsize,960
cc_setalpha,975
cc_setmodelzoom,781
cc_setlinedirection,174
cc_setmaxlines,582
cc_setparam_int,858
cc_setparam_string,683
cc_setretex,505
cc_setparam,786
cc_setclickmask,185
cc_setobject,648
cc_setnpchead,687
cc_setplayerhead_self,418
cc_setnpcmodel,142
cc_setobject_nonum,534
cc_setlinkfriend,1173
cc_setlinkfriendchat,77
cc_setlinkplayergroup,387
cc_setlinkactiveclanchannel,344
cc_resetlinkplayer,762
cc_setobject_wearcol,1069
cc_setplayermodel_self,322
cc_setobject_alwaysnum,996
cc_setop,497
cc_setdraggable,664
cc_setdragrenderbehaviour,381
cc_setdragdeadzone,23
cc_setdragdeadtime,761
cc_setopbase,625
cc_settargetverb,228
cc_clearops,566
cc_settargetcursors,537
cc_setopcursor,778
cc_setpausetext,799
cc_settargetopcursor,212
cc_setopkey,840
cc_setoptkey,743
cc_setopkeyrate,1163
cc_setopkeyignoreheld,874
cc_setoptkeyignoreheld,823
cc_setmouseovercursor,1032
cc_setonclick,815
cc_setonhold,302
cc_setonrelease,568
cc_setonmouseover,978
cc_setonmouseleave,1101
cc_setondrag,636
cc_setontargetleave,44
cc_setonvartransmit,180
cc_setontimer,535
cc_setonop,245
cc_setondragcomplete,804
cc_setonclickrepeat,218
cc_setonmouserepeat,375
cc_setoninvtransmit,56
cc_setonstattransmit,577
cc_setontargetenter,334
cc_setonmisctransmit,725
cc_setonvarctransmit,26
cc_setonvarcstrtransmit,1034
cc_clearscripthooks,361
if_setposition,943
if_setsize,538
if_sethide,549
if_setnoclickthrough,149
if_setscrollpos,592
if_setcolour,818
if_setfill,190
if_settrans,373
if_setgraphic,134
if_set2dangle,229
if_settiling,265
if_setmodel,19
if_setmodelangle,1112
if_setmodelanim,135
if_setmodelorthog,1078
if_setmodeltint,995
if_setmodellighting,259
if_settext,154
if_settextfont,1037
if_settextalign,1123
if_settextshadow,658
if_settextantimacro,851
if_setoutline,14
if_setgraphicshadow,607
if_setvflip,277
if_sethflip,796
if_setscrollsize,1079
if_setmodelzoom,1087
if_setlinedirection,824
if_setmaxlines,1170
if_setparam_int,412
if_setrecol,374
if_setretex,952
if_setclickmask,1183
if_setobject,246
if_setnpchead,1108
if_setnpcmodel,1176
if_setobject_nonum,895
if_setplayermodel_self,289
if_setobject_alwaysnum,1021
if_setop,316
if_setdraggable,595
if_setdragrenderbehaviour,693
if_setdragdeadzone,682
if_setdragdeadtime,637
if_setopbase,339
if_settargetverb,114
if_clearops,502
if_settargetcursors,427
if_setopcursor,1114
if_setpausetext,987
if_setopkey,175
if_setoptkey,1131
if_setopkeyrate,492
if_setmouseovercursor,515
if_setonclick,496
if_setonhold,579
if_setonrelease,1130
if_setonmouseover,901
if_setonmouseleave,764
if_setondrag,1029
if_setontargetleave,742
if_setonvartransmit,153
if_setontimer,936
if_setonop,353
if_setondragcomplete,69
if_setonclickrepeat,178
if_setonmouserepeat,914
if_setoninvtransmit,115
if_setonstattransmit,695
if_setontargetenter,1164
if_setonscrollwheel,622
if_setonchattransmit,821
if_setonkey,656
if_setonfriendtransmit,187
if_setonclantransmit,1085
if_setonmisctransmit,434
if_setondialogabort,863
if_setonsubchange,1002
if_setonstocktransmit,602
if_setoncamfinished,941
if_setonresize,610
if_setonvarctransmit,123
if_setonvarcstrtransmit,48
if_setonclansettingstransmit,239
if_setonclanchanneltransmit,691
if_setonvarclantransmit,1188
if_setonplayergrouptransmit,0
if_setonplayergroupvarptransmit,912
if_setoncameraupdatetransmit,1000
if_clearscripthooks,103
if_callonresize,1154
if_npc_setcustombodymodel,556
cc_npc_setcustomrecol,997
mes,1139
return,3
if_close,108
resume_countdialog,1044
resume_namedialog,526
resume_stringdialog,929
abort_dialog,1111
opplayer,201
resume_objdialog,87
cc_dragpickup,711
if_opensubclient,118
if_closesubclient,957
mes_typed,1110
setup_messagebox,917
resume_hsldialog,1076
resume_clanforumqfcdialog,288
sound_synth,747
sound_synth_volume,1129
sound_jingle_volume,937
sound_vorbis_volume,133
sound_speech_volume,1148
sound_vorbis_rate,329
email_validation_add_new_address,210
friend_setrank,1012
friend_setnotes,1077
friend_add,498
friend_del,955
ignore_add,451
ignore_del,147
ignore_setnotes,196
clan_kickuser,332
clan_joinchat,933
clan_leavechat,856
ignore_add_temp,1180
activeclanchannel_kickuser,85
chat_setfilter,911
chat_sendabusereport,489
chat_setmode,657
chat_sendpublic,78
chat_sendprivate,897
activechatphrase_prepare,1020
activechatphrase_send,161
activechatphrase_sendprivate,491
activechatphrase_setdynamicint,202
activechatphrase_setdynamicobj,1022
worldmap_3dview_enable,279
worldmap_3dview_disable,714
worldmap_3dview_setloddistance,894
worldmap_setcategorypriority,828
worldmap_3dview_settextfont,400
worldmap_disabletextsize,753
worldmap_disabletype,1080
worldmap_setzoom,176
worldmap_setmap,583
worldmap_jumptosourcecoord,158
worldmap_jumptodisplaycoord,1040
worldmap_setmap_coord_override,1156
worldmap_flashelementcategory,686
worldmap_disableelementcategory,1057
worldmap_closemap,324
setwindowmode,416
setdefaultwindowmode,890
openurl,5
spline_new,760
spline_addpoint,746
quit,495
openurl_nologin,1191
writeconsole,985
formatminimenu,590
setdefaultcursors,2
sethardcodedopcursors,803
notify_accountcreated,1133
notify_accountcreatestarted,603
openurl_shim,71
cam_moveto,428
cam_lookat,1125
cam_movealong,32
cam_reset,36
cam_forceangle,944
cam_inc_x,733
cam_dec_x,735
cam_inc_y,710
cam_dec_y,923
cam_followcoord,233
cam_smoothreset,267
cam2_setlookatmode,1181
cam2_setpositionmode,998
cam2_setdepthplanes,611
cam2_setfieldofview,573
cam2_setlookatpoint_point,608
cam2_setpositionpoint_point,406
cam2_getpositionpoint_point,1155
cam2_setlookatentity_player,744
cam2_setlookatentity_npc,296
cam2_setpositionentity_player,920
cam2_setpositionentity_npc,367
cam2_setfieldofviewscreen,1049
cam2_removealleffects,28
cam2_setlookatacceleration_axis,891
cam2_setpositionacceleration_axis,1185
cam2_setlookatmaxspeed_axis,797
cam2_setpositionmaxspeed_axis,587
cam2_setcollisionmode,738
cam2_setpositionpointcollision,1030
cam2_updateeffect_ztilt,1004
cam2_setlinearmovementmode,1135
cam2_setspringproperties,939
cam2_setpositionangularinterpolation,354
cam2_enable,885
cam2_setsnapdistances,1100
cam2_resetsnapdistances,839
cam2_setlookatorientation_vector,477
cam2_setlookatorientation_xrotation,1083
cam2_setlookatorientation_yrotation,404
cam2_setlookatorientation_xmovement,122
cam2_setlookatorientation_zmovement,209
cam2_setlookatorientation_maxdistanceclamping,372
login_continue,727
login_resetreply,294
resend_uid_passport_request,1052
create_availablerequest,1010
create_name_availablerequest,398
create_suggest_name_request,124
create_createrequest,386
create_connectrequest,651
create_step_reached,144
lobby_entergame,403
lobby_enterlobby,919
lobby_leavelobby,767
create_setunder13,572
login_cancel,126
lobby_enterlobby_social_network,182
detail_brightness,544
detail_removeroofs_option,1075
detail_grounddecor_on,852
detail_flickering_on,45
detail_spotshadows_on,130
detail_hardshadows,662
detail_lightdetail_high,475
detail_waterdetail_high,299
detail_fog_on,143
detail_antialiasing,307
detail_antialiasing_quality,692
detail_stereo,165
detail_soundvol,37
detail_musicvol,1035
detail_bgsoundvol,338
detail_removeroofs_option_override,720
detail_particles,1056
detail_antialiasing_default,635
detail_buildarea,745
detail_bloom,315
detail_customcursors,93
detail_idleanims,924
detail_groundblending,448
detail_toolkit,729
detail_toolkit_default,991
detail_cpuusage,92
detail_texturing,660
detail_maxscreensize,905
detail_speechvol,252
detail_loginvol,784
detail_loadingscreentype,889
detail_drawdistance,460
detail_skydetail,283
viewport_setfov,238
viewport_setzoom,204
viewport_clampfov,834
worldlist_sort,810
worldlist_pingworlds,928
force_interface_drag,734
cancel_interface_drag,698
targetmode_active,1198
targetmode_cancel,136
autosetup_sethigh,845
autosetup_setmedium,893
autosetup_setlow,820
autosetup_setmin,802
autosetup_setcustom,20
autosetup_blackflaglast,973
video_advert_force_remove,305
video_advert_allow_skip,934
bug_report,866
array_sort,838
cc_find,1124
if_find,248
cc_getx,287
cc_gety,567
cc_getwidth,111
cc_getheight,850
cc_gethide,89
cc_getlayer,696
cc_getparentlayer,859
cc_getcolour,953
cc_getscrollx,432
cc_getscrolly,508
cc_gettext,1182
cc_getmodelzoom,888
cc_getmodelangle_x,1018
cc_getmodelangle_z,731
cc_getmodelangle_y,633
cc_gettrans,694
cc_getmodelxof,576
cc_getmodelyof,674
cc_getgraphic,597
cc_param,440
cc_get2dangle,789
cc_getmodel,644
cc_getgraphicdimensions,882
cc_getfontmetrics,457
cc_getinvobject,399
cc_getinvcount,298
cc_getid,555
cc_gettargetmask,1175
cc_getop,145
cc_getopbase,370
if_getx,1061
if_gety,1196
if_getwidth,168
if_getheight,593
if_gethide,356
if_getlayer,1011
if_getparentlayer,990
if_getcolour,318
if_getscrollx,1070
if_getscrolly,1126
if_gettext,718
if_getscrollwidth,1132
if_getscrollheight,293
if_getmodelzoom,623
