// Cache 1524 is an incomplete capture and is not in caches.txt: OpenRS2 returns 404 for
// archive 12 group 4862, so it cannot be unpacked and this table cannot be verified.
if_setongamepadtrigger,435
if_setonfriendtransmit,242
if_setonclantransmit,546
if_setonmisctransmit,653
if_setondialogabort,243
if_setonsubchange,377
if_setonstocktransmit,841
if_setoncamfinished,1145
if_setonresize,630
if_setonvarctransmit,75
if_setonvarcstrtransmit,619
if_setonopt,1115
if_setonclansettingstransmit,376
if_setonclanchanneltransmit,759
if_setonvarclantransmit,736
if_setonplayergrouptransmit,870
if_setonplayergroupvarptransmit,1013
if_setoncameraupdatetransmit,772
if_clearscripthooks,343
if_callonresize,484
if_npc_setcustombodymodel,544
cc_npc_setcustombodymodel,286
if_npc_setcustomheadmodel,1011
cc_npc_setcustomheadmodel,37
if_npc_setcustomrecol,557
cc_npc_setcustomrecol,655
if_npc_setcustomretex,695
cc_npc_setcustomretex,996
mes,153
return,1060
if_close,250
resume_countdialog,848
resume_namedialog,326
resume_stringdialog,769
abort_dialog,1154
opplayer,177
resume_objdialog,545
if_dragpickup,23
cc_dragpickup,296
if_opensubclient,143
if_closesubclient,857
opplayert,651
mes_typed,722
setup_messagebox,792
resume_hsldialog,52
resume_clanforumqfcdialog,352
sound_synth,914
sound_song,103
sound_jingle,643
sound_synth_volume,19
sound_song_volume,391
sound_jingle_volume,505
sound_vorbis_volume,192
sound_speech_volume,642
sound_synth_rate,81
sound_vorbis_rate,13
email_validation_submit_code,575
email_validation_change_address,290
email_validation_add_new_address,431
friend_setrank,757
friend_setnotes,433
friend_add,315
friend_del,744
ignore_add,705
ignore_del,127
ignore_setnotes,636
clan_kickuser,465
clan_joinchat,1191
clan_leavechat,964
ignore_add_temp,616
affinedclansettings_addbanned_fromchannel,434
affinedclansettings_setmuted_fromchannel,178
activeclanchannel_kickuser,1042
oc_findrestart,1036
chat_setfilter,843
chat_sendabusereport,436
chat_setmode,25
chat_sendpublic,694
chat_sendprivate,507
activechatphrase_prepare,525
activechatphrase_send,565
activechatphrase_sendprivate,1067
activechatphrase_setdynamicint,958
activechatphrase_setdynamicobj,934
chatphrase_findrestart,337
worldmap_3dview_enable,195
worldmap_3dview_disable,220
worldmap_3dview_setloddistance,1195
worldmap_setcategorypriority,641
worldmap_3dview_settextfont,134
worldmap_disabletextsize,664
worldmap_disabletype,215
worldmap_3dview_setlighting,308
worldmap_setzoom,634
worldmap_setmap,468
worldmap_jumptosourcecoord,1173
worldmap_jumptodisplaycoord,444
worldmap_setmap_coord,452
worldmap_flashelement,46
worldmap_setmap_coord_override,1188
worldmap_disableelements,340
worldmap_flashelementcategory,1090
worldmap_disableelementcategory,226
worldmap_disableelement,979
worldmap_closemap,288
fullscreen_exit,988
setwindowmode,540
setdefaultwindowmode,336
openurl,607
urlencode,761
spline_new,675
spline_addpoint,978
quit,255
openurl_nologin,307
