// Cache 1524 is an incomplete capture and is not in caches.txt: OpenRS2 returns 404 for
// archive 12 group 4862, so it cannot be unpacked and this table cannot be verified.
player_group_banned_count,582
player_group_banned_get_displayname,549
player_group_get_displayname,667
player_group_get_max_size,49
player_group_get_create_mins_since_epoch,504
player_group_get_create_seconds_to_now,511
player_group_is_members_only,385
player_group_get_overall_status,962
player_group_get_owner_slot,989
ttv_login,591
ttv_login_getstate,1035
ttv_logout,181
ttv_library_getstate,17
ttv_library_request,553
ttv_stream_getstate,944
ttv_stream_start,1022
ttv_stream_stop,816
ttv_stream_settitle,921
ttv_stream_getviewers,216
ttv_stream_getquality,523
ttv_stream_setsmoothresize,1030
ttv_chat_getstate,852
ttv_chat_sendmessage,584
ttv_webcam_getstate,1069
ttv_webcam_supported,334
ttv_webcam_getdevice_count,448
ttv_webcam_getdevice_byindex,893
ttv_webcam_getdevice_byuniquename,357
ttv_webcam_getcap_count,583
ttv_webcam_getcap_byindex,530
ttv_webcam_getcap_byuniqueid,1121
ttv_webcam_start,926
ttv_webcam_stop,1136
ttv_webcam_flip,1008
ttv_livestreams_update,919
ttv_livestreams_getstream_start,920
ttv_livestreams_getstream_next,292
ttv_setdebugoutput,445
ttv_hasprerequisites,568
os_ismac,799
os_iswindows,618
os_islinux,123
os_physicalmemorysize,617
getgridcoordrelativetocamera,117
movescripted,44
