// Incomplete, bruteforced from opcodes-799-1515.txt and opcodes-800-572.txt
cam_lookat,571
cam_movealong,899
cam_reset,584
cam_forceangle,977
cam_inc_x,136
cam_dec_x,1040
cam_inc_y,958
cam_dec_y,903
cam_followcoord,1102
cam_smoothreset,134
cam2_setlookatmode,793
cam2_setpositionmode,240
cam2_setdepthplanes,501
cam2_setfieldofview,189
cam2_setlookatpoint_point,95
cam2_setpositionpoint_point,681
cam2_setlookatentity_player,158
cam2_setlookatentity_npc,72
cam2_setpositionentity_player,509
cam2_setpositionentity_npc,82
cam2_setfieldofviewscreen,532
cam2_removealleffects,402
cam2_setlookatacceleration_axis,88
cam2_setpositionacceleration_axis,952
cam2_setlookatmaxspeed_axis,757
cam2_setpositionmaxspeed_axis,594
cam2_setcollisionmode,634
cam2_updateeffect_ztilt,981
cam2_setlinearmovementmode,814
cam2_setspringproperties,155
cam2_setpositionangularinterpolation,1128
cam2_enable,1007
cam2_setsnapdistances,98
cam2_resetsnapdistances,233
login_continue,701
login_resetreply,328
resend_uid_passport_request,266
create_availablerequest,429
create_name_availablerequest,1115
create_suggest_name_request,886
create_createrequest,360
create_connectrequest,197
create_step_reached,124
lobby_entergame,908
lobby_enterlobby,448
lobby_leavelobby,145
create_setunder13,1035
login_cancel,1001
lobby_enterlobby_social_network,86
detail_brightness,543
detail_removeroofs_option,964
detail_grounddecor_on,965
detail_flickering_on,494
detail_spotshadows_on,997
detail_hardshadows,760
detail_lightdetail_high,599
detail_waterdetail_high,1050
detail_fog_on,592
detail_antialiasing,356
detail_antialiasing_quality,534
detail_stereo,373
detail_soundvol,94
detail_musicvol,285
detail_bgsoundvol,1142
detail_particles,1109
detail_antialiasing_default,888
detail_buildarea,316
detail_bloom,732
detail_customcursors,613
detail_idleanims,56
detail_groundblending,345
detail_toolkit,85
detail_toolkit_default,31
detail_cpuusage,185
detail_texturing,27
detail_maxscreensize,633
detail_speechvol,496
detail_loginvol,39
detail_loadingscreentype,1104
detail_drawdistance,248
detail_skydetail,648
viewport_setfov,310
viewport_setzoom,590
viewport_clampfov,368
worldlist_sort,462
worldlist_pingworlds,337
force_interface_drag,302
cancel_interface_drag,538
targetmode_active,746
targetmode_cancel,438
autosetup_sethigh,227
autosetup_setmedium,188
autosetup_setlow,1038
autosetup_setmin,58
autosetup_setcustom,511
autosetup_blackflaglast,699
video_advert_force_remove,441
video_advert_allow_skip,407
boost_advert_launch,220
bug_report,401
array_sort,213
cc_find,703
if_find,536
cc_getx,17
cc_gety,21
cc_getwidth,885
cc_getheight,756
cc_gethide,69
cc_getlayer,1099
cc_getparentlayer,1002
cc_getcolour,684
cc_getscrollx,836
cc_getscrolly,604
cc_gettext,726
cc_getmodelzoom,641
cc_getmodelangle_x,816
cc_getmodelangle_z,796
cc_getmodelangle_y,1000
cc_gettrans,66
cc_getmodelxof,502
cc_getmodelyof,175
cc_getgraphic,1130
cc_param,1117
cc_get2dangle,125
cc_getgraphicdimensions,855
cc_getfontmetrics,676
cc_getinvobject,1058
cc_getinvcount,14
cc_getid,292
cc_gettargetmask,5
cc_getop,45
cc_getopbase,736
if_getx,324
if_gety,657
if_getwidth,1025
if_getheight,880
if_gethide,782
if_getlayer,13
if_getparentlayer,773
if_getcolour,863
if_getscrollx,541
if_getscrolly,388
if_gettext,202
if_getscrollwidth,208
if_getscrollheight,150
if_getmodelzoom,826
if_getmodelangle_x,257
if_getmodelangle_z,1063
if_getmodelangle_y,533
if_gettrans,287
if_getmodelxof,759
if_getmodelyof,129
if_getgraphic,416
if_get2dangle,270
if_getmodel,844
if_getgraphicdimensions,640
if_getfontmetrics,989
if_getinvobject,174
if_getinvcount,335
if_hassub,567
if_getnextsubid,1018
if_hassubmodal,119
if_hassuboverlay,116
if_gettargetmask,993
if_getop,770
if_getopbase,1069
if_getcharindexatpos,1106
if_getcharposatindex,282
clientclock,433
inv_getobj,286
inv_getnum,409
inv_total,518
inv_totalcat,482
inv_size,431
inv_stockbase,840
stat,50
stat_base,755
stat_visible_xp,1093
stat_base_actual,414
stat_visible_xp_actual,468
coord,922
coordx,824
coordy,1054
coordz,149
coordx_fine,1094
coordy_fine,1072
coordz_fine,265
movecoord_fine,253
coord_gridtofine,882
map_members,948
map_preload,255
map_loadedpercent,652
invother_getobj,754
invother_getnum,483
staffmodlevel,585
reboottimer,10
map_world,680
runenergy_visible,787
runweight_visible,603
playermod,784
playermodlevel,400
playermember,91
