// Cache 2007 is German and is not in caches.txt, so nothing unpacks with this table.
// Kept for future reference; build 810 is still covered by 2004.
cam_movealong,833
cam_reset,325
cam_forceangle,618
cam_inc_x,143
cam_dec_x,467
cam_inc_y,1158
cam_dec_y,953
cam_followcoord,952
cam_smoothreset,582
cam2_setlookatmode,382
cam2_setpositionmode,134
cam2_setdepthplanes,335
cam2_setfieldofview,1121
cam2_setlookatpoint_point,758
cam2_setpositionpoint_point,77
cam2_setlookatentity_player,88
cam2_setlookatentity_npc,641
cam2_setpositionentity_player,765
cam2_setpositionentity_npc,679
cam2_setfieldofviewscreen,92
cam2_removealleffects,606
cam2_setlookatacceleration_axis,104
cam2_setpositionacceleration_axis,855
cam2_setlookatmaxspeed_axis,996
cam2_setpositionmaxspeed_axis,399
cam2_setcollisionmode,32
cam2_updateeffect_ztilt,774
cam2_setlinearmovementmode,556
cam2_setspringproperties,340
cam2_setpositionangularinterpolation,576
cam2_enable,946
cam2_setsnapdistances,106
cam2_resetsnapdistances,598
login_continue,462
login_resetreply,484
resend_uid_passport_request,1109
create_availablerequest,1081
create_name_availablerequest,178
create_suggest_name_request,672
create_createrequest,750
create_connectrequest,682
create_step_reached,247
lobby_entergame,343
lobby_leavelobby,245
create_setunder13,263
login_cancel,289
detail_brightness,1101
detail_removeroofs_option,514
detail_grounddecor_on,842
detail_flickering_on,895
detail_spotshadows_on,644
detail_hardshadows,1016
detail_lightdetail_high,288
detail_waterdetail_high,1112
detail_fog_on,1102
detail_antialiasing,831
detail_antialiasing_quality,466
detail_stereo,120
detail_soundvol,666
detail_musicvol,450
detail_bgsoundvol,141
detail_particles,798
detail_antialiasing_default,1010
detail_buildarea,577
detail_bloom,983
detail_customcursors,180
detail_idleanims,757
detail_groundblending,96
detail_toolkit,129
detail_toolkit_default,518
detail_cpuusage,1149
detail_texturing,429
detail_maxscreensize,93
detail_speechvol,892
detail_loginvol,583
detail_loadingscreentype,485
detail_drawdistance,872
detail_skydetail,1048
viewport_setfov,264
viewport_setzoom,1013
viewport_clampfov,849
worldlist_sort,817
worldlist_pingworlds,172
force_interface_drag,919
cancel_interface_drag,874
targetmode_active,238
targetmode_cancel,196
autosetup_sethigh,1119
autosetup_setmedium,573
autosetup_setlow,479
autosetup_setmin,189
autosetup_setcustom,103
autosetup_blackflaglast,923
video_advert_force_remove,727
video_advert_allow_skip,589
bug_report,911
array_sort,684
cc_find,526
if_find,170
cc_getx,130
cc_gety,410
cc_getwidth,814
cc_getheight,1126
cc_gethide,802
cc_getlayer,539
cc_getparentlayer,6
cc_getcolour,761
cc_getscrollx,551
cc_getscrolly,281
cc_gettext,562
cc_getmodelzoom,322
cc_getmodelangle_x,748
cc_getmodelangle_z,878
cc_getmodelangle_y,359
cc_gettrans,381
cc_getmodelxof,250
cc_getmodelyof,597
cc_getgraphic,363
cc_param,1143
cc_get2dangle,213
cc_getgraphicdimensions,907
cc_getfontmetrics,200
cc_getinvobject,1022
cc_getinvcount,599
cc_getid,1008
cc_gettargetmask,585
cc_getop,888
cc_getopbase,1001
if_getx,336
if_gety,816
if_getwidth,236
if_getheight,386
if_gethide,1052
if_getlayer,760
if_getparentlayer,636
if_getcolour,974
if_getscrollx,891
if_getscrolly,893
if_gettext,826
if_getscrollwidth,581
if_getscrollheight,621
if_getmodelzoom,1116
if_getmodelangle_x,110
if_getmodelangle_z,528
if_getmodelangle_y,626
if_gettrans,344
if_getmodelxof,908
if_getmodelyof,730
if_getgraphic,138
if_get2dangle,511
if_getmodel,1056
if_getgraphicdimensions,1043
if_getfontmetrics,242
if_getinvobject,799
if_getinvcount,1133
if_hassub,771
if_getnextsubid,595
if_hassubmodal,3
if_hassuboverlay,472
if_gettargetmask,1142
if_getop,469
if_getopbase,91
if_getcharindexatpos,83
if_getcharposatindex,1005
clientclock,420
inv_getobj,463
inv_getnum,592
inv_total,876
inv_totalcat,505
inv_size,1103
inv_stockbase,767
stat,958
stat_base,1033
stat_visible_xp,502
stat_base_actual,45
stat_visible_xp_actual,898
coord,279
coordx,82
coordy,890
coordz,214
coordx_fine,1089
coordy_fine,377
coordz_fine,1049
movecoord_fine,789
coord_gridtofine,101
map_members,857
map_preload,1074
map_loadedpercent,646
invother_getobj,552
invother_getnum,605
staffmodlevel,1036
reboottimer,736
map_world,856
runenergy_visible,270
runweight_visible,426
playermod,10
playermodlevel,280
playermember,785
comlevel_active,168
gender,355
map_quickchat,277
inv_freespace,21
inv_totalparam,296
map_lang,230
movecoord,252
applet_hasfocus,1050
frombilling,301
get_mousex,157
get_mousey,628
get_active_minimenu_entry,402
get_minimenu_length,262
npc_find_active_minimenu_entry,163
get_currentcursor,541
get_mousebuttons,44
get_minimenu_target,657
enum_string,405
enum,993
enum_hasoutput,1073
enum_getoutputcount,133
enum_getreversecount,567
enum_getreverseindex,1038
friend_count,1026
friend_getname,144
friend_getworld,889
friend_getrank,282
friend_getnotes,278
friend_getworldflags,823
friend_test,612
friend_getworldname,258
clan_getchatdisplayname,794
clan_getchatcount,845
clan_getchatusername,1132
clan_getchatuserworld,669
clan_getchatuserrank,333
clan_getchatminkick,283
clan_getchatrank,645
ignore_count,471
ignore_getname,112
ignore_getnotes,140
ignore_test,331
clan_isself,630
clan_getchatownername,1062
clan_getchatuserworldname,775
friend_platform,318
friend_getslotfromname,737
playercountry,16
clan_getchatusername_unfiltered,781
ignore_getname_unfiltered,89
friend_is_referrer,435
friend_is_referred,880
activeclansettings_find_listened,482
activeclansettings_find_affined,725
activeclansettings_getclanname,622
activeclansettings_getallowunaffined,710
activeclansettings_getranktalk,1065
activeclansettings_getrankkick,926
activeclansettings_getaffinedcount,480
activeclansettings_getaffineddisplayname,0
activeclansettings_getaffinedrank,722
activeclansettings_getbannedcount,1105
activeclansettings_getbanneddisplayname,1090
activeclansettings_getcurrentowner_slot,119
activeclansettings_getaffinedslot,66
activeclansettings_getsortedaffinedslot,299
activeclanchannel_find_listened,510
activeclanchannel_find_affined,491
activeclanchannel_getclanname,940
activeclanchannel_getrankkick,683
activeclanchannel_getranktalk,1104
activeclanchannel_getusercount,848
activeclanchannel_getuserdisplayname,339
activeclanchannel_getuserrank,251
activeclanchannel_getuserworld,476
activeclanchannel_getuserslot,341
activeclanchannel_getsorteduserslot,821
clanprofile_find,136
stockmarket_getoffertype,1003
stockmarket_getofferitem,182
stockmarket_getofferprice,1080
stockmarket_getoffercount,274
stockmarket_getoffercompletedcount,39
stockmarket_getoffercompletedgold,824
stockmarket_isofferempty,803
stockmarket_isofferfinished,773
stockmarket_isofferadding,537
add,1025
sub,1018
multiply,154
divide,820
random,653
randominc,554
interpolate,542
setbit,1111
clearbit,327
testbit,921
modulo,1032
pow,287
invpow,95
and,937
or,521
min,614
max,41
scale,717
random_sound_pitch,305
hsvtorgb,504
append_num,48
append,806
append_signnum,886
get_col_tag,217
lowercase,523
fromdate,852
tostring,304
compare,1071
paraheight,568
parawidth,1131
text_switch,461
escape,255
append_char,27
char_isprintable,1031
char_isalphanumeric,109
char_isnumeric,500
string_length,403
substring,448
removetags,924
string_indexof_char,1134
string_indexof_string,194
char_tolowercase,293
char_touppercase,1017
tostring_localised,674
stringwidth,303
string_distance,571
format_datetime_from_minutes,1009
clanforumqfc_tostring,323
oc_name,1110
oc_iop,1148
oc_cost,1154
oc_stackable,227
oc_category,438
oc_hasvarobj,909
oc_cert,330
oc_uncert,1152
oc_wearpos,650
oc_wearpos2,187
oc_members,449
oc_param,623
oc_icursor,1130
oc_find,483
oc_findnext,531
oc_minimenu_colour,743
nc_param,285
struct_param,175
seqlength,815
bas_getanim_ready,1064
chat_gethistory_byuid,1084
chat_getfilter_private,216
chat_playername,191
chat_getfilter_trade,84
chat_getnextuid,354
chat_getprevuid,321
chat_playername_unfiltered,334
chatcat_getdesc,244
chatcat_getsubcatcount,797
chatcat_getsubcat,155
chatcat_getphrasecount,517
chatcat_getphrase,1129
chatphrase_gettext,1020
chatphrase_getautoresponsecount,458
chatphrase_getautoresponse,365
chatcat_getsubcatshortcut,961
chatphrase_getdynamiccommandcount,897
chatphrase_getdynamiccommand,132
chatphrase_getdynamiccommandparam_enum,538
chatphrase_find,935
chatphrase_findnext,728
keyheld_alt,221
keyheld_ctrl,532
keyheld_shift,1092
worldmap_3dview_active,1098
worldmap_3dview_getcoordfine,5
worldmap_getmap,390
worldmap_getmapname,4
worldmap_getsize,300
worldmap_getdisplayposition,1021
worldmap_getconfigorigin,53
worldmap_getconfigbounds,954
worldmap_listelement_start,488
worldmap_listelement_next,1027
worldmap_coordinmap,734
worldmap_getconfigzoom,76
worldmap_isloaded,454
worldmap_getdisplaycoord,456
worldmap_getdisableelements,714
worldmap_getcurrentmap,1037
fullscreen_enter,685
fullscreen_modecount,145
fullscreen_getmode,527
fullscreen_lastmode,1060
getwindowmode,419
getdefaultwindowmode,698
spline_length,661
minimenuopen,113
getclipboard,850
java_version_supported,99
has_html5,224
cam_getangle_xa,791
cam_getangle_ya,383
cam2_getcontrolmode,801
cam2_getlookatmode,401
cam2_getpositionmode,412
cam2_getpositionentity_angleoffsets,17
cam2_addeffect_shake,205
cam2_addeffect_ztilt,225
cam2_isenabled,389
login_hoptime,844
login_ban_duration,1161
create_reply,875
create_email_validate_reply,409
create_name_validate_reply,497
create_suggest_name_reply,655
create_connect_reply,570
login_disallowresult,863
lobby_entergamereply,1107
lobby_enterlobbyreply,634
has_signonkey,481
userflowflags,914
create_under13,941
login_last_transfer_reply,572
login_inprogress,635
login_queue_position,11
login_disallowtrigger,1053
login_accountappeal,118
detailget_brightness,380
detailget_removeroofs_option,220
detailget_grounddecor_on,1004
detailget_flickering_on,807
detailget_spotshadows_on,675
detailget_hardshadows,199
detailget_lightdetail_high,475
detailget_waterdetail_high,162
detailget_fog_on,495
detailget_antialiasing,818
detailget_antialiasing_quality,307
detailget_stereo,379
detailget_soundvol,208
detailget_musicvol,1100
detailget_bgsoundvol,812
detailget_particles,1125
detailget_antialiasing_default,1028
detailget_bloom,418
detailget_idleanims,50
detailget_groundblending,493
detailget_toolkit,395
detailget_toolkit_default,169
detailget_cpuusage,22
detailget_texturing,1159
detailget_maxscreensize,559
detailget_speechvol,939
detailget_loginvol,31
detailget_safemode,59
detailget_canchoosesafemode,261
detailget_chosesafemode,590
detailget_skydetail,902
detailget_drawdistance,700
viewport_geteffectivesize,972
viewport_getzoom,396
date_minutes,841
date_runeday,1061
date_runeday_fromdate,64
date_runeday_todate,723
date_minutes_fromruneday,413
worldlist_fetch,772
worldlist_start,697
worldlist_next,226
worldlist_switch,949
worldlist_specific,904
worldlist_specific_thisworld,40
mec_text,843
mec_sprite,241
mec_category,421
mec_param,1045
userdetail_quickchat,853
userdetail_lobby_membership,398
userdetail_lobby_unreadmessages,185
userdetail_lobby_lastloginday,158
userdetail_lobby_emailstatus,167
userdetail_lobby_ccexpiry,387
userdetail_lobby_graceexpiry,1146
userdetail_dob,72
userdetail_lobby_playage,1068
autosetup_dosetup,968
autosetup_getlevel,360
video_advert_play,870
video_advert_has_finished,416
detailcanmod_grounddecor,524
detailcanmod_spotshadows,984
detailcanmod_hardshadows,286
detailcanmod_antialiasing,955
detailcanmod_antialiasing_quality,478
detailcanmod_particles,275
detailcanmod_buildarea,707
detailcanmod_bloom,881
detailcanmod_groundblending,1096
detailcanmod_texturing,411
detailcanmod_maxscreensize,431
detailcanmod_toolkit_default,965
detailcanmod_skydetail,668
detailcanset_antialiasing_quality,94
detailcanset_particles,915
detailcanset_buildarea,348
detailcanset_maxscreensize,20
detailcanset_toolkit_default,55
detailcanset_skydetail,9
get_npc_vislevel,33
get_entity_screen_position,825
if_get_gamescreen,560
if_set_gamescreen_enabled,637
get_entity_overlay_height,13
get_npc_stat,384
is_targeted_entity,587
npc_type,201
get_loc_screen_position,777
