// Incomplete, bruteforced from opcodes-896-542.txt and opcodes-910-1730.txt and opcodes-883-596.txt
push_var,517
pop_var,618
push_varbit,626
pop_varbit,151
push_constant_string,1303
branch,959
branch_not,1172
branch_equals,169
branch_less_than,1055
branch_greater_than,717
branch_less_than_or_equals,254
branch_greater_than_or_equals,530
push_int_local,276
pop_int_local,1226
push_string_local,550
pop_string_local,797
join_string,296
pop_int_discard,1301
pop_string_discard,181
gosub_with_params,187
define_array,1317
push_array_int,595
pop_array_int,821
switch,165
push_long_local,202
long_branch_not,1255
cc_create,1041
cc_delete,957
cc_deleteall,823
if_sendtofront,238
if_sendtoback,478
cc_sendtofront,1354
cc_sendtoback,1175
if_resume_pausebutton,294
cc_resume_pausebutton,586
baseidkit,1140
basecolour,1105
setobj,614
cc_setposition,879
cc_setsize,1365
cc_sethide,212
cc_setaspect,147
cc_setnoclickthrough,63
cc_setscrollpos,899
cc_setcolour,486
cc_setfill,829
cc_settrans,247
cc_setlinewid,459
cc_setgraphic,625
cc_set2dangle,555
cc_settiling,759
cc_setmodel,1128
cc_setmodelangle,805
cc_setmodelanim,19
cc_settext,103
cc_settextfont,905
cc_settextalign,1078
cc_settextshadow,9
cc_setoutline,950
cc_setgraphicshadow,851
cc_setvflip,407
cc_sethflip,1154
cc_setscrollsize,501
cc_setalpha,766
cc_setmodelzoom,1168
cc_setlinedirection,708
cc_setmaxlines,723
cc_setparam_int,744
cc_setparam_string,1174
cc_setretex,918
cc_setfontmono,984
cc_setparam,814
cc_setclickmask,542
cc_setheld,874
cc_setobject,1209
cc_setnpchead,789
cc_setplayerhead_self,159
cc_setnpcmodel,1132
cc_setobject_nonum,29
cc_setlinkfriend,1192
cc_setlinkfriendchat,38
cc_setlinkplayergroup,461
cc_setlinkactiveclanchannel,249
cc_resetlinkplayer,598
cc_setobject_wearcol,1063
cc_setplayermodel_self,1227
cc_setobject_alwaysnum,1057
cc_setop,331
cc_setdraggable,1121
cc_setdragrenderbehaviour,308
cc_setdragdeadzone,661
cc_setdragdeadtime,514
cc_setopbase,318
cc_settargetverb,863
cc_clearops,1082
cc_settargetcursors,770
cc_setopcursor,205
cc_setpausetext,1156
cc_settargetopcursor,644
cc_setopkey,1348
cc_setoptkey,127
cc_setopkeyrate,1362
cc_setopkeyignoreheld,421
cc_setoptkeyignoreheld,606
cc_setmouseovercursor,178
cc_setonclick,896
cc_setonhold,171
cc_setonrelease,455
cc_setonmouseover,305
cc_setonmouseleave,603
cc_setondrag,521
cc_setontargetleave,924
cc_setonvartransmit,195
cc_setontimer,1097
cc_setonop,602
cc_setondragcomplete,279
cc_setonclickrepeat,208
cc_setonmouserepeat,1122
cc_setoninvtransmit,976
cc_setonstattransmit,430
cc_setontargetenter,845
cc_setonscrollwheel,900
cc_setonmisctransmit,516
cc_setonvarctransmit,148
cc_setonvarcstrtransmit,88
cc_clearscripthooks,687
if_setposition,726
if_setsize,724
if_sethide,1327
if_setnoclickthrough,1150
if_setscrollpos,174
if_setcolour,395
if_setfill,1265
if_settrans,149
if_setgraphic,969
if_set2dangle,634
if_settiling,554
if_setmodel,827
if_setmodelangle,1288
if_setmodelanim,90
if_setmodelorthog,1257
if_setmodeltint,725
if_setmodellighting,1052
if_resetmodellighting,2
if_settext,1069
if_settextfont,204
if_settextalign,1245
if_settextshadow,988
if_settextantimacro,1112
if_setoutline,1224
if_setgraphicshadow,69
if_setvflip,377
if_sethflip,718
if_setscrollsize,891
if_setmodelzoom,1211
if_setlinedirection,11
if_setmaxlines,152
if_setparam_int,1276
if_setparam_string,39
if_setrecol,610
if_setretex,1271
if_setclickmask,479
if_setobject,1272
if_setnpchead,1286
if_setnpcmodel,1162
if_setobject_nonum,862
if_setplayermodel_self,210
if_setobject_alwaysnum,419
if_setop,816
if_setdraggable,955
if_setdragrenderbehaviour,543
if_setopbase,237
if_settargetverb,1017
if_clearops,679
if_settargetcursors,633
if_setopcursor,1073
if_setpausetext,139
if_setopkey,1236
if_setoptkey,1214
if_setopkeyrate,66
if_setopkeyignoreheld,520
if_setmouseovercursor,745
if_setonclick,1087
if_setonhold,1183
if_setonrelease,342
if_setonmouseover,564
if_setonmouseleave,483
if_setondrag,1167
if_setontargetleave,612
if_setonvartransmit,994
