// Incomplete, bruteforced from opcodes-902-500.txt and opcodes-910-1730.txt and opcodes-883-596.txt
push_var,1331
pop_var,937
push_varbit,29
pop_varbit,225
push_constant_string,871
branch,624
branch_not,626
branch_equals,105
branch_less_than,425
branch_greater_than,733
branch_less_than_or_equals,1078
branch_greater_than_or_equals,347
push_int_local,8
pop_int_local,192
push_string_local,663
pop_string_local,588
join_string,1263
pop_int_discard,134
pop_string_discard,787
gosub_with_params,16
define_array,644
push_array_int,30
pop_array_int,509
switch,587
push_long_local,602
long_branch_not,823
cc_create,1169
cc_delete,751
cc_deleteall,1132
if_sendtofront,1290
if_sendtoback,348
cc_sendtofront,397
cc_sendtoback,299
if_resume_pausebutton,385
cc_resume_pausebutton,1131
baseidkit,963
basecolour,25
setobj,232
cc_setposition,390
cc_setsize,526
cc_sethide,272
cc_setaspect,532
cc_setnoclickthrough,904
cc_setscrollpos,1243
cc_setcolour,986
cc_setfill,250
cc_settrans,1
cc_setlinewid,261
cc_setgraphic,893
cc_set2dangle,794
cc_settiling,268
cc_setmodel,1251
cc_setmodelangle,721
cc_setmodelanim,1350
cc_settext,808
cc_settextfont,1027
cc_settextalign,1301
cc_settextshadow,481
cc_setoutline,1249
cc_setgraphicshadow,531
cc_setvflip,1360
cc_sethflip,213
cc_setscrollsize,829
cc_setalpha,1365
cc_setmodelzoom,1361
cc_setlinedirection,308
cc_setmaxlines,612
cc_setparam_int,892
cc_setparam_string,1379
cc_setretex,259
cc_setfontmono,177
cc_setparam,1073
cc_setclickmask,392
cc_setheld,1004
cc_setobject,1032
cc_setnpchead,718
cc_setplayerhead_self,745
cc_setnpcmodel,706
cc_setobject_nonum,439
cc_setlinkfriend,1329
cc_setlinkfriendchat,1015
cc_setlinkplayergroup,700
cc_setlinkactiveclanchannel,592
cc_resetlinkplayer,844
cc_setobject_wearcol,380
cc_setplayermodel_self,467
cc_setobject_alwaysnum,923
cc_setop,1352
cc_setdraggable,94
cc_setdragrenderbehaviour,926
cc_setdragdeadzone,568
cc_setdragdeadtime,883
cc_setopbase,530
cc_settargetverb,18
cc_clearops,1174
cc_settargetcursors,12
cc_setopcursor,708
cc_setpausetext,1179
cc_settargetopcursor,720
cc_setopkey,645
cc_setoptkey,1375
cc_setopkeyrate,1166
cc_setopkeyignoreheld,384
cc_setoptkeyignoreheld,1069
cc_setmouseovercursor,1355
cc_setonclick,406
cc_setonhold,577
cc_setonrelease,437
cc_setonmouseover,598
cc_setonmouseleave,928
cc_setondrag,423
cc_setontargetleave,109
cc_setonvartransmit,446
cc_setontimer,743
cc_setonop,848
cc_setondragcomplete,825
cc_setonclickrepeat,1313
cc_setonmouserepeat,655
cc_setoninvtransmit,861
cc_setonstattransmit,85
cc_setontargetenter,436
cc_setonscrollwheel,339
cc_setonmisctransmit,755
cc_setonresize,145
cc_setonvarctransmit,350
cc_setonvarcstrtransmit,1305
cc_clearscripthooks,313
if_setposition,774
if_setsize,43
if_sethide,458
if_setnoclickthrough,1256
if_setscrollpos,73
if_setcolour,786
if_setfill,1274
if_settrans,864
if_setgraphic,1279
if_set2dangle,1113
if_settiling,1038
if_setmodel,760
if_setmodelangle,934
if_setmodelanim,1056
if_setmodelorthog,681
if_setmodeltint,515
if_setmodellighting,220
if_resetmodellighting,620
if_settext,113
if_settextfont,121
if_settextalign,964
if_settextshadow,895
if_settextantimacro,1299
if_setoutline,1310
if_setgraphicshadow,993
if_setvflip,119
if_sethflip,896
if_setscrollsize,851
if_setmodelzoom,1145
if_setlinedirection,877
if_setmaxlines,78
if_setparam_int,265
if_setparam_string,1189
if_setrecol,1339
if_setretex,155
if_setclickmask,730
if_setobject,1156
if_setnpchead,662
if_setnpcmodel,920
if_setobject_nonum,54
if_setplayermodel_self,890
if_setobject_alwaysnum,179
if_setop,585
if_setdraggable,1149
if_setdragrenderbehaviour,1320
if_setopbase,944
if_settargetverb,903
if_clearops,463
if_settargetcursors,1091
if_setopcursor,1206
if_setpausetext,1031
if_setopkey,197
if_setoptkey,728
if_setopkeyrate,480
if_setopkeyignoreheld,1133
if_setmouseovercursor,1349
if_setonclick,360
if_setonhold,962
if_setonrelease,918
if_setonmouseover,522
if_setonmouseleave,909
if_setondrag,221
if_setontargetleave,683
if_setonvartransmit,604
if_setontimer,1185
if_setonop,544
if_setondragcomplete,151
if_setonclickrepeat,289
if_setonmouserepeat,524
if_setoninvtransmit,11
if_setonstattransmit,765
if_setontargetenter,248
if_setonscrollwheel,53
if_setonchattransmit,1217
if_setonkey,1215
if_setongamepadbutton,656
if_setongamepadbuttonheld,464
if_setongamepadaxis,773
if_setongamepadtrigger,331
if_setonfriendtransmit,1322
if_setonclantransmit,48
if_setonmisctransmit,500
if_setondialogabort,643
if_setonsubchange,343
if_setonstocktransmit,649
if_setoncamfinished,589
if_setonresize,1266
if_setonvarctransmit,462
if_setonvarcstrtransmit,599
if_setonclansettingstransmit,680
if_setonclanchanneltransmit,444
if_setonvarclantransmit,371
if_setonplayergrouptransmit,952
if_setonplayergroupvarptransmit,725
if_setoncameraupdatetransmit,519
if_clearscripthooks,1291
if_callonresize,1023
if_npc_setcustombodymodel,309
if_npc_setcustomrecol,727
cc_npc_setcustomrecol,578
mes,1230
return,1323
if_close,172
resume_countdialog,685
resume_namedialog,974
resume_stringdialog,548
abort_dialog,1324
opplayer,1000
resume_objdialog,1236
cc_dragpickup,443
if_opensubclient,264
if_closesubclient,426
mes_typed,704
setup_messagebox,69
