// Incomplete, bruteforced from opcodes-891-1239.txt and opcodes-910-1730.txt and opcodes-883-596.txt
worldmap_disabletype,850
worldmap_setzoom,816
worldmap_setmap,1277
worldmap_jumptosourcecoord,174
worldmap_jumptodisplaycoord,593
worldmap_setmap_coord_override,480
worldmap_flashelementcategory,9
worldmap_disableelementcategory,609
worldmap_closemap,1269
setwindowmode,759
setdefaultwindowmode,296
openurl,20
urlencode,474
spline_new,788
spline_addpoint,1255
quit,969
openurl_nologin,974
formatminimenu,819
setdefaultcursors,248
sethardcodedopcursors,242
notify_accountcreated,294
notify_accountcreatestarted,612
openurl_shim,934
cam_moveto,61
cam_lookat,845
cam_movealong,1212
cam_reset,436
cam_forceangle,1226
cam_inc_x,661
cam_dec_x,124
cam_inc_y,532
cam_dec_y,652
cam_followcoord,649
cam_smoothreset,775
cam2_setlookatmode,282
cam2_setpositionmode,1298
cam2_setdepthplanes,293
cam2_setfieldofview,345
cam2_setlookatpoint_point,988
cam2_setpositionpoint_point,1023
cam2_getpositionpoint_point,485
cam2_setlookatentity_player,1141
cam2_setlookatentity_npc,1055
cam2_setpositionentity_player,1004
cam2_setpositionentity_npc,798
cam2_setfieldofviewscreen,472
cam2_removealleffects,860
cam2_setlookatacceleration_axis,977
cam2_setpositionacceleration_axis,507
cam2_setlookatmaxspeed_axis,611
cam2_setpositionmaxspeed_axis,1022
cam2_setcollisionmode,1158
cam2_setpositionpointcollision,389
cam2_updateeffect_ztilt,398
cam2_setlinearmovementmode,963
cam2_setspringproperties,1040
cam2_setpositionangularinterpolation,167
cam2_enable,662
cam2_setsnapdistances,23
cam2_resetsnapdistances,824
cam2_setlookatorientation_vector,670
cam2_setlookatorientation_xrotation,791
cam2_setlookatorientation_yrotation,561
cam2_setlookatorientation_xmovement,429
cam2_setlookatorientation_zmovement,579
cam2_setlookatorientation_maxdistanceclamping,1259
login_continue,1032
login_resetreply,1152
resend_uid_passport_request,967
create_availablerequest,552
create_name_availablerequest,992
create_suggest_name_request,401
create_createrequest,1216
create_connectrequest,620
create_step_reached,384
lobby_entergame,365
lobby_enterlobby,1265
lobby_leavelobby,217
create_setunder13,920
login_cancel,1082
lobby_enterlobby_social_network,607
viewport_setfov,868
viewport_setzoom,1185
viewport_clampfov,822
worldlist_sort,378
worldlist_pingworlds,183
if_triggerop,847
cc_triggerop,922
force_interface_drag,1020
cancel_interface_drag,419
targetmode_active,942
targetmode_cancel,812
autosetup_sethigh,1234
autosetup_setmedium,329
autosetup_setlow,998
autosetup_setmin,912
autosetup_setcustom,308
autosetup_blackflaglast,1299
video_advert_force_remove,955
video_advert_allow_skip,1044
bug_report,1070
array_sort,780
cc_find,1193
if_find,877
cc_getx,1186
cc_gety,1221
cc_getwidth,910
cc_getheight,928
cc_gethide,162
cc_getlayer,400
cc_getparentlayer,138
cc_getcolour,434
cc_getscrollx,441
cc_getscrolly,1268
cc_gettext,744
cc_getscrollheight,827
cc_getmodelzoom,33
cc_getmodelangle_x,1210
cc_getmodelangle_z,951
cc_getmodelangle_y,741
cc_gettrans,205
cc_getmodelxof,396
cc_getmodelyof,1156
cc_getgraphic,143
cc_param,1034
cc_get2dangle,142
cc_getgraphicdimensions,587
cc_getfontmetrics,840
cc_getinvobject,73
cc_getinvcount,355
cc_getid,251
cc_gettargetmask,615
cc_getop,820
cc_getopbase,50
if_getx,492
if_gety,117
if_getwidth,1236
if_getheight,551
if_gethide,1231
if_getlayer,26
if_getparentlayer,976
if_getcolour,47
if_getscrollx,1105
if_getscrolly,214
if_gettext,35
if_getscrollwidth,542
if_getscrollheight,754
if_getmodelzoom,545
if_getmodelangle_x,972
if_getmodelangle_z,776
if_getmodelangle_y,335
if_gettrans,1190
if_getmodelxof,272
if_getmodelyof,304
if_getgraphic,833
if_get2dangle,258
if_getmodel,603
if_getgraphicdimensions,1013
if_getfontmetrics,465
if_getinvobject,676
if_getinvcount,1030
if_hassub,110
if_getnextsubid,559
if_hassubmodal,508
if_hassuboverlay,987
if_gettargetmask,295
if_getop,562
if_getcharindexatpos,570
if_getcharposatindex,349
clientclock,1209
inv_getobj,379
inv_getnum,310
inv_total,821
inv_totalcat,999
inv_size,1245
inv_stockbase,1175
inv_getvar,755
stat,639
stat_base,324
stat_visible_xp,1189
stat_base_actual,155
stat_visible_xp_actual,403
facing_fine,1126
coord,164
coordx,697
coordy,86
coordz,1010
coordx_fine,689
coordy_fine,1161
coordz_fine,75
coordlevel_fine,682
movecoord_fine,299
coord_gridtofine,1098
map_members,1180
map_preload,904
map_loadedpercent,288
invother_getobj,1194
invother_getnum,745
staffmodlevel,1300
reboottimer,18
map_world,1162
runenergy_visible,151
runweight_visible,81
playermod,476
playermodlevel,300
playermember,900
comlevel_active,1131
gender,399
map_quickchat,1195
inv_freespace,1165
inv_totalparam,799
map_lang,709
movecoord,1247
applet_hasfocus,358
frombilling,187
get_mousex,914
get_mousey,786
get_active_minimenu_entry,1102
get_minimenu_length,982
npc_find_active_minimenu_entry,932
get_currentcursor,178
get_mousebuttons,543
get_minimenu_target,1043
enum_string,102
enum,1294
enum_hasoutput,795
enum_getoutputcount,190
enum_getreversecount,93
enum_getreverseindex,334
friend_count,40
friend_getname,487
friend_getworld,1058
friend_getrank,766
friend_getnotes,461
friend_getworldflags,917
friend_test,520
friend_getworldname,891
clan_getchatdisplayname,1017
