// Incomplete, bruteforced from opcodes-870-1157.txt and opcodes-910-1730.txt
push_var,1146
pop_var,862
push_varbit,969
pop_varbit,1147
push_constant_string,1043
branch,451
branch_not,288
branch_equals,873
branch_less_than,1210
branch_greater_than,909
branch_less_than_or_equals,1243
branch_greater_than_or_equals,527
push_int_local,298
pop_int_local,441
push_string_local,362
pop_string_local,589
join_string,645
pop_int_discard,167
pop_string_discard,693
gosub_with_params,504
define_array,879
push_array_int,825
pop_array_int,383
switch,97
push_long_local,830
long_branch_not,372
cc_create,402
cc_delete,96
cc_deleteall,916
if_sendtofront,1234
if_sendtoback,869
cc_sendtofront,231
cc_sendtoback,839
if_resume_pausebutton,518
cc_resume_pausebutton,733
baseidkit,1101
basecolour,227
setobj,897
cc_setposition,874
cc_setsize,79
cc_sethide,399
cc_setaspect,263
cc_setnoclickthrough,261
cc_setscrollpos,439
cc_setcolour,425
cc_setfill,327
cc_settrans,2
cc_setlinewid,595
cc_setgraphic,981
cc_set2dangle,67
cc_settiling,228
cc_setmodel,1153
cc_setmodelangle,871
cc_setmodelanim,325
cc_settext,906
cc_settextfont,751
cc_settextalign,388
cc_settextshadow,1158
cc_setoutline,10
cc_setgraphicshadow,259
cc_setvflip,1245
cc_sethflip,621
cc_setscrollsize,246
cc_setalpha,94
cc_setmodelzoom,286
cc_setlinedirection,184
cc_setmaxlines,379
cc_setparam_int,598
cc_setparam_string,260
cc_setretex,532
cc_setparam,37
cc_setclickmask,593
cc_setobject,39
cc_setnpchead,743
cc_setplayerhead_self,1161
cc_setnpcmodel,993
cc_setobject_nonum,607
cc_setlinkfriend,755
cc_setlinkfriendchat,560
cc_setlinkplayergroup,113
cc_setlinkactiveclanchannel,172
cc_resetlinkplayer,364
cc_setobject_wearcol,740
cc_setplayermodel_self,353
cc_setobject_alwaysnum,1028
cc_setop,570
cc_setdraggable,207
cc_setdragrenderbehaviour,1106
cc_setdragdeadzone,1096
cc_setdragdeadtime,305
cc_setopbase,446
cc_settargetverb,533
cc_clearops,321
cc_settargetcursors,659
cc_setopcursor,618
cc_setpausetext,1135
cc_settargetopcursor,1242
cc_setopkey,490
cc_setoptkey,134
cc_setopkeyrate,750
cc_setopkeyignoreheld,616
cc_setoptkeyignoreheld,732
cc_setmouseovercursor,1232
cc_setonclick,519
cc_setonhold,653
cc_setonrelease,1044
cc_setonmouseover,60
cc_setonmouseleave,784
cc_setondrag,130
cc_setontargetleave,166
cc_setonvartransmit,472
cc_setontimer,1007
cc_setonop,535
cc_setondragcomplete,341
cc_setonclickrepeat,344
cc_setonmouserepeat,891
cc_setoninvtransmit,1084
cc_setonstattransmit,631
cc_setontargetenter,31
cc_setonscrollwheel,1030
cc_setonmisctransmit,308
cc_setonvarctransmit,414
cc_setonvarcstrtransmit,785
cc_clearscripthooks,315
if_setposition,924
if_setsize,583
if_sethide,48
if_setnoclickthrough,12
if_setscrollpos,815
if_setcolour,650
if_setfill,757
if_settrans,146
if_setgraphic,1241
if_set2dangle,354
if_settiling,936
if_setmodel,1117
if_setmodelangle,35
if_setmodelanim,440
if_setmodelorthog,1176
if_setmodeltint,17
if_setmodellighting,93
if_settext,701
if_settextfont,520
if_settextalign,561
if_settextshadow,587
if_settextantimacro,157
if_setoutline,9
if_setgraphicshadow,284
if_setvflip,1011
if_sethflip,453
if_setscrollsize,171
if_setmodelzoom,142
if_setlinedirection,422
if_setmaxlines,463
if_setparam_int,726
if_setparam_string,334
if_setrecol,248
if_setretex,685
if_setclickmask,1060
if_setobject,257
if_setnpchead,663
if_setnpcmodel,1206
if_setobject_nonum,575
if_setplayermodel_self,110
if_setobject_alwaysnum,45
if_setop,307
if_setdraggable,154
if_setdragrenderbehaviour,195
if_setdragdeadzone,599
if_setdragdeadtime,946
if_setopbase,1235
if_settargetverb,88
if_clearops,1074
if_settargetcursors,643
if_setopcursor,914
if_setpausetext,348
if_setopkey,153
if_setoptkey,512
if_setopkeyrate,878
if_setmouseovercursor,1173
if_setonclick,396
if_setonhold,46
if_setonrelease,1041
if_setonmouseover,470
if_setonmouseleave,200
if_setondrag,109
if_setontargetleave,644
if_setonvartransmit,64
if_setontimer,1102
if_setonop,137
if_setondragcomplete,792
if_setonclickrepeat,712
if_setonmouserepeat,745
if_setoninvtransmit,1036
if_setonstattransmit,56
if_setontargetenter,809
if_setonscrollwheel,801
if_setonchattransmit,1081
if_setonkey,553
if_setongamepadbutton,68
if_setongamepadbuttonheld,365
if_setongamepadaxis,256
if_setongamepadtrigger,509
if_setonfriendtransmit,885
if_setonclantransmit,1021
if_setonmisctransmit,247
if_setondialogabort,190
if_setonsubchange,780
if_setonstocktransmit,772
if_setoncamfinished,945
if_setonresize,529
if_setonvarctransmit,1037
if_setonvarcstrtransmit,802
if_setonclansettingstransmit,636
if_setonclanchanneltransmit,464
if_setonvarclantransmit,922
if_setonplayergrouptransmit,173
if_setonplayergroupvarptransmit,1087
if_setoncameraupdatetransmit,58
if_clearscripthooks,5
if_callonresize,1097
if_npc_setcustombodymodel,75
if_npc_setcustomrecol,1130
cc_npc_setcustomrecol,430
mes,765
return,864
if_close,404
resume_countdialog,689
resume_namedialog,459
resume_stringdialog,77
abort_dialog,707
opplayer,252
resume_objdialog,999
cc_dragpickup,1189
if_opensubclient,804
if_closesubclient,249
mes_typed,155
setup_messagebox,934
resume_hsldialog,102
resume_clanforumqfcdialog,683
sound_synth,1002
sound_synth_volume,594
sound_jingle_volume,1219
sound_vorbis_volume,1024
sound_speech_volume,1194
sound_vorbis_rate,152
email_validation_add_new_address,84
friend_setrank,419
friend_setnotes,974
friend_add,1257
friend_del,138
ignore_add,51
ignore_del,808
ignore_setnotes,1034
clan_kickuser,972
clan_joinchat,498
clan_leavechat,158
ignore_add_temp,299
activeclanchannel_kickuser,652
chat_setfilter,816
chat_sendabusereport,542
chat_setmode,628
chat_sendpublic,596
chat_sendprivate,27
activechatphrase_prepare,790
activechatphrase_send,483
activechatphrase_sendprivate,264
activechatphrase_setdynamicint,988
activechatphrase_setdynamicobj,374
worldmap_3dview_enable,647
worldmap_3dview_disable,539
worldmap_3dview_setloddistance,1157
worldmap_setcategorypriority,888
worldmap_3dview_settextfont,421
worldmap_disabletextsize,103
worldmap_disabletype,584
worldmap_setzoom,413
worldmap_setmap,833
worldmap_jumptosourcecoord,143
worldmap_jumptodisplaycoord,829
worldmap_setmap_coord_override,1156
worldmap_flashelementcategory,1204
worldmap_disableelementcategory,438
worldmap_closemap,1172
setwindowmode,947
setdefaultwindowmode,360
openurl,508
urlencode,223
spline_new,250
spline_addpoint,984
quit,285
openurl_nologin,98
formatminimenu,893
setdefaultcursors,926
sethardcodedopcursors,343
notify_accountcreated,456
notify_accountcreatestarted,268
openurl_shim,1223
cam_moveto,83
cam_lookat,1022
cam_movealong,400
cam_reset,1201
cam_forceangle,120
cam_inc_x,1038
cam_dec_x,886
cam_inc_y,727
cam_dec_y,987
cam_followcoord,928
cam_smoothreset,1253
cam2_setlookatmode,132
cam2_setpositionmode,144
cam2_setdepthplanes,1137
cam2_setfieldofview,150
cam2_setlookatpoint_point,49
cam2_setpositionpoint_point,859
cam2_getpositionpoint_point,199
cam2_setlookatentity_player,13
cam2_setlookatentity_npc,70
cam2_setpositionentity_player,21
cam2_setpositionentity_npc,1140
cam2_setfieldofviewscreen,1208
cam2_removealleffects,622
cam2_setlookatacceleration_axis,447
cam2_setpositionacceleration_axis,358
cam2_setlookatmaxspeed_axis,1182
cam2_setpositionmaxspeed_axis,731
cam2_setcollisionmode,197
cam2_setpositionpointcollision,925
cam2_updateeffect_ztilt,544
cam2_setlinearmovementmode,301
cam2_setspringproperties,1178
cam2_setpositionangularinterpolation,800
cam2_enable,15
cam2_setsnapdistances,1258
cam2_resetsnapdistances,159
cam2_setlookatorientation_vector,1224
cam2_setlookatorientation_xrotation,1228
cam2_setlookatorientation_yrotation,331
cam2_setlookatorientation_xmovement,899
cam2_setlookatorientation_zmovement,662
cam2_setlookatorientation_maxdistanceclamping,283
login_continue,416
login_resetreply,982
resend_uid_passport_request,1116
create_availablerequest,826
create_name_availablerequest,951
create_suggest_name_request,960
create_createrequest,359
create_connectrequest,896
create_step_reached,471
lobby_entergame,489
lobby_enterlobby,293
lobby_leavelobby,169
create_setunder13,221
login_cancel,604
lobby_enterlobby_social_network,140
viewport_setfov,848
viewport_setzoom,963
viewport_clampfov,122
worldlist_sort,684
worldlist_pingworlds,1121
if_triggerop,81
force_interface_drag,1103
cancel_interface_drag,1186
targetmode_active,33
targetmode_cancel,961
autosetup_sethigh,1039
