// Incomplete, bruteforced from opcodes-783-1109.txt and opcodes-787-521.txt and opcodes-742-544.txt
push_var,615
pop_var,550
push_varbit,765
pop_varbit,821
push_constant_string,180
branch,250
branch_not,173
branch_equals,620
branch_less_than,972
branch_greater_than,390
branch_less_than_or_equals,352
branch_greater_than_or_equals,69
push_int_local,787
pop_int_local,146
push_string_local,920
pop_string_local,986
join_string,1020
pop_int_discard,457
pop_string_discard,770
gosub_with_params,878
define_array,887
push_array_int,1106
pop_array_int,922
switch,384
push_long_local,854
long_branch_not,668
cc_create,742
cc_delete,686
cc_deleteall,178
if_sendtofront,1092
if_sendtoback,849
cc_sendtofront,1010
cc_sendtoback,813
if_resume_pausebutton,585
baseidkit,477
basecolour,533
setobj,328
cc_setposition,884
cc_setsize,421
cc_sethide,816
cc_setaspect,1046
cc_setnoclickthrough,980
cc_setscrollpos,160
cc_setcolour,989
cc_setfill,572
cc_settrans,799
cc_setlinewid,6
cc_setgraphic,259
cc_set2dangle,403
cc_settiling,20
cc_setmodel,140
cc_setmodelangle,930
cc_setmodelanim,561
cc_setmodelorthog,1054
cc_settext,447
cc_settextfont,50
cc_settextalign,161
cc_settextshadow,379
cc_setoutline,232
cc_setgraphicshadow,675
cc_setvflip,755
cc_sethflip,990
cc_setscrollsize,826
cc_setalpha,883
cc_setmodelzoom,287
cc_setlinedirection,697
cc_setmaxlines,169
cc_setparam_int,750
cc_setparam_string,616
cc_setretex,801
cc_setparam,812
cc_setclickmask,1066
cc_setobject,302
cc_setnpchead,340
cc_setplayerhead_self,81
cc_setnpcmodel,75
cc_setobject_nonum,225
cc_setlinkfriend,428
cc_setobject_wearcol,12
cc_setplayermodel_self,902
cc_setobject_alwaysnum,1053
cc_setop,682
cc_setdraggable,503
cc_setdragrenderbehaviour,1072
cc_setdragdeadzone,534
cc_setdragdeadtime,1000
cc_setopbase,258
cc_settargetverb,1029
cc_clearops,566
cc_settargetcursors,45
cc_setopcursor,736
cc_setpausetext,781
cc_settargetopcursor,59
cc_setopkey,210
cc_setoptkey,355
cc_setopkeyignoreheld,493
cc_setoptkeyignoreheld,172
cc_setmouseovercursor,520
cc_setonclick,575
cc_setonhold,196
cc_setonrelease,1121
cc_setonmouseover,694
cc_setonmouseleave,315
cc_setondrag,142
cc_setontargetleave,136
cc_setonvartransmit,820
cc_setontimer,888
cc_setonop,1086
cc_setondragcomplete,1074
cc_setonmouserepeat,364
cc_setoninvtransmit,528
cc_setonstattransmit,692
cc_setontargetenter,149
cc_setonscrollwheel,345
cc_setonmisctransmit,891
cc_setonvarctransmit,407
cc_setonvarcstrtransmit,331
cc_clearscripthooks,880
if_setposition,948
if_setsize,1030
if_sethide,753
if_setnoclickthrough,940
if_setscrollpos,559
if_setcolour,962
if_setfill,645
if_settrans,1027
if_setgraphic,923
if_set2dangle,367
if_settiling,417
if_setmodel,1031
if_setmodelangle,549
if_setmodelanim,171
if_setmodeltint,942
if_settext,51
if_settextfont,152
