// Incomplete, bruteforced from opcodes-787-521.txt and opcodes-788-465.txt and opcodes-789-627.txt
push_var,324
pop_var,199
push_varbit,397
pop_varbit,68
push_constant_string,58
branch,605
branch_not,627
branch_equals,953
branch_less_than,527
branch_greater_than,1078
branch_less_than_or_equals,49
branch_greater_than_or_equals,421
push_int_local,607
pop_int_local,1007
push_string_local,872
pop_string_local,72
join_string,77
pop_int_discard,1114
pop_string_discard,468
gosub_with_params,11
define_array,532
push_array_int,32
pop_array_int,528
switch,24
push_long_local,927
long_branch_not,484
cc_create,845
cc_delete,494
cc_deleteall,833
if_sendtofront,427
if_sendtoback,945
cc_sendtofront,33
cc_sendtoback,641
if_resume_pausebutton,947
baseidkit,545
basecolour,747
setobj,10
cc_setposition,183
cc_setsize,388
cc_sethide,456
cc_setaspect,171
cc_setnoclickthrough,163
cc_setscrollpos,1013
cc_setcolour,0
cc_setfill,353
cc_settrans,993
cc_setlinewid,381
cc_setgraphic,1011
cc_set2dangle,675
cc_settiling,358
cc_setmodel,40
cc_setmodelangle,237
cc_setmodelanim,93
cc_setmodelorthog,547
cc_settext,1041
cc_settextfont,1091
cc_settextalign,377
cc_settextshadow,688
cc_setoutline,823
cc_setgraphicshadow,661
cc_setvflip,754
cc_sethflip,819
cc_setscrollsize,846
cc_setalpha,881
cc_setmodelzoom,923
cc_setlinedirection,1061
cc_setmaxlines,905
cc_setparam_int,585
cc_setparam_string,667
cc_setretex,901
cc_setparam,14
cc_setclickmask,174
cc_setobject,161
cc_setnpchead,680
cc_setplayerhead_self,1127
cc_setnpcmodel,31
cc_setobject_nonum,248
cc_setlinkfriend,844
cc_setobject_wearcol,1038
cc_setplayermodel_self,922
cc_setobject_alwaysnum,453
cc_setop,955
cc_setdraggable,737
cc_setdragrenderbehaviour,1059
cc_setdragdeadzone,533
cc_setdragdeadtime,286
cc_setopbase,8
cc_settargetverb,489
cc_clearops,36
cc_settargetcursors,635
cc_setopcursor,1033
cc_setpausetext,696
cc_settargetopcursor,45
cc_setopkey,978
cc_setoptkey,817
cc_setopkeyignoreheld,672
cc_setoptkeyignoreheld,290
cc_setmouseovercursor,1085
cc_setonclick,282
cc_setonhold,746
cc_setonrelease,7
cc_setonmouseover,950
cc_setonmouseleave,1035
cc_setondrag,82
cc_setontargetleave,575
cc_setonvartransmit,156
cc_setontimer,200
cc_setonop,866
cc_setondragcomplete,472
cc_setonmouserepeat,92
cc_setoninvtransmit,986
cc_setonstattransmit,524
cc_setontargetenter,203
cc_setonscrollwheel,879
cc_setonmisctransmit,952
cc_setonvarctransmit,887
cc_setonvarcstrtransmit,268
cc_clearscripthooks,109
if_setposition,482
if_setsize,28
if_sethide,926
if_setnoclickthrough,210
if_setscrollpos,178
if_setcolour,933
if_setfill,664
if_settrans,972
if_setgraphic,4
if_set2dangle,515
if_settiling,1018
if_setmodel,259
if_setmodelangle,336
if_setmodelanim,677
if_setmodeltint,27
if_settext,708
if_settextfont,407
if_settextalign,775
if_settextshadow,1107
if_settextantimacro,957
if_setoutline,1026
if_setgraphicshadow,670
if_setvflip,307
if_sethflip,505
if_setscrollsize,897
if_setmodelzoom,552
if_setlinedirection,305
if_setmaxlines,985
if_setparam_int,660
if_setrecol,815
if_setretex,112
if_setclickmask,349
if_setobject,356
if_setnpchead,604
if_setnpcmodel,531
if_setobject_nonum,347
if_setplayermodel_self,1067
if_setobject_alwaysnum,536
if_setop,805
if_setdraggable,216
if_setdragrenderbehaviour,1082
if_setopbase,298
if_settargetverb,525
if_clearops,631
if_settargetcursors,569
if_setopcursor,359
if_setpausetext,750
if_setopchar,854
if_setopkey,583
if_setoptkey,26
if_setopkeyrate,70
if_setmouseovercursor,679
if_setonclick,340
if_setonhold,256
if_setonrelease,118
if_setonmouseover,1102
if_setonmouseleave,254
if_setondrag,791
if_setontargetleave,225
if_setonvartransmit,295
if_setontimer,1065
if_setonop,42
if_setondragcomplete,69
if_setonclickrepeat,594
if_setonmouserepeat,865
if_setoninvtransmit,189
if_setonstattransmit,719
if_setontargetenter,683
if_setonscrollwheel,51
if_setonchattransmit,158
if_setonkey,849
if_setonfriendtransmit,48
if_setonclantransmit,689
if_setonmisctransmit,1076
if_setondialogabort,87
if_setonsubchange,281
if_setonstocktransmit,510
if_setoncamfinished,304
if_setonresize,257
if_setonvarctransmit,745
if_setonvarcstrtransmit,154
if_setonclansettingstransmit,133
if_setonclanchanneltransmit,572
if_setonvarclantransmit,555
if_clearscripthooks,856
if_callonresize,279
if_npc_setcustombodymodel,578
cc_npc_setcustomrecol,85
mes,276
return,21
if_close,559
resume_countdialog,989
resume_namedialog,19
resume_stringdialog,39
opplayer,272
resume_objdialog,415
cc_dragpickup,226
if_opensubclient,164
if_closesubclient,732
mes_typed,566
setup_messagebox,205
resume_hsldialog,730
resume_clanforumqfcdialog,406
sound_synth,929
sound_jingle,634
sound_vorbis_volume,320
sound_vorbis_rate,15
email_validation_add_new_address,546
friend_setrank,88
friend_add,251
friend_del,457
ignore_add,360
ignore_del,61
clan_kickuser,387
clan_joinchat,832
clan_leavechat,556
ignore_add_temp,835
activeclanchannel_kickuser,753
chat_setfilter,466
chat_sendabusereport,587
chat_setmode,612
chat_sendpublic,804
chat_sendprivate,700
activechatphrase_prepare,1110
activechatphrase_send,891
activechatphrase_sendprivate,102
activechatphrase_sendclan,764
activechatphrase_setdynamicint,1106
activechatphrase_setdynamicobj,656
activechatphrase_sendclanchannel_affined,509
activechatphrase_sendclanchannel_listened,9
worldmap_3dview_enable,172
worldmap_3dview_disable,29
worldmap_3dview_setloddistance,98
worldmap_setcategorypriority,310
worldmap_3dview_settextfont,651
worldmap_disabletextsize,802
worldmap_disabletype,331
worldmap_setzoom,136
worldmap_setmap,354
worldmap_jumptosourcecoord,910
worldmap_jumptodisplaycoord,991
worldmap_setmap_coord_override,787
worldmap_flashelementcategory,378
worldmap_disableelementcategory,878
worldmap_closemap,994
setwindowmode,982
setdefaultwindowmode,1019
openurl,333
spline_new,1095
spline_addpoint,137
quit,1089
openurl_nologin,218
writeconsole,322
formatminimenu,180
setdefaultcursors,786
sethardcodedopcursors,827
notify_accountcreated,999
notify_accountcreatestarted,977
openurl_shim,584
cam_moveto,1017
cam_lookat,115
cam_movealong,636
cam_reset,1051
cam_forceangle,160
cam_inc_x,930
cam_dec_x,669
cam_inc_y,987
cam_dec_y,221
cam_followcoord,479
cam_smoothreset,589
cam2_setlookatmode,1006
cam2_setpositionmode,843
cam2_setdepthplanes,858
cam2_setfieldofview,424
cam2_setlookatpoint_point,367
cam2_setpositionpoint_point,1103
cam2_setlookatentity_player,1044
cam2_setlookatentity_npc,326
cam2_setpositionentity_player,250
cam2_setpositionentity_npc,357
cam2_setfieldofviewscreen,621
cam2_removealleffects,519
cam2_setlookatacceleration_axis,379
cam2_setpositionacceleration_axis,603
cam2_setlookatmaxspeed_axis,918
cam2_setpositionmaxspeed_axis,697
cam2_setcollisionmode,591
cam2_updateeffect_ztilt,530
cam2_setlinearmovementmode,940
cam2_setspringproperties,67
cam2_setpositionangularinterpolation,809
cam2_enable,894
cam2_setsnapdistances,337
cam2_resetsnapdistances,738
login_continue,193
login_resetreply,540
resend_uid_passport_request,855
create_availablerequest,712
create_name_availablerequest,20
create_suggest_name_request,521
create_createrequest,1016
create_connectrequest,318
create_step_reached,686
