// Cache 684 is Spanish and is not in caches.txt, so nothing unpacks with this table.
// Kept for future reference; build 815 is still covered by 319, 485 and 1615.
ttv_stream_getquality,836
ttv_stream_setsmoothresize,1181
ttv_chat_getstate,230
ttv_chat_sendmessage,583
ttv_webcam_getstate,1151
ttv_webcam_supported,606
ttv_webcam_getdevice_count,684
ttv_webcam_getdevice_byindex,163
ttv_webcam_getdevice_byuniquename,474
ttv_webcam_getcap_count,267
ttv_webcam_getcap_byindex,36
ttv_webcam_getcap_byuniqueid,155
ttv_webcam_start,305
ttv_webcam_stop,23
ttv_livestreams_update,1007
ttv_livestreams_getstream_start,323
ttv_livestreams_getstream_next,822
ttv_setdebugoutput,772
ttv_hasprerequisites,662
os_ismac,628
os_iswindows,442
os_islinux,568
os_physicalmemorysize,792
