// Cache 684 is Spanish and is not in caches.txt, so nothing unpacks with this table.
// Kept for future reference; build 815 is still covered by 319, 485 and 1615.
if_setonresize,409
if_setonvarctransmit,1197
if_setonvarcstrtransmit,400
if_setonopt,920
if_setonclansettingstransmit,384
if_setonclanchanneltransmit,1001
if_setonvarclantransmit,302
if_setonplayergrouptransmit,1055
if_setonplayergroupvarptransmit,81
if_clearscripthooks,834
if_callonresize,44
if_npc_setcustombodymodel,127
cc_npc_setcustombodymodel,475
if_npc_setcustomheadmodel,621
cc_npc_setcustomheadmodel,141
if_npc_setcustomrecol,727
cc_npc_setcustomrecol,446
if_npc_setcustomretex,752
cc_npc_setcustomretex,401
mes,194
anim,374
return,1179
if_close,723
resume_countdialog,839
resume_namedialog,1162
resume_stringdialog,321
abort_dialog,961
opplayer,200
resume_objdialog,57
if_dragpickup,264
cc_dragpickup,811
if_opensubclient,521
if_closesubclient,542
opplayert,535
mes_typed,1090
setup_messagebox,270
resume_hsldialog,780
resume_clanforumqfcdialog,356
sound_synth,205
sound_song,925
sound_jingle,404
sound_synth_volume,915
sound_song_volume,1101
sound_jingle_volume,634
sound_vorbis_volume,1187
sound_speech_volume,306
sound_synth_rate,1119
sound_vorbis_rate,485
email_validation_submit_code,642
email_validation_change_address,271
email_validation_add_new_address,966
friend_setrank,710
friend_setnotes,280
friend_add,560
friend_del,497
ignore_add,287
ignore_del,578
ignore_setnotes,444
clan_kickuser,215
clan_joinchat,494
clan_leavechat,924
ignore_add_temp,791
affinedclansettings_addbanned_fromchannel,371
affinedclansettings_setmuted_fromchannel,1036
activeclanchannel_kickuser,869
oc_findrestart,1175
chat_setfilter,316
chat_sendabusereport,1032
chat_setmode,622
chat_sendpublic,561
chat_sendprivate,266
activechatphrase_prepare,223
activechatphrase_send,449
activechatphrase_sendprivate,708
activechatphrase_setdynamicint,1176
activechatphrase_setdynamicobj,1174
chatphrase_findrestart,183
worldmap_3dview_enable,954
worldmap_3dview_disable,208
worldmap_3dview_setloddistance,771
worldmap_setcategorypriority,170
worldmap_3dview_settextfont,206
worldmap_disabletextsize,914
worldmap_disabletype,819
worldmap_3dview_setlighting,1079
worldmap_setzoom,105
worldmap_setmap,1193
worldmap_jumptosourcecoord,41
worldmap_jumptodisplaycoord,828
worldmap_setmap_coord,131
worldmap_flashelement,935
worldmap_setmap_coord_override,1028
worldmap_disableelements,192
worldmap_flashelementcategory,782
worldmap_disableelementcategory,34
worldmap_disableelement,283
worldmap_closemap,581
fullscreen_exit,353
setwindowmode,730
setdefaultwindowmode,843
openurl,334
urlencode,463
setclientpalette,111
spline_new,1091
spline_addpoint,977
quit,751
openurl_nologin,429
writeconsole,677
formatminimenu,786
defaultminimenu,1016
setdefaultcursors,1190
sethardcodedopcursors,1096
docheat,410
notify_accountcreated,519
notify_accountcreatestarted,199
setsubmenuminlength,794
openurl_shim,226
filechooser_create,177
cam_moveto,712
cam_lookat,28
cam_movealong,297
cam_reset,1094
cam_forceangle,1098
cam_inc_x,1100
cam_dec_x,690
cam_inc_y,1074
cam_dec_y,809
cam_setfollowheight,687
cam_followcoord,395
cam_smoothreset,492
cam_removeroof,453
cam2_setlookatmode,759
cam2_setpositionmode,388
cam2_setlookatacceleration,1163
cam2_setpositionacceleration,739
cam2_setlookatmaxspeed,278
cam2_setpositionmaxspeed,91
cam2_setdepthplanes,338
cam2_setfieldofview,212
cam2_setlookatpoint_point,1019
cam2_setpositionpoint_point,781
cam2_setlookatentity_player,842
cam2_setlookatentity_npc,209
cam2_setpositionentity_player,855
cam2_setpositionentity_npc,980
cam2_setfieldofviewscreen,679
cam2_setpositionspline_spline,818
cam2_setlookatspline_spline,391
cam2_removeeffect,362
cam2_removealleffects,85
cam2_setlookatacceleration_axis,676
cam2_setpositionacceleration_axis,838
cam2_setlookatmaxspeed_axis,120
cam2_setpositionmaxspeed_axis,456
cam2_setcollisionmode,5
cam2_updateeffect_ztilt,962
cam2_settraildistance,309
cam2_setlinearmovementmode,83
cam2_setspringproperties,92
cam2_setlookatangularinterpolation,884
cam2_setpositionangularinterpolation,433
cam2_setlookatspringproperties,249
cam2_setpositionspringproperties,234
cam2_enable,969
cam2_setsnapdistances,431
cam2_resetsnapdistances,1029
login_request,881
login_continue,304
login_resetreply,573
resend_uid_passport_request,418
create_availablerequest,495
create_name_availablerequest,717
create_suggest_name_request,134
create_createrequest,594
create_connectrequest,633
create_step_reached,610
lobby_entergame,1035
lobby_enterlobby,540
lobby_leavelobby,1180
create_setunder13,1023
login_cancel,54
login_request_social_network,201
lobby_enterlobby_social_network,1037
detail_brightness,1168
detail_removeroofs_option,858
detail_grounddecor_on,268
detail_idleanims_many,649
detail_flickering_on,686
detail_spotshadows_on,909
detail_hardshadows,665
detail_shadowquality,629
detail_lightdetail_high,294
detail_waterdetail_high,907
detail_fog_on,1113
detail_antialiasing,128
detail_antialiasing_quality,335
detail_stereo,956
detail_soundvol,484
detail_musicvol,664
detail_bgsoundvol,1022
detail_removeroofs_option_override,214
detail_particles,367
detail_antialiasing_default,1049
detail_buildarea,318
detail_bloom,1081
detail_customcursors,90
detail_idleanims,667
detail_groundblending,186
detail_toolkit,52
detail_toolkit_default,901
detail_cpuusage,1160
detail_texturing,63
detail_maxscreensize,1172
detail_speechvol,1066
detail_loginvol,0
detail_loadingscreentype,1136
detail_drawdistance,743
detail_skydetail,793
detail_animdetail,796
detail_diskcachesize,813
viewport_setfov,202
viewport_setzoom,787
viewport_clampfov,327
worldlist_sort,564
worldlist_autoworld,97
worldlist_pingworlds,96
if_debug_empty,694
if_debug_button1,350
if_debug_button2,451
if_debug_button3,412
if_debug_button4,467
if_debug_button5,602
if_debug_button6,1183
if_debug_button7,1034
if_debug_button8,355
if_debug_button9,927
if_debug_button10,1099
if_debug_target,765
force_interface_drag,329
cancel_interface_drag,508
targetmode_active,313
targetmode_cancel,1080
autosetup_sethigh,515
autosetup_setmedium,79
autosetup_setlow,197
autosetup_setmin,641
autosetup_setcustom,123
autosetup_blackflaglast,707
video_advert_force_remove,504
video_advert_allow_skip,627
set_entity_if,381
entity_cc_create,337
entity_cc_deleteall,86
bug_report,557
array_sort,949
cc_find,420
if_find,1132
cc_getx,439
cc_gety,217
cc_getwidth,276
cc_getheight,539
cc_gethide,922
cc_getlayer,158
cc_getparentlayer,758
cc_getcolour,603
cc_getscrollx,1024
cc_getscrolly,688
cc_gettext,904
cc_getscrollwidth,1134
cc_getscrollheight,55
cc_getmodelzoom,835
cc_getmodelangle_x,865
cc_getmodelangle_z,773
cc_getmodelangle_y,147
cc_gettrans,619
cc_getmodelxof,1131
cc_getmodelyof,523
cc_getgraphic,246
cc_param,1167
cc_get2dangle,333
cc_getmodel,207
cc_getfontgraphic,300
cc_getgraphicdimensions,800
cc_getfontmetrics,849
cc_getinvobject,1038
cc_getinvcount,331
cc_getid,247
cc_gettargetmask,389
cc_getop,716
cc_getopbase,95
cc_getcharindexatpos,1076
cc_getcharposatindex,659
if_getx,60
if_gety,19
if_getwidth,1128
if_getheight,586
if_gethide,22
if_getlayer,483
if_getparentlayer,963
if_getcolour,175
if_getscrollx,953
if_getscrolly,472
if_gettext,148
if_getscrollwidth,298
if_getscrollheight,626
if_getmodelzoom,490
if_getmodelangle_x,231
if_getmodelangle_z,72
if_getmodelangle_y,797
if_gettrans,857
if_getmodelxof,967
if_getmodelyof,1058
if_getgraphic,1139
if_get2dangle,244
if_getmodel,566
if_getfontgraphic,685
if_getgraphicdimensions,556
